"State_name","State_url","State_Jan","State_Feb","State_March","State_April","State_May","State_June","State_July","State_August","State_Sept","State_Oct","State_Nov","State_Dec"
"Andaman and Nicobar Islands","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=1","0","0","0","0","1","0","0","2","0","0","2","1"
"Andhra Pradesh","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=2","8","14","12","7","10","9","10","7","13","14","14","13"
"Arunachal Pradesh","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=3","0","0","0","0","0","0","1","0","0","0","0","0"
"Assam","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=4","4","4","5","6","3","3","5","4","6","4","3","8"
"Bihar","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=5","54","53","45","33","61","59","70","91","84","87","84","47"
"Chandigarh","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=6","3","3","4","6","4","6","3","8","2","4","6","4"
"Chhattisgarh","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=7","10","6","2","5","7","7","6","19","9","6","6","12"
"Dadra and Nagar Haveli","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=8","0","0","0","2","0","0","1","0","0","0","0","0"
"Daman & Diu","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=9","0","0","0","0","0","0","0","0","0","0","1","0"
"Delhi","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=10","109","93","104","128","162","122","194","256","263","161","156","125"
"Goa","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=11","0","2","1","3","1","0","1","2","1","0","1","1"
"Gujarat","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=12","6","7","9","10","14","6","18","11","15","10","13","10"
"Haryana","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=13","64","78","57","62","92","82","91","194","164","101","89","70"
"Himachal Pradesh","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=14","4","1","3","6","5","4","3","3","9","4","2","4"
"Jammu and Kashmir","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=15","1","5","2","1","5","2","3","0","1","0","1","2"
"Jharkhand","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=16","14","15","12","7","18","18","22","23","24","26","19","11"
"Karnataka","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=17","15","26","16","20","13","20","32","34","32","29","33","30"
"Kerala","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=18","7","8","10","2","8","7","6","6","10","5","7","9"
"Madhya Pradesh","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=20","39","37","35","31","43","35","72","71","47","59","43","48"
"Maharashtra","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=21","45","39","37","49","58","53","55","79","62","70","54","43"
"Manipur","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=22","0","0","0","2","0","0","1","0","0","0","1","0"
"Meghalaya","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=23","0","1","1","0","0","0","4","0","0","0","0","0"
"Mizoram","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=24","0","0","0","0","0","0","0","0","1","0","0","0"
"Nagaland","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=25","0","0","0","0","1","1","0","0","0","0","0","0"
"Odisha","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=26","9","8","3","9","5","6","9","17","10","7","7","2"
"Pondicherry","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=27","1","1","1","0","0","1","1","2","1","1","1","2"
"Punjab","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=28","21","23","12","33","13","16","33","46","39","36","21","22"
"Rajasthan","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=29","32","34","39","45","66","54","69","117","99","79","65","65"
"Sikkim","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=30","1","0","0","0","0","0","0","0","0","0","1","1"
"Tamil Nadu","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=31","26","19","16","21","31","22","19","26","31","21","33","25"
"Telangana","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=38","10","12","12","9","14","12","19","10","9","22","8","18"
"Tripura","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=32","1","1","0","0","0","0","0","1","2","0","1","1"
"Uttar Pradesh","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=33","775","772","572","574","1032","752","1012","1667","1382","1100","926","794"
"Uttarakhand","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=34","22","15","19","12","21","18","31","42","33","15","21","22"
"West Bengal","http://164.100.58.238/frmReportStateDistrict.aspx?Year=2019&StateID=35","24","28","15","23","29","26","27","48","30","24","23","12"
"Total","","1305","1305","1044","1106","1717","1341","1818","2786","2379","1885","1642","1402"
