,mid,title,type
0,/m/026x5r,Abuse,Topic
1,/m/016f84,Insult,Topic
2,/m/02gr_,Domestic violence,Topic
3,/m/012jc,Alcoholism,Mental disorder
4,/m/012ph9,Sexual abuse,Topic
