,mid,title,type
0,/m/0g0vg,Aggression,Topic
1,/m/048n7,Korean War,War
2,/m/05ryc,Aggression,Topic
3,/m/02kv14,The Sonics,Rock band
4,/m/02w11t,War of aggression,Topic
