,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Bigamy or Polygamy,7,6,12,10,14,9,7,10,9,13,5,6,108,2000
Dowry Death,36,23,25,24,64,25,64,73,50,63,21,37,505,2000
Dowry Harassment or Cruelty to married women,63,62,84,59,121,57,103,115,102,88,54,58,966,2000
Gender Discrimination including equal right to education & work,1,0,0,0,0,1,0,0,0,0,0,0,2,2000
Harassment At Workplace,70,92,116,109,161,71,140,211,137,149,40,69,1365,2000
Kidnapping or Abduction,4,12,18,11,16,8,18,19,15,16,4,7,148,2000
Maintenance Claim,1,0,0,1,2,1,0,1,1,0,0,0,7,2000
Miscellaneous,76,102,101,59,78,34,76,121,113,73,18,52,903,2000
Murder,19,19,18,6,27,13,26,29,32,20,10,11,230,2000
Outraging Modesty of Women,4,3,1,0,0,0,0,0,0,0,0,3,11,2000
Police Apathy against women,14,21,28,25,34,16,30,31,24,45,10,17,295,2000
Rape,17,15,21,27,26,13,28,42,20,34,18,16,277,2000
Right to live with dignity,13,16,19,11,24,9,26,44,37,30,17,19,265,2000
Sex selective abortion or female foeticide or amniocentesis,2,1,0,0,0,0,0,0,0,0,0,0,3,2000
Sexual harassment including sexual harassment at workplace,4,4,13,13,16,13,15,34,21,27,7,9,176,2000
Trafficking or Prostitution of women,0,0,0,0,1,0,0,0,0,0,0,0,1,2000
Women's right of custody of children in the event of divorce,1,0,0,0,0,0,2,1,1,0,0,1,6,2000
Total,332,376,456,355,584,270,535,731,562,558,204,305,5268,2000
Unnamed: 19, , , , , , , , , , , , , ,2000
