,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Unnamed: 505,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,2019
Acid Attack.8,4,4,0,1,2,1,1,4,0,1,0,2,20,2019
Bigamy or Polygamy.18,18,11,11,14,12,10,11,14,11,9,9,21,151,2019
Cyber Crime against women.13,39,30,22,35,49,33,43,61,40,35,35,37,459,2019
Denial of Maternity Benefits to women,3,16,7,8,10,5,11,10,12,19,12,23,136,2019
Dowry death,14,22,16,13,46,14,31,49,56,38,32,42,373,2019
Free legal aid for women.5,36,27,11,16,15,11,26,7,10,13,12,5,189,2019
Gender Discrimination including equal right to education & work.14,5,2,4,7,6,3,3,6,5,3,2,1,47,2019
Harassment of married womenorDowry harassment.1,207,200,204,228,397,316,361,468,468,391,368,275,3883,2019
Indecent Representation of Women.7,2,7,6,7,10,11,14,11,13,7,7,9,104,2019
Outraging modesty of womenorMolestation.1,62,68,59,70,150,108,132,198,165,102,105,101,1320,2019
Police Apathy against women.18,321,228,132,149,218,161,238,408,177,154,112,98,2396,2019
Privacy of women and rights thereof.4,4,0,0,0,0,0,0,0,0,0,0,0,4,2019
Protection of Women against Domestic Violence,133,181,148,193,266,260,391,419,255,252,243,219,2960,2019
RapeorAttempt to Rape,78,68,63,49,150,88,115,178,168,129,137,116,1339,2019
Right to Exercise Choice in marriage.7,10,0,0,0,0,0,0,0,0,0,0,0,10,2019
Right to exercise choice in marriageorHonour Crimes.1,16,56,33,25,48,35,33,56,41,32,36,23,434,2019
Right to live with dignity.20,266,296,269,204,234,201,288,747,819,584,434,352,4694,2019
Sex selective abortion or female foeticide or amniocentesis.17,3,2,2,2,2,2,3,2,4,2,1,0,25,2019
Sexual Assault,24,7,4,11,13,16,19,29,24,17,17,14,195,2019
Sexual Harassment,19,26,17,25,35,26,45,45,40,40,27,24,369,2019
Sexual Harassment of Women at workplace,29,36,23,26,26,16,22,35,45,29,25,18,330,2019
Stalking or Voyeurism.5,4,14,7,16,15,10,20,25,20,18,16,14,179,2019
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting.7",3,1,0,2,3,3,2,0,1,1,0,2,18,2019
Trafficking or Prostitution of women.9,4,2,3,3,5,10,6,6,4,5,11,5,64,2019
Women's right of custody of children in the event of divorce.19,1,1,3,2,5,1,3,8,1,4,1,1,31,2019
Total.19,1305,1305,1044,1106,1717,1341,1818,2786,2379,1885,1642,1402,19730,2019
Unnamed: 557, , , , , , , , , , , , , ,2019
