,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Unnamed: 415,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,2017
Bigamy or Polygamy.16,12,10,26,9,17,20,16,14,6,9,18,16,173,2017
Cyber Crime against women.10,28,23,44,22,45,24,44,23,29,13,45,30,370,2017
Dowry harassment or dowry death.2,168,146,177,156,278,194,221,158,169,103,259,171,2200,2017
Free legal aid for women.2,5,15,20,15,26,15,13,46,28,25,41,16,265,2017
Gender Discrimination including equal right to education & work.11,3,3,8,3,5,2,3,3,14,2,8,1,55,2017
Indecent Representation of Women.4,6,11,8,5,12,4,16,5,12,7,19,7,112,2017
Kidnapping or Abduction.15,0,1,0,1,0,0,0,0,0,0,0,0,2,2017
Outraging Modesty of Women.15,62,66,63,63,70,79,117,84,71,57,104,101,937,2017
Police Apathy against women.15,318,212,308,253,227,204,192,110,106,83,150,144,2307,2017
Privacy of women and rights thereof.1,7,8,18,5,17,10,14,13,14,14,26,5,151,2017
Property.1,3,2,0,1,0,0,0,0,0,0,0,0,6,2017
Reproductive health rights of women.1,5,7,13,8,5,4,9,3,4,4,13,2,77,2017
Right to Exercise Choice in marriage.4,31,24,42,28,49,42,38,17,25,13,44,36,389,2017
Right to live with dignity.16,368,343,376,327,616,504,515,328,326,303,571,446,5023,2017
Right to live with dignity.17,0,0,1,0,0,0,0,0,0,0,0,0,1,2017
Sex selective abortion or female foeticide or amniocentesis.14,1,1,5,2,4,0,7,4,3,1,10,2,40,2017
Sexual harassment including sexual harassment at workplace.15,38,30,52,24,63,37,50,58,60,34,80,44,570,2017
Stalking or Voyeurism.2,4,8,16,4,16,15,12,11,13,8,19,10,136,2017
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting.4",0,0,0,2,1,4,2,3,3,1,2,2,20,2017
Trafficking or Prostitution of women.6,8,9,11,9,8,5,11,5,2,5,6,3,82,2017
Violence against women.5,115,97,97,123,244,184,193,106,114,98,158,108,1637,2017
Women's right of custody of children in the event of divorce.15,3,5,2,5,3,0,3,2,1,2,8,4,38,2017
Total.15,1185,1021,1287,1065,1706,1347,1476,993,1000,782,1581,1148,14591,2017
Unnamed: 475, , , , , , , , , , , , , ,2017
