,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Unnamed: 513,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,2020
Acid Attack.9,1,2,0,0,0,0,0,0,0,0,0,0,3,2020
Bigamy or Polygamy.19,10,7,6,6,11,0,0,0,0,0,0,0,40,2020
Cyber Crime against women.14,32,21,37,55,57,0,0,0,0,0,0,0,202,2020
Denial of Maternity Benefits to women.1,9,10,13,2,6,0,0,0,0,0,0,0,40,2020
Dowry death.1,32,17,18,9,17,0,0,0,0,0,0,0,93,2020
Free legal aid for women.6,5,7,4,0,3,0,0,0,0,0,0,0,19,2020
Gender Discrimination including equal right to education & work.15,1,0,0,1,1,0,0,0,0,0,0,0,3,2020
Harassment of married womenorDowry harassment.2,267,221,203,62,105,0,0,0,0,0,0,0,858,2020
Indecent Representation of Women.8,2,1,1,1,5,0,0,0,0,0,0,0,10,2020
Not Categorized yet,0,0,0,3,62,0,0,0,0,0,0,0,65,2020
Outraging modesty of womenorMolestation.2,112,103,103,28,93,0,0,0,0,0,0,0,439,2020
Police Apathy against women.19,81,89,83,24,51,0,0,0,0,0,0,0,328,2020
Protection of Women against Domestic Violence.1,271,302,298,315,257,0,0,0,0,0,0,0,1443,2020
RapeorAttempt to Rape.1,142,112,90,12,33,0,0,0,0,0,0,0,389,2020
Right to exercise choice in marriageorHonour Crimes,41,28,34,5,19,0,0,0,0,0,0,0,127,2020
Right to live with dignity.21,374,436,388,238,326,0,0,0,0,0,0,0,1762,2020
Sexual Assault.1,12,10,19,4,1,0,0,0,0,0,0,0,46,2020
Sexual Harassment.1,22,20,19,11,5,0,0,0,0,0,0,0,77,2020
Sexual Harassment of Women at workplace.1,21,18,19,8,3,0,0,0,0,0,0,0,69,2020
Stalking or Voyeurism.6,18,16,9,15,6,0,0,0,0,0,0,0,64,2020
Trafficking or Prostitution of women.10,6,4,3,1,0,0,0,0,0,0,0,0,14,2020
Women's right of custody of children in the event of divorce.18,3,0,0,0,2,0,0,0,0,0,0,0,5,2020
Total.18,1462,1424,1347,800,1063,0,0,0,0,0,0,0,6096,2020
Unnamed: 554, , , , , , , , , , , , , ,2020
