date,help,dead,no motivation,loneliness,lonely,isolated,stress,angst,emotion,social anxiety,mood swings,tired,trapped,paranoia,overwhelmed,irritable
2019-01-06,65,54,0,45,44,14,44,20,10,68,25,76,35,55,52,20
2019-01-13,50,46,0,45,57,14,72,41,47,45,25,53,23,0,0,20
2019-01-20,52,67,0,29,68,27,63,0,37,66,0,54,56,0,17,59
2019-01-27,57,43,100,30,70,28,68,62,38,23,25,60,23,55,52,62
2019-02-03,59,44,0,52,55,48,48,23,44,26,0,88,93,0,0,23
2019-02-10,64,46,0,15,77,55,82,40,47,45,49,62,45,27,0,0
2019-02-17,56,48,48,14,67,40,67,0,64,22,24,86,55,26,33,39
2019-02-24,60,48,48,15,42,13,47,20,46,0,24,67,22,26,17,40
2019-03-03,54,51,0,74,38,14,82,0,37,67,24,65,34,0,34,20
2019-03-10,54,49,49,30,52,27,57,40,19,0,74,72,68,27,17,40
2019-03-17,61,40,50,0,79,28,63,21,29,69,25,50,12,0,0,0
2019-03-24,66,63,0,0,51,14,75,40,56,67,0,58,34,53,34,20
2019-03-31,60,52,48,15,43,54,63,40,46,0,24,91,45,53,17,20
2019-04-07,69,48,0,29,93,27,56,39,46,0,24,61,11,79,100,0
2019-04-14,56,43,0,73,47,54,59,20,65,0,24,84,34,27,51,0
2019-04-21,57,42,0,56,45,13,63,19,36,21,0,65,54,0,0,38
2019-04-28,61,56,0,43,45,39,50,77,54,21,24,47,76,0,16,39
2019-05-05,51,43,0,28,41,79,72,19,72,22,47,41,55,26,16,0
2019-05-12,64,44,0,58,72,40,65,79,73,0,24,73,55,26,0,0
2019-05-19,58,49,0,14,38,27,42,0,55,22,0,76,88,26,49,20
2019-05-26,62,48,0,0,21,26,46,19,45,43,0,100,98,77,32,19
2019-06-02,53,45,0,0,43,27,54,100,28,0,24,52,56,27,17,40
2019-06-09,61,35,48,43,46,27,33,39,27,44,48,51,55,26,17,20
2019-06-16,61,37,0,59,43,0,46,61,38,22,0,46,34,27,17,20
2019-06-23,53,49,48,43,34,40,49,59,55,22,0,77,67,52,33,0
2019-06-30,58,44,0,28,74,26,52,58,45,0,0,66,22,26,33,77
2019-07-07,57,49,0,28,41,39,70,0,27,43,23,50,43,0,32,19
2019-07-14,62,43,47,57,54,13,70,0,45,22,0,66,44,26,0,19
2019-07-21,52,42,49,15,43,41,75,80,28,0,49,68,45,53,17,100
2019-07-28,53,31,0,15,64,27,45,79,46,22,24,77,67,26,0,20
2019-08-04,50,42,0,15,74,0,63,61,57,0,50,43,23,27,34,20
2019-08-11,48,50,0,15,60,27,27,60,37,45,0,58,68,53,0,40
2019-08-18,61,36,48,15,68,40,67,59,55,22,24,93,45,0,0,40
2019-08-25,60,34,48,29,63,40,67,59,27,22,48,38,33,26,17,20
2019-09-01,60,48,0,14,67,0,55,39,45,0,47,60,55,26,33,0
2019-09-08,54,42,0,29,59,13,64,20,36,65,24,95,22,0,33,20
2019-09-15,68,40,0,14,66,26,82,38,98,21,23,75,11,26,16,19
2019-09-22,65,45,0,14,58,26,96,77,45,0,24,44,33,26,49,19
2019-09-29,67,42,0,14,82,39,81,38,45,21,0,75,32,26,16,38
2019-10-06,57,51,0,28,85,13,71,38,35,21,0,40,0,0,0,19
2019-10-13,62,60,0,14,40,38,69,19,26,42,23,80,43,25,16,0
2019-10-20,49,48,0,42,44,0,66,19,26,63,0,67,11,0,32,0
2019-10-27,69,65,0,42,49,52,63,19,36,21,47,68,54,0,49,77
2019-11-03,61,52,0,54,71,25,56,37,69,41,23,63,52,74,0,55
2019-11-10,63,49,0,26,34,24,67,18,33,40,22,61,30,24,0,18
2019-11-17,61,55,45,14,47,0,73,18,60,0,45,57,31,0,16,73
2019-11-24,61,45,0,40,65,49,73,18,33,40,22,49,40,48,15,18
2019-12-01,54,40,0,42,45,39,58,38,44,63,46,46,43,0,0,38
2019-12-08,54,55,46,42,37,13,59,57,36,21,47,56,0,25,32,19
2019-12-15,63,39,47,28,78,13,55,19,27,21,0,34,22,26,0,19
2019-12-22,55,40,0,0,60,14,36,20,28,0,0,55,45,27,34,80
2019-12-29,53,45,0,14,49,26,45,19,18,64,0,56,32,25,0,19
2020-01-05,65,56,44,40,65,12,84,36,34,40,0,47,51,24,0,54
2020-01-12,55,41,42,38,52,24,63,87,49,39,0,54,20,0,29,35
2020-01-19,56,35,0,29,67,79,64,19,54,65,24,50,44,52,16,19
2020-01-26,77,45,0,14,36,76,40,56,26,21,23,58,53,100,63,0
2020-02-02,70,38,0,51,48,70,69,35,32,77,0,95,19,0,29,17
2020-02-09,66,55,0,0,55,47,57,0,73,0,0,64,10,69,88,0
2020-02-16,81,42,0,89,41,47,72,35,72,58,21,64,39,23,58,34
2020-02-23,73,41,41,87,40,11,69,17,16,19,62,33,10,0,71,17
2020-03-01,75,47,0,24,48,33,73,16,75,54,59,57,27,64,27,16
2020-03-08,63,53,0,100,44,12,69,17,79,38,0,72,48,68,71,51
2020-03-15,70,43,0,25,40,58,94,68,0,0,0,47,77,45,43,17
2020-03-22,97,50,39,36,62,77,79,0,45,54,0,45,36,43,41,16
2020-03-29,99,62,0,57,80,21,57,47,58,17,0,58,9,62,13,0
2020-04-05,83,68,0,23,64,43,66,32,52,18,0,44,18,21,27,0
2020-04-12,80,60,0,22,72,40,65,29,48,0,54,60,58,20,25,0
2020-04-19,100,70,0,21,100,20,61,15,75,49,53,69,66,19,49,29
2020-04-26,88,100,0,89,68,62,86,61,78,68,19,52,60,20,51,30
2020-05-03,82,60,0,91,66,52,75,77,65,34,38,57,52,21,13,0
2020-05-10,73,59,0,81,81,43,73,16,73,35,38,69,35,0,40,63
2020-05-17,82,64,39,83,51,22,73,32,45,18,0,57,45,85,27,16
2020-05-24,86,54,0,23,68,64,81,32,74,35,58,41,45,21,27,16
2020-05-31,84,57,37,68,59,31,78,31,36,17,56,65,26,41,39,15
2020-06-07,88,51,0,56,46,10,71,15,43,34,19,69,43,41,26,31
2020-06-14,89,53,0,58,30,32,61,79,29,35,39,49,18,21,67,16
2020-06-21,72,36,0,0,51,21,79,47,44,18,0,51,53,42,27,63
2020-06-28,69,48,0,59,59,22,75,64,45,18,59,60,36,43,27,32
2020-07-05,72,45,0,48,56,67,56,0,31,18,0,43,37,44,0,16
2020-07-12,78,53,0,25,46,23,87,0,54,93,41,59,19,0,0,33
2020-07-19,77,46,0,37,32,34,81,17,47,37,20,95,28,0,56,50
2020-07-26,69,44,0,25,61,11,55,67,63,19,41,60,19,45,28,84
2020-08-02,90,46,80,36,77,100,72,65,76,36,100,72,46,44,28,16
2020-08-09,79,42,0,12,56,11,77,33,38,92,0,67,46,44,84,33
