date,mental illness,mental health,self-harm,suicide,death,therapy,counsellor,counselling,trauma,phobia,addiction,stigma,abuse,disorder,dependence,socialize,psychologist ,well-being,self-esteem,toxic,drugs,depression hotline,mental health hotline,hotline,emotional support 
2019-01-06,10,25,0,38,23,48,50,50,17,38,46,21,41,38,0,0,46,0,0,41,42,0,0,49,0
2019-01-13,29,28,0,57,24,55,100,50,34,89,76,21,68,65,54,0,53,0,0,67,45,0,0,55,0
2019-01-20,47,33,0,57,35,73,61,44,99,49,54,20,36,54,52,0,73,0,0,39,49,52,0,52,0
2019-01-27,30,32,0,42,28,59,25,41,23,64,51,42,49,50,27,0,31,0,0,37,14,0,0,57,0
2019-02-03,0,33,0,44,35,69,29,89,7,44,47,24,69,30,62,0,61,29,0,34,29,0,0,48,0
2019-02-10,77,15,0,65,31,68,74,85,22,50,55,41,48,70,27,0,45,0,35,37,44,0,0,61,0
2019-02-17,9,27,0,48,37,63,48,53,38,24,10,50,43,70,0,0,51,0,34,60,43,0,0,63,0
2019-02-24,57,30,0,52,28,71,49,58,22,25,39,10,62,54,26,0,44,0,0,32,41,0,0,55,0
2019-03-03,38,28,0,60,27,74,49,71,22,50,40,41,40,52,26,0,52,25,35,36,33,0,0,64,22
2019-03-10,19,28,0,26,31,85,50,54,23,25,65,42,67,41,27,0,53,0,35,70,44,54,0,55,23
2019-03-17,20,16,0,44,40,74,76,69,17,39,61,53,87,42,55,0,46,26,0,41,34,0,0,57,0
2019-03-24,58,31,0,44,30,74,37,85,22,50,69,31,66,63,53,0,37,0,0,44,35,0,0,66,0
2019-03-31,29,15,0,42,29,65,61,45,39,62,39,21,66,46,0,0,37,0,35,36,46,0,0,56,22
2019-04-07,9,15,0,35,26,55,12,53,11,37,54,51,47,46,26,0,15,74,35,43,57,0,0,63,0
2019-04-14,38,15,0,17,24,59,12,49,22,25,44,51,51,60,26,0,30,0,0,51,44,53,0,56,0
2019-04-21,55,26,0,51,25,53,47,51,16,24,66,39,88,61,25,41,21,24,34,42,37,0,0,60,0
2019-04-28,19,47,0,48,25,75,0,56,21,24,67,40,50,39,51,0,14,0,34,28,37,51,0,58,21
2019-05-05,19,18,0,23,24,85,24,39,32,24,34,30,36,78,51,0,22,48,0,21,42,0,0,64,0
2019-05-12,38,27,0,49,25,73,48,62,22,25,73,30,65,40,0,0,44,25,0,29,56,0,0,59,0
2019-05-19,38,24,0,48,24,67,36,44,16,24,58,0,65,51,26,0,29,0,0,32,37,0,0,63,0
