date,help,dead,no motivation,loneliness,lonely,isolated,stress,angst,emotion,social anxiety,mood swings,tired,trapped,paranoia,overwhelmed,irritable,,,,,,,,
2019-01-06,63,50,0,0,9,51,50,62,35,61,21,100,25,26,27,53,62,62,62,62,62,62,62,62
2019-01-13,51,49,0,24,48,17,74,16,36,31,42,69,25,26,0,18,54,54,54,54,54,54,54,54
2019-01-20,45,63,0,23,81,17,89,15,81,45,0,60,62,0,26,35,82,82,82,82,82,82,82,82
2019-01-27,65,47,35,36,48,35,53,31,47,31,0,90,13,26,27,53,73,73,73,73,73,73,73,73
2019-02-03,55,49,0,55,50,59,19,0,27,36,0,62,0,60,31,0,59,59,59,59,59,59,59,59
2019-02-10,53,48,0,12,52,17,73,0,58,31,41,39,50,26,40,0,66,66,66,66,66,66,66,66
2019-02-17,55,49,33,34,63,33,48,15,68,0,0,86,49,0,38,17,45,45,45,45,45,45,45,45
2019-02-24,60,35,0,23,64,17,56,31,58,0,40,74,12,26,0,35,44,44,44,44,44,44,44,44
2019-03-03,55,51,0,58,90,0,58,0,35,30,0,84,62,26,13,52,57,57,57,57,57,57,57,57
2019-03-10,55,47,0,47,56,0,40,62,47,0,21,71,38,78,0,35,51,51,51,51,51,51,51,51
2019-03-17,60,41,0,36,49,35,68,32,60,31,42,66,39,0,14,0,72,72,72,72,72,72,72,72
2019-03-24,65,61,0,12,65,17,71,46,47,31,0,71,38,26,40,18,55,55,55,55,55,55,55,55
2019-03-31,56,48,34,23,64,68,57,15,35,0,20,88,50,52,26,0,65,65,65,65,65,65,65,65
2019-04-07,57,41,0,34,38,17,67,30,45,0,20,90,12,25,51,51,72,72,72,72,72,72,72,72
2019-04-14,63,43,0,35,60,51,56,0,35,0,20,67,100,26,26,0,76,76,76,76,76,76,76,76
2019-04-21,59,44,0,45,37,16,61,15,22,15,0,51,48,0,0,17,40,40,40,40,40,40,40,40
2019-04-28,55,49,0,34,66,0,63,59,56,15,58,88,48,0,25,17,40,40,40,40,40,40,40,40
2019-05-05,62,40,0,23,46,82,66,30,34,0,0,48,12,25,25,34,73,73,73,73,73,73,73,73
2019-05-12,45,39,0,46,25,17,60,30,91,0,20,59,61,25,26,0,58,58,58,58,58,58,58,58
2019-05-19,59,45,0,11,38,50,41,0,45,44,0,62,85,25,26,17,68,68,68,68,68,68,68,68
2019-05-26,56,39,0,0,33,65,72,0,45,0,0,88,96,25,13,50,61,61,61,61,61,61,61,61
2019-06-02,57,39,0,12,51,51,59,15,12,15,41,60,62,0,13,17,55,55,55,55,55,55,55,55
2019-06-09,59,37,33,35,51,17,37,15,34,60,0,49,74,0,0,17,67,67,67,67,67,67,67,67
2019-06-16,59,34,0,0,47,0,65,31,34,15,0,49,49,77,13,35,56,56,56,56,56,56,56,56
2019-06-23,58,43,33,23,46,33,57,30,34,15,20,83,24,0,0,0,62,62,62,62,62,62,62,62
2019-06-30,53,31,33,11,54,49,43,15,0,15,40,82,36,0,26,51,76,76,76,76,76,76,76,76
2019-07-07,57,41,0,45,37,49,73,15,45,15,20,68,60,25,51,34,86,86,86,86,86,86,86,86
2019-07-14,64,36,33,23,55,17,64,30,23,0,40,69,73,51,13,34,80,80,80,80,80,80,80,80
2019-07-21,57,36,100,23,76,50,79,30,34,0,20,63,12,25,26,69,66,66,66,66,66,66,66,66
2019-07-28,63,33,0,0,55,33,51,45,57,15,20,69,49,25,13,34,58,58,58,58,58,58,58,58
2019-08-04,50,34,0,59,87,34,69,31,59,31,21,72,63,26,13,0,53,53,53,53,53,53,53,53
2019-08-11,56,43,0,12,60,51,65,31,35,30,0,67,37,0,13,0,56,56,56,56,56,56,56,56
2019-08-18,63,39,33,23,46,17,83,30,68,15,20,86,49,0,13,0,51,51,51,51,51,51,51,51
2019-08-25,68,29,33,23,59,50,55,15,23,0,0,76,73,25,51,34,92,92,92,92,92,92,92,92
2019-09-01,59,43,0,34,67,50,69,45,23,0,20,62,61,0,0,17,41,41,41,41,41,41,41,41
2019-09-08,63,26,0,11,66,16,64,0,45,15,0,55,24,0,25,17,55,55,55,55,55,55,55,55
2019-09-15,63,38,0,11,45,32,83,15,88,43,19,94,24,0,25,17,80,80,80,80,80,80,80,80
2019-09-22,64,45,33,11,58,16,82,74,67,0,0,75,60,0,38,0,59,59,59,59,59,59,59,59
2019-09-29,69,43,0,0,70,65,68,15,67,15,0,78,36,25,13,0,59,59,59,59,59,59,59,59
2019-10-06,70,44,0,34,53,0,47,44,78,15,0,64,12,25,13,17,58,58,58,58,58,58,58,58
2019-10-13,62,43,0,33,56,64,57,43,33,14,19,66,47,0,25,0,65,65,65,65,65,65,65,65
2019-10-20,48,39,0,33,64,32,86,0,54,43,19,53,35,48,37,33,37,37,37,37,37,37,37,37
2019-10-27,63,61,0,22,78,81,70,15,45,44,39,75,60,25,13,50,63,63,63,63,63,63,63,63
2019-11-03,65,48,0,21,74,15,86,14,85,42,0,64,23,24,0,16,42,42,42,42,42,42,42,42
2019-11-10,59,44,0,21,42,46,57,28,42,27,18,73,34,23,0,0,62,62,62,62,62,62,62,62
2019-11-17,58,50,0,11,71,0,80,42,96,14,19,52,23,0,0,48,77,77,77,77,77,77,77,77
2019-11-24,66,47,0,21,59,62,88,14,21,28,37,71,45,0,0,48,67,67,67,67,67,67,67,67
2019-12-01,52,38,0,44,37,64,51,29,44,29,19,77,12,0,37,17,46,46,46,46,46,46,46,46
2019-12-08,50,40,32,45,90,32,51,59,44,0,0,84,24,25,25,17,40,40,40,40,40,40,40,40
2019-12-15,60,39,0,22,53,16,36,15,11,29,0,40,59,25,13,17,56,56,56,56,56,56,56,56
2019-12-22,54,42,0,12,60,0,33,15,58,15,0,57,25,0,0,70,72,72,72,72,72,72,72,72
2019-12-29,59,38,0,11,54,33,48,60,45,44,39,65,60,50,25,17,98,98,98,98,98,98,98,98
2020-01-05,70,46,0,21,50,0,52,55,83,54,18,60,33,69,23,31,58,58,58,58,58,58,58,58
