date,uncertainty,death,community cases,fatality rate,cluster,retrenchment,variant,Stay Home Notice,shn,home based learning,hbl,school closure
2020-01-05,8,30,0,0,32,15,2,0,0,0,1,0
2020-01-12,29,27,0,0,21,2,2,0,0,0,0,0
2020-01-19,33,40,2,0,19,8,1,0,0,0,1,7
2020-01-26,16,100,0,95,18,5,2,0,1,0,0,35
2020-02-02,44,67,2,100,29,12,2,0,0,7,2,100
2020-02-09,22,67,0,75,45,22,1,0,0,2,2,26
2020-02-16,51,51,0,37,44,15,5,6,3,0,0,0
2020-02-23,79,39,0,24,39,21,4,5,4,0,0,13
2020-03-01,27,37,0,0,63,7,1,8,7,0,2,12
2020-03-08,65,44,4,74,73,36,3,9,7,2,2,32
2020-03-15,14,79,0,62,50,38,1,100,100,2,0,70
2020-03-22,34,64,0,47,79,11,1,40,82,19,5,82
2020-03-29,53,78,0,11,87,31,1,23,52,100,47,96
2020-04-05,34,53,0,11,69,34,2,6,22,89,80,41
2020-04-12,62,53,2,21,52,21,1,7,12,55,64,5
2020-04-19,49,49,3,32,46,23,1,14,21,38,57,5
2020-04-26,58,49,5,55,60,49,1,7,15,22,38,11
2020-05-03,46,51,5,11,50,22,2,1,12,10,24,3
2020-05-10,33,40,4,0,42,11,3,6,12,14,9,9
2020-05-17,61,45,6,12,35,50,2,5,15,5,11,3
2020-05-24,54,47,9,11,39,31,1,4,4,8,13,9
2020-05-31,26,42,7,0,31,37,3,2,7,21,24,6
2020-06-07,45,41,5,33,38,35,4,3,9,9,30,3
2020-06-14,27,44,6,23,39,45,3,5,21,9,32,6
2020-06-21,33,36,7,11,63,40,4,2,9,11,27,6
2020-06-28,41,35,8,12,56,39,2,3,16,3,14,0
2020-07-05,21,37,12,12,34,28,3,6,23,3,7,3
2020-07-12,35,33,8,0,38,75,3,4,12,6,13,3
2020-07-19,35,33,8,0,51,35,3,4,18,5,9,0
2020-07-26,21,37,6,12,28,100,3,2,14,7,10,0
2020-08-02,49,37,4,0,41,53,3,2,22,8,7,3
2020-08-09,56,33,12,24,28,14,2,2,16,6,19,0
2020-08-16,56,34,2,0,40,44,2,5,19,2,8,6
2020-08-23,56,51,12,0,37,28,1,5,25,2,12,0
2020-08-30,7,38,6,12,36,42,2,2,19,6,7,0
2020-09-06,49,34,10,24,33,59,2,4,23,3,11,0
2020-09-13,28,47,2,0,28,57,0,4,16,2,7,6
2020-09-20,64,49,2,12,25,21,3,6,12,2,5,0
2020-09-27,68,33,6,0,22,40,1,2,15,3,6,0
2020-10-04,61,35,8,0,23,15,1,2,10,2,6,0
2020-10-11,32,32,2,28,32,14,2,7,16,2,4,4
2020-10-18,40,32,2,0,13,29,1,1,11,4,4,7
2020-10-25,39,38,4,0,23,42,2,4,10,4,12,0
2020-11-01,14,29,0,0,15,22,3,2,14,5,4,0
2020-11-08,8,27,2,13,16,18,2,2,15,2,7,3
2020-11-15,16,30,15,13,34,11,2,4,25,2,9,0
2020-11-22,24,34,7,0,24,18,3,3,13,0,7,0
2020-11-29,24,29,9,0,25,24,0,2,14,0,5,0
2020-12-06,24,32,0,0,20,8,2,2,16,0,3,0
2020-12-13,16,32,2,0,18,16,2,3,22,0,3,0
2020-12-20,8,37,0,0,14,3,7,3,16,2,4,0
2020-12-27,25,39,9,14,11,3,10,3,22,4,5,0
2021-01-03,32,35,2,0,29,3,3,2,20,0,9,0
2021-01-10,8,33,9,14,18,8,9,2,19,4,3,0
2021-01-17,32,28,38,14,46,3,4,3,13,4,7,0
2021-01-24,8,29,4,0,19,5,7,3,18,2,3,0
2021-01-31,25,34,9,0,22,8,1,1,16,4,5,0
2021-02-07,26,34,5,0,28,6,5,4,11,2,1,0
2021-02-14,16,34,0,0,15,8,8,2,15,2,12,0
2021-02-21,16,38,7,14,38,14,3,2,16,4,12,0
2021-02-28,25,30,5,0,27,11,4,0,15,0,3,0
2021-03-07,8,33,7,0,32,11,2,3,13,6,1,0
2021-03-14,23,31,0,0,20,20,6,1,15,3,5,0
2021-03-21,33,26,7,0,10,24,5,3,16,4,3,0
2021-03-28,25,30,0,0,24,5,2,1,11,0,8,0
2021-04-04,8,32,0,0,23,11,7,1,13,2,11,4
2021-04-11,32,29,7,0,29,5,6,3,17,4,8,0
2021-04-18,24,34,26,0,18,13,12,2,16,5,4,0
2021-04-25,16,30,53,0,55,19,11,3,16,7,5,0
2021-05-02,31,39,61,13,100,3,42,3,43,4,3,0
2021-05-09,8,42,99,0,98,5,43,4,22,7,22,11
2021-05-16,46,41,100,26,65,0,100,3,17,47,100,13
2021-05-23,23,40,32,52,46,3,37,3,12,19,36,0
2021-05-30,23,32,52,13,59,8,31,1,19,4,10,0
2021-06-06,24,35,42,0,37,16,22,2,14,2,5,0
2021-06-13,39,32,26,13,72,16,31,3,9,4,12,0
2021-06-20,16,35,13,0,50,5,61,4,17,0,11,0
2021-06-27,24,34,20,0,32,3,37,1,15,4,37,0
2021-07-04,57,31,5,32,37,13,60,2,14,4,10,0
