date,uncertainty,death,community cases,fatality rate,cluster,retrenchment,variant,Stay Home Notice,shn,home based learning,hbl,school closure
2019-01-06,26,23,0,0,24,6,1,0,0,0,0,0
2019-01-13,26,24,0,0,23,6,2,0,0,0,0,0
2019-01-20,17,35,0,0,20,8,3,0,1,0,0,0
2019-01-27,35,28,0,0,28,3,7,0,0,0,0,0
2019-02-03,20,35,0,0,12,3,0,0,1,0,2,4
2019-02-10,26,31,0,0,22,11,2,0,0,0,1,0
2019-02-17,25,37,0,0,22,6,1,0,0,0,0,4
2019-02-24,17,28,0,0,21,17,1,0,0,0,0,4
2019-03-03,34,27,0,0,32,42,2,0,0,0,0,0
2019-03-10,17,31,0,0,12,9,2,0,0,0,3,0
2019-03-17,9,40,0,0,12,3,2,0,1,0,1,0
2019-03-24,8,30,0,0,25,11,2,0,0,0,1,4
2019-03-31,25,29,0,0,28,3,1,0,0,0,0,0
2019-04-07,50,26,0,0,28,6,4,0,0,0,3,0
2019-04-14,85,24,0,0,15,31,1,0,0,0,0,0
2019-04-21,32,25,0,0,23,8,1,0,0,0,0,4
2019-04-28,33,25,0,0,17,5,2,0,0,0,0,0
2019-05-05,41,24,0,0,15,22,1,0,1,0,0,0
2019-05-12,100,25,0,0,21,8,1,0,1,0,0,0
2019-05-19,41,24,0,14,24,8,1,0,1,0,0,0
2019-05-26,33,24,0,0,32,8,2,0,0,0,1,0
2019-06-02,8,26,0,0,20,6,0,0,0,0,0,4
2019-06-09,8,22,0,0,16,6,3,0,0,0,0,0
2019-06-16,17,24,0,0,31,14,3,0,1,0,0,0
2019-06-23,8,26,0,0,28,14,1,0,0,2,0,0
2019-06-30,24,23,0,0,34,8,3,0,0,4,0,0
2019-07-07,24,32,0,0,32,14,2,0,0,0,0,0
2019-07-14,33,30,0,0,32,3,2,0,0,0,0,0
2019-07-21,0,24,0,0,28,3,2,0,1,0,0,0
2019-07-28,42,26,0,0,27,22,2,0,0,0,0,4
2019-08-04,61,23,0,0,30,17,3,0,0,0,0,0
2019-08-11,8,26,0,0,29,17,2,0,0,2,1,0
2019-08-18,25,31,0,0,30,8,2,0,1,0,0,0
2019-08-25,41,28,0,0,26,17,0,0,1,0,0,0
2019-09-01,41,27,0,0,21,14,3,0,0,0,3,4
2019-09-08,33,24,0,0,42,6,2,0,0,0,0,4
2019-09-15,24,26,0,0,28,8,1,0,0,2,0,14
2019-09-22,16,28,0,0,22,25,4,0,0,0,1,4
2019-09-29,16,27,0,0,17,22,1,0,0,0,0,0
2019-10-06,24,29,2,0,22,30,2,0,0,0,0,0
2019-10-13,32,41,0,14,23,16,3,0,0,0,0,0
2019-10-20,8,26,0,0,29,11,1,0,0,0,0,0
2019-10-27,24,35,0,0,21,14,1,0,0,0,0,0
2019-11-03,16,34,0,0,22,8,2,0,1,2,3,0
2019-11-10,8,38,0,0,17,20,3,0,0,0,0,0
2019-11-17,16,30,0,0,18,10,2,0,0,0,0,3
2019-11-24,38,32,0,0,26,5,4,0,0,0,0,0
2019-12-01,24,24,0,0,23,8,2,0,0,0,0,0
2019-12-08,24,28,0,0,17,8,2,0,0,0,0,4
2019-12-15,8,28,0,14,20,5,1,0,0,0,0,0
2019-12-22,17,28,0,0,24,9,2,0,0,0,1,0
2019-12-29,16,33,0,0,23,3,2,0,0,0,0,0
