date,covid-19,epidemic,pandemic,pre-covid,coronavirus,vaccine,clinical trial,contact tracing,contactless,mask,asymptomatic,national emergency,transmission,hospital,healthcare worker ,symptomatic,symptoms,outbreak,spread,hygiene,crisis,new normal,zoom,frontline
2019-01-06,0,4,1,0,0,1,22,0,18,4,0,20,23,65,0,0,16,3,17,36,34,11,2,31
2019-01-13,0,7,0,0,0,1,0,5,0,6,0,0,20,78,0,0,23,6,16,36,34,0,2,31
2019-01-20,0,7,0,0,0,2,21,0,9,4,2,0,34,72,0,0,19,4,20,39,42,10,2,30
2019-01-27,0,2,0,0,0,1,44,0,9,5,0,40,18,56,0,0,20,1,24,23,27,0,2,23
2019-02-03,0,0,0,0,0,1,100,0,10,6,0,0,26,49,0,0,18,15,19,16,27,25,2,27
2019-02-10,0,4,1,0,0,1,21,0,27,6,2,79,32,64,0,8,21,4,25,31,35,0,1,45
2019-02-17,0,11,1,0,0,2,21,0,17,6,2,38,24,59,34,0,19,11,33,35,38,21,2,22
2019-02-24,0,4,0,0,0,2,42,0,27,6,0,0,19,56,0,8,19,5,21,31,23,0,2,15
2019-03-03,0,5,1,0,0,4,42,0,18,6,2,0,20,71,0,0,18,1,20,36,32,0,3,38
2019-03-10,0,4,0,0,0,2,22,0,9,5,0,20,20,70,0,0,18,7,20,31,41,11,1,23
2019-03-17,0,9,0,0,0,2,66,0,9,6,0,0,20,61,0,0,19,2,16,23,31,0,2,15
2019-03-24,0,2,0,0,0,2,42,0,18,7,2,20,20,67,0,0,18,13,25,44,44,0,3,30
2019-03-31,0,4,0,0,0,2,21,5,36,7,2,20,20,83,0,8,19,4,28,44,33,21,2,23
2019-04-07,0,5,0,0,0,2,21,0,9,7,2,0,27,66,0,0,18,6,22,66,40,0,2,22
2019-04-14,0,4,0,0,0,1,0,5,27,4,2,0,17,66,0,0,16,6,18,31,37,11,3,0
2019-04-21,0,0,0,0,0,2,20,0,0,5,0,19,12,72,0,7,23,2,29,30,37,0,4,22
2019-04-28,0,0,1,0,0,2,41,0,0,5,1,19,9,68,0,15,18,4,26,43,25,10,2,7
2019-05-05,0,2,0,0,0,2,0,0,9,4,0,0,19,73,0,0,18,4,25,34,22,0,2,36
2019-05-12,0,2,0,0,0,2,21,0,9,6,0,0,15,62,34,0,19,2,22,39,29,0,3,22
2019-05-19,0,4,0,0,0,2,0,5,17,5,0,19,14,55,0,0,17,7,20,74,26,0,2,7
2019-05-26,0,0,0,0,0,2,20,0,17,5,1,0,33,70,0,0,19,4,23,43,20,0,2,7
2019-06-02,0,2,0,0,0,2,0,0,45,5,2,0,34,57,34,0,16,4,24,22,32,0,2,30
2019-06-09,0,2,0,0,0,2,0,0,9,5,0,0,17,61,0,7,16,6,16,13,21,10,3,44
2019-06-16,0,11,1,0,0,3,21,0,18,5,0,0,30,72,0,0,23,1,26,27,35,11,4,23
2019-06-23,0,2,1,0,0,2,0,0,9,6,2,0,31,66,0,0,21,2,17,31,17,0,3,15
2019-06-30,0,0,0,0,0,2,0,0,17,5,1,0,26,63,0,0,20,3,14,26,22,10,2,29
2019-07-07,0,2,0,0,0,3,20,0,9,6,1,0,33,75,0,7,22,2,23,17,34,0,2,43
2019-07-14,0,3,0,0,0,2,21,0,0,5,0,19,14,70,0,0,20,4,18,52,36,0,3,0
2019-07-21,0,2,0,0,0,2,43,0,63,7,0,0,22,70,0,0,20,3,22,44,25,0,3,30
2019-07-28,0,5,0,0,0,3,63,0,18,6,0,0,17,77,0,0,22,3,27,62,37,0,2,22
2019-08-04,0,2,0,0,0,1,22,5,18,6,2,0,10,51,0,0,18,4,18,23,18,11,3,23
2019-08-11,0,4,0,0,0,2,21,0,18,8,0,0,22,57,0,0,21,3,13,58,26,0,3,0
2019-08-18,0,2,1,0,0,1,21,0,0,6,3,0,27,65,0,0,23,1,20,53,38,10,3,30
2019-08-25,0,4,1,0,0,1,21,0,17,7,0,0,14,71,0,0,19,2,32,43,29,0,2,0
2019-09-01,0,5,1,0,0,2,83,0,17,6,0,0,14,58,33,7,22,4,24,22,36,0,3,7
2019-09-08,0,4,0,0,0,1,21,0,9,9,2,0,14,66,0,7,19,1,30,39,33,0,3,22
2019-09-15,0,3,1,0,0,2,41,0,17,13,0,0,2,72,0,0,16,4,24,43,39,10,3,7
2019-09-22,0,3,0,0,0,1,41,5,9,8,1,0,14,68,0,0,19,7,24,34,39,10,2,22
2019-09-29,0,2,1,0,0,2,20,0,26,6,1,0,33,64,33,0,22,8,14,34,27,0,3,22
2019-10-06,0,3,0,0,0,2,0,0,8,6,0,0,21,74,0,7,19,3,26,55,43,0,4,36
2019-10-13,0,0,0,0,0,2,0,0,0,6,0,0,26,60,0,7,21,3,13,50,20,0,3,36
2019-10-20,0,7,1,0,0,2,20,0,17,6,0,0,30,65,0,7,19,3,23,54,35,0,3,21
2019-10-27,0,5,0,0,0,1,20,0,9,8,0,0,14,69,0,0,21,6,25,30,42,0,3,22
2019-11-03,0,3,1,0,0,2,20,0,16,6,3,0,20,73,0,7,20,4,32,49,34,0,4,7
2019-11-10,0,6,1,0,0,3,0,0,24,6,0,0,13,67,0,20,20,3,22,40,35,0,3,13
2019-11-17,0,3,1,0,0,2,39,0,16,7,0,0,32,75,32,0,15,5,26,24,32,0,3,21
2019-11-24,0,6,1,0,0,2,0,0,0,7,1,0,24,62,31,7,18,4,14,44,31,0,2,34
2019-12-01,0,3,1,0,0,2,40,0,34,7,1,0,23,63,33,14,18,3,19,38,28,10,2,21
2019-12-08,0,2,0,0,0,2,41,0,9,6,0,0,9,68,0,0,22,6,21,30,84,0,3,22
2019-12-15,0,2,0,0,0,1,0,0,34,6,1,0,14,75,0,15,21,4,16,51,27,20,3,7
2019-12-22,0,2,0,0,0,2,0,0,27,6,0,0,20,59,0,0,24,6,21,22,23,11,2,0
2019-12-29,0,9,1,0,0,1,20,5,0,5,0,0,26,63,0,0,20,9,24,38,17,20,1,22
2020-01-05,0,5,2,0,0,2,19,5,16,5,3,0,15,80,0,0,20,12,24,100,49,0,2,27
2020-01-12,0,8,1,0,0,4,18,0,31,5,0,0,30,75,30,0,24,8,27,39,66,0,3,0
2020-01-19,0,40,10,0,13,4,21,10,26,22,7,0,43,79,33,0,72,51,54,60,39,0,3,15
2020-01-26,0,81,25,0,46,6,20,5,67,100,100,0,69,100,0,100,100,75,100,71,49,10,2,21
2020-02-02,0,100,32,0,70,6,37,22,8,64,40,0,74,84,0,26,77,100,84,65,53,27,4,13
2020-02-09,17,67,20,0,87,5,37,58,77,54,23,17,100,74,59,26,81,62,84,77,44,0,8,39
2020-02-16,21,20,10,0,44,2,37,13,69,29,19,0,66,70,30,0,43,29,32,85,42,9,8,33
2020-02-23,25,47,27,0,42,5,54,17,8,19,10,0,46,69,29,6,36,26,50,64,25,18,7,32
2020-03-01,19,20,13,0,37,3,17,29,22,18,10,16,42,58,55,0,38,36,50,82,47,0,6,18
2020-03-08,32,86,100,0,53,7,36,35,23,18,16,100,38,68,29,13,47,38,69,60,71,18,8,45
2020-03-15,52,49,51,0,72,9,54,52,38,21,31,0,38,74,29,6,66,42,65,53,73,9,17,58
2020-03-22,49,34,40,0,83,7,69,100,29,25,22,48,50,72,84,19,67,52,63,47,100,26,37,49
2020-03-29,51,31,31,0,84,7,17,64,49,44,46,15,29,72,27,6,59,29,61,49,69,8,68,100
2020-04-05,44,24,28,0,74,5,0,57,14,70,28,0,33,67,27,6,46,22,36,53,66,8,100,48
2020-04-12,37,17,21,0,100,6,78,34,39,50,26,14,32,54,50,11,30,20,49,49,63,8,64,72
2020-04-19,32,12,22,0,87,5,46,26,84,27,13,14,23,60,25,17,27,17,50,58,62,31,56,55
2020-04-26,26,18,18,0,43,5,65,43,54,21,8,30,30,54,26,0,26,13,37,17,48,16,49,40
2020-05-03,21,12,14,0,32,6,82,36,34,23,7,15,25,52,26,12,17,11,54,44,60,57,42,52
2020-05-10,22,11,20,0,30,5,50,36,21,21,6,15,33,68,81,6,22,12,41,38,57,58,44,65
2020-05-17,20,16,13,0,21,7,0,12,29,27,10,0,18,70,0,12,27,10,36,68,55,59,46,36
2020-05-24,21,7,15,0,16,6,84,28,42,40,17,0,47,63,0,0,25,9,35,46,42,92,44,24
2020-05-31,18,3,13,0,15,6,16,79,41,30,54,0,15,76,26,6,27,15,33,89,43,81,38,58
2020-06-07,19,11,13,0,15,7,16,55,61,26,31,0,30,73,52,6,27,8,44,65,51,97,40,40
2020-06-14,19,9,15,0,14,6,17,28,35,25,12,0,23,63,27,0,25,9,40,49,43,100,36,65
2020-06-21,15,3,10,0,12,6,34,24,56,22,9,0,19,57,54,6,27,7,30,46,38,33,32,48
2020-06-28,16,6,13,0,11,6,51,25,0,33,15,0,16,70,0,6,35,4,29,29,35,25,27,30
2020-07-05,13,3,13,0,12,6,35,25,22,28,9,0,32,70,0,6,34,8,28,29,40,26,23,18
2020-07-12,16,9,9,0,12,10,18,13,37,26,5,0,31,67,0,6,31,3,38,81,31,62,25,44
2020-07-19,15,1,12,0,10,9,0,17,7,27,9,0,22,59,0,0,24,5,29,37,34,53,26,13
2020-07-26,21,5,9,0,8,8,18,13,37,22,6,0,14,64,29,6,27,8,21,63,31,44,23,51
2020-08-02,49,9,12,0,8,7,87,0,22,20,10,16,22,66,28,19,25,7,31,58,47,43,24,49
2020-08-09,18,9,8,0,8,15,35,8,44,20,9,0,24,65,85,6,23,3,36,70,30,26,26,6
2020-08-16,15,10,14,0,8,8,18,21,37,21,9,0,32,72,57,0,25,7,20,84,35,35,26,50
2020-08-23,13,6,9,86,7,7,53,9,15,22,6,0,25,72,29,6,22,5,23,56,35,26,23,19
2020-08-30,14,6,7,0,7,7,35,4,15,19,13,0,20,63,57,13,29,7,36,44,48,26,26,31
2020-09-06,17,4,11,0,7,8,53,9,0,20,9,0,22,62,57,0,26,7,33,48,29,52,23,6
2020-09-13,13,8,10,0,6,7,36,9,7,19,1,0,37,74,0,0,26,5,32,75,34,18,22,32
2020-09-20,15,9,11,0,6,6,18,22,22,30,1,0,17,68,0,0,31,6,36,49,47,35,20,25
2020-09-27,13,5,10,0,6,6,38,18,32,22,3,0,24,55,61,7,30,7,23,28,34,66,22,27
2020-10-04,10,6,11,0,6,5,19,28,32,18,26,0,27,74,31,27,28,6,31,60,28,28,20,20
2020-10-11,9,5,7,0,6,7,0,15,34,16,12,0,42,56,33,29,28,6,21,34,40,20,20,29
2020-10-18,9,2,12,0,6,8,60,29,17,14,10,18,25,60,32,21,23,1,23,75,23,20,20,28
2020-10-25,10,5,11,96,6,9,59,34,25,15,6,0,25,55,32,21,24,5,24,29,48,29,18,14
2020-11-01,8,2,9,0,5,6,36,13,8,13,4,0,21,59,59,26,18,3,23,46,41,18,18,19
2020-11-08,10,13,7,0,5,14,78,9,33,14,6,0,9,64,32,7,26,5,22,65,32,29,20,28
2020-11-15,9,5,8,0,5,11,0,29,17,15,7,0,46,59,64,7,25,4,26,41,36,20,20,21
2020-11-22,10,3,8,0,5,10,20,14,8,15,7,0,23,56,0,28,24,5,23,62,11,0,18,7
2020-11-29,9,7,7,0,4,14,59,14,25,23,9,0,14,55,0,14,29,4,19,41,21,0,17,7
2020-12-06,8,3,6,0,4,19,20,10,33,19,6,0,25,57,32,14,27,4,21,25,28,0,15,14
2020-12-13,10,5,8,0,4,29,40,10,25,14,9,0,12,57,32,0,20,3,25,25,16,30,15,28
2020-12-20,11,12,11,0,6,20,0,25,35,13,8,0,22,61,0,8,24,3,27,44,26,10,11,22
2020-12-27,10,3,9,0,4,16,21,25,17,12,3,0,14,60,33,7,24,6,15,39,22,20,11,0
2021-01-03,9,7,8,0,5,20,0,15,9,12,1,38,35,72,33,0,28,4,18,51,35,30,15,14
2021-01-10,8,5,7,0,5,26,40,15,17,12,3,0,26,61,33,0,26,4,27,68,25,10,18,7
2021-01-17,10,0,6,0,4,29,40,10,42,13,0,0,21,56,65,7,33,5,38,50,28,0,15,21
2021-01-24,11,3,12,0,3,27,20,24,8,12,9,0,35,56,0,7,28,3,28,63,28,20,16,21
2021-01-31,9,2,12,100,3,24,0,10,9,13,1,0,19,58,33,0,27,4,29,39,36,20,16,29
2021-02-07,10,4,9,0,4,17,22,0,18,10,3,0,18,54,0,8,23,7,22,51,18,11,14,23
2021-02-14,9,3,7,0,3,22,62,5,26,9,4,0,31,59,33,0,28,4,18,47,31,31,12,29
2021-02-21,10,2,9,0,2,34,62,10,17,13,3,0,45,65,0,0,30,6,29,69,26,10,17,15
2021-02-28,11,5,9,0,2,31,21,15,43,18,1,0,26,75,100,7,26,4,32,30,43,10,17,22
2021-03-07,9,7,7,0,2,39,83,5,35,15,5,19,24,53,34,7,30,5,16,52,27,31,15,7
2021-03-14,8,3,8,0,2,51,38,5,32,13,1,0,20,62,0,7,26,5,15,36,27,38,15,27
2021-03-21,9,3,10,0,2,66,20,10,17,10,1,0,21,68,66,7,25,3,31,51,49,0,16,22
2021-03-28,11,12,4,0,2,53,0,5,35,10,4,0,24,61,67,7,29,4,30,26,80,20,13,29
2021-04-04,13,5,10,98,3,58,40,10,0,9,3,0,23,61,32,0,29,1,30,46,37,20,16,21
2021-04-11,12,3,10,0,3,59,100,15,17,10,6,0,35,68,32,29,25,3,31,42,31,10,15,14
2021-04-18,13,3,11,97,4,43,0,0,0,10,4,0,28,77,32,0,32,3,25,58,33,10,14,14
2021-04-25,18,9,7,0,6,66,40,10,51,11,13,0,26,80,65,22,39,3,37,25,45,0,15,28
2021-05-02,21,12,7,0,5,42,40,10,25,14,14,0,23,76,32,7,42,5,36,41,29,10,14,35
2021-05-09,100,7,11,0,5,41,61,10,17,16,10,0,35,77,0,7,42,5,22,34,47,10,19,29
