date,Institute of Mental Health,IMH,Samaritans Of Singapore,SOS,National Care Hotline,Silver Ribbon Singapore,Project StART,TRANS SAFE Centre,Care Corner,,,,,,,,,,
2019-01-06,0,48,0,32,0,0,0,0,0,62,62,62,62,62,62,62,62,62,62
2019-01-13,31,43,0,20,0,0,59,0,0,54,54,54,54,54,54,54,54,54,54
2019-01-20,30,58,34,24,0,0,0,0,35,82,82,82,82,82,82,82,82,82,82
2019-01-27,0,48,0,12,0,0,0,0,73,73,73,73,73,73,73,73,73,73,73
2019-02-03,35,31,0,41,0,100,0,0,21,59,59,59,59,59,59,59,59,59,59
2019-02-10,0,21,0,8,0,0,29,0,36,66,66,66,66,66,66,66,66,66,66
2019-02-17,0,26,0,31,0,83,0,0,0,45,45,45,45,45,45,45,45,45,45
2019-02-24,30,21,0,27,0,0,28,0,53,44,44,44,44,44,44,44,44,44,44
2019-03-03,60,16,0,47,0,0,0,0,18,57,57,57,57,57,57,57,57,57,57
2019-03-10,0,59,35,36,0,0,29,0,72,51,51,51,51,51,51,51,51,51,51
2019-03-17,62,54,36,33,0,0,0,0,37,72,72,72,72,72,72,72,72,72,72
2019-03-24,0,53,35,40,0,0,29,0,54,55,55,55,55,55,55,55,55,55,55
2019-03-31,0,58,0,28,0,0,0,0,18,65,65,65,65,65,65,65,65,65,65
2019-04-07,29,47,68,35,0,0,0,0,52,72,72,72,72,72,72,72,72,72,72
2019-04-14,30,48,0,32,0,86,29,0,36,76,76,76,76,76,76,76,76,76,76
2019-04-21,29,20,33,34,0,0,0,0,17,40,40,40,40,40,40,40,40,40,40
2019-04-28,0,35,0,38,0,0,0,0,34,40,40,40,40,40,40,40,40,40,40
2019-05-05,58,66,100,34,0,83,28,0,34,73,73,73,73,73,73,73,73,73,73
2019-05-12,29,31,34,15,0,0,28,0,35,58,58,58,58,58,58,58,58,58,58
2019-05-19,0,67,0,19,0,0,56,0,0,68,68,68,68,68,68,68,68,68,68
2019-05-26,0,56,0,42,0,0,0,0,17,61,61,61,61,61,61,61,61,61,61
2019-06-02,0,58,0,67,0,0,57,0,18,55,55,55,55,55,55,55,55,55,55
2019-06-09,30,31,0,27,0,0,0,0,18,67,67,67,67,67,67,67,67,67,67
2019-06-16,30,58,34,20,0,0,28,0,0,56,56,56,56,56,56,56,56,56,56
2019-06-23,29,26,0,31,0,0,56,0,17,62,62,62,62,62,62,62,62,62,62
2019-06-30,29,31,34,19,0,0,0,0,52,76,76,76,76,76,76,76,76,76,76
2019-07-07,0,51,67,46,0,0,0,0,17,86,86,86,86,86,86,86,86,86,86
2019-07-14,0,36,34,15,0,0,28,0,35,80,80,80,80,80,80,80,80,80,80
2019-07-21,0,57,0,16,0,0,0,0,35,66,66,66,66,66,66,66,66,66,66
2019-07-28,29,73,0,19,0,0,56,0,18,58,58,58,58,58,58,58,58,58,58
2019-08-04,0,53,0,28,0,0,0,0,54,53,53,53,53,53,53,53,53,53,53
2019-08-11,30,42,0,16,0,0,28,0,18,56,56,56,56,56,56,56,56,56,56
2019-08-18,59,36,0,23,0,0,0,0,35,51,51,51,51,51,51,51,51,51,51
2019-08-25,0,46,34,15,0,0,28,0,35,92,92,92,92,92,92,92,92,92,92
2019-09-01,0,46,34,23,0,0,0,0,52,41,41,41,41,41,41,41,41,41,41
2019-09-08,58,41,33,23,0,0,0,0,17,55,55,55,55,55,55,55,55,55,55
2019-09-15,29,40,99,45,0,0,0,0,17,80,80,80,80,80,80,80,80,80,80
2019-09-22,87,31,0,31,0,0,0,0,34,59,59,59,59,59,59,59,59,59,59
2019-09-29,0,46,0,49,0,0,0,0,34,59,59,59,59,59,59,59,59,59,59
2019-10-06,29,35,33,42,0,0,0,0,17,58,58,58,58,58,58,58,58,58,58
2019-10-13,0,69,32,41,0,0,0,0,100,65,65,65,65,65,65,65,65,65,65
2019-10-20,28,54,65,33,0,0,0,0,67,37,37,37,37,37,37,37,37,37,37
2019-10-27,0,56,0,34,0,0,28,0,34,63,63,63,63,63,63,63,63,63,63
2019-11-03,55,48,31,22,0,0,26,0,16,42,42,42,42,42,42,42,42,42,42
2019-11-10,0,19,31,21,0,0,0,0,48,62,62,62,62,62,62,62,62,62,62
2019-11-17,28,53,0,47,21,0,26,0,49,77,77,77,77,77,77,77,77,77,77
2019-11-24,0,48,0,29,0,0,52,0,16,67,67,67,67,67,67,67,67,67,67
2019-12-01,0,50,0,30,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46
2019-12-08,0,30,0,19,0,0,27,0,17,40,40,40,40,40,40,40,40,40,40
2019-12-15,57,40,0,19,0,82,0,0,51,56,56,56,56,56,56,56,56,56,56
2019-12-22,30,85,0,28,0,0,0,100,0,72,72,72,72,72,72,72,72,72,72
2019-12-29,0,10,0,23,0,0,56,0,35,98,98,98,98,98,98,98,98,98,98
2020-01-05,0,47,31,28,0,0,26,0,64,58,58,58,58,58,58,58,58,58,58
2020-01-12,26,78,0,31,0,75,25,0,47,53,53,53,53,53,53,53,53,53,53
2020-01-19,0,62,0,35,0,0,56,0,17,47,47,47,47,47,47,47,47,47,47
2020-01-26,0,35,0,26,0,0,0,0,33,51,51,51,51,51,51,51,51,51,51
2020-02-02,0,41,0,34,0,0,0,0,15,62,62,62,62,62,62,62,62,62,62
2020-02-09,26,41,0,69,0,0,100,0,47,50,50,50,50,50,50,50,50,50,50
2020-02-16,26,37,0,48,0,0,0,0,31,55,55,55,55,55,55,55,55,55,55
2020-02-23,25,22,0,30,0,72,24,0,15,50,50,50,50,50,50,50,50,50,50
2020-03-01,0,8,0,19,0,69,23,0,29,47,47,47,47,47,47,47,47,47,47
2020-03-08,26,18,30,41,0,0,25,0,30,58,58,58,58,58,58,58,58,58,58
2020-03-15,0,26,0,33,0,0,0,0,45,63,63,63,63,63,63,63,63,63,63
2020-03-22,24,30,0,29,0,0,0,0,29,52,52,52,52,52,52,52,52,52,52
2020-03-29,0,62,0,25,0,0,23,0,42,31,31,31,31,31,31,31,31,31,31
2020-04-05,23,45,0,40,36,0,22,0,14,43,43,43,43,43,43,43,43,43,43
2020-04-12,0,15,51,35,33,0,21,0,13,63,63,63,63,63,63,63,63,63,63
2020-04-19,22,31,0,43,100,0,0,0,13,66,66,66,66,66,66,66,66,66,66
2020-04-26,46,40,26,27,17,0,0,0,14,34,34,34,34,34,34,34,34,34,34
2020-05-03,0,65,0,27,17,0,0,0,27,40,40,40,40,40,40,40,40,40,40
2020-05-10,0,54,0,31,18,0,0,0,14,58,58,58,58,58,58,58,58,58,58
2020-05-17,24,42,0,31,0,0,91,0,42,67,67,67,67,67,67,67,67,67,67
2020-05-24,24,33,0,22,0,0,23,0,14,66,66,66,66,66,66,66,66,66,66
2020-05-31,45,8,26,33,0,0,65,0,13,59,59,59,59,59,59,59,59,59,59
2020-06-07,69,32,26,36,0,0,0,0,14,55,55,55,55,55,55,55,55,55,55
2020-06-14,47,50,0,22,18,0,0,0,14,61,61,61,61,61,61,61,61,61,61
2020-06-21,48,21,28,28,0,69,0,0,29,52,52,52,52,52,52,52,52,52,52
2020-06-28,0,77,0,16,0,0,0,0,14,61,61,61,61,61,61,61,61,61,61
2020-07-05,49,69,0,42,0,70,0,0,15,64,64,64,64,64,64,64,64,64,64
