date,mental illness,mental health,self-harm,suicide,death,therapy,counsellor,counselling,trauma,phobia,addiction,stigma,abuse,disorder,dependence,socialize,psychologist ,well-being,self-esteem,toxic,drugs,depression hotline,mental health hotline,hotline,emotional support 
2020-01-26,23,28,0,35,100,51,20,30,70,22,74,48,46,54,73,48,48,0,0,40,42,0,0,72,55
2020-02-02,21,45,0,37,88,74,18,32,22,20,79,22,46,55,0,44,35,23,33,30,39,0,0,74,25
2020-02-09,43,39,0,63,84,71,37,38,58,30,59,44,40,61,0,0,53,0,100,71,52,0,89,64,0
2020-02-16,32,29,86,51,60,74,9,32,43,50,39,44,46,47,45,44,79,23,66,64,75,85,0,76,25
2020-02-23,31,44,0,49,47,90,54,37,35,39,77,65,45,64,0,0,69,66,32,46,79,0,0,66,25
2020-03-01,20,42,0,51,45,99,68,24,53,47,54,51,59,49,0,41,33,21,31,34,54,79,0,71,0
2020-03-08,21,61,0,29,46,67,27,25,85,60,63,22,57,60,0,0,61,22,0,73,67,0,0,80,25
2020-03-15,72,44,84,33,90,71,27,29,69,59,57,21,41,53,22,0,42,44,0,59,60,0,0,86,25
2020-03-22,69,42,0,26,72,82,51,20,60,75,100,31,28,66,21,0,41,0,31,41,66,79,0,92,24
2020-03-29,49,38,0,65,91,65,33,25,13,18,40,40,47,67,0,0,48,21,0,49,59,77,0,100,0
2020-04-05,10,47,0,44,76,61,25,31,32,36,58,40,41,43,61,40,48,41,60,27,50,77,80,89,46
2020-04-12,9,63,0,25,67,62,23,20,55,51,87,37,70,51,0,37,52,38,0,49,47,72,0,98,0
2020-04-19,45,63,0,48,61,74,31,32,60,60,50,37,57,47,0,0,30,38,28,60,77,0,0,74,0
2020-04-26,38,71,0,41,63,61,32,32,76,44,65,48,46,49,20,0,39,20,0,39,66,0,0,67,0
2020-05-03,47,57,0,34,53,76,33,34,82,18,43,19,59,60,80,78,47,40,29,48,77,0,0,77,22
2020-05-10,58,41,0,34,51,84,17,23,45,92,89,60,44,72,0,0,72,21,60,67,47,0,0,84,0
2020-05-17,39,65,0,49,59,72,59,25,20,46,95,0,50,75,0,41,65,21,0,59,75,0,0,61,0
2020-05-24,39,41,0,43,58,59,8,42,52,28,71,30,30,53,41,0,64,21,0,71,53,0,80,68,23
2020-05-31,56,62,0,44,50,68,24,28,31,26,81,67,48,55,20,0,69,20,29,59,77,0,77,96,22
2020-06-07,38,68,0,55,45,67,41,39,63,27,56,58,48,67,20,0,15,100,29,39,63,0,78,80,0
2020-06-14,19,88,0,79,46,66,42,40,26,9,71,10,36,79,0,0,80,62,0,52,77,0,0,82,23
2020-06-21,69,57,0,30,47,70,0,23,26,28,82,61,42,46,21,41,24,42,0,66,63,0,0,76,0
2020-06-28,40,51,0,45,46,68,35,38,60,38,50,21,100,59,0,0,49,0,0,66,67,80,83,85,0
2020-07-05,61,49,0,36,45,84,61,30,47,29,42,73,66,62,0,0,91,43,0,45,37,81,83,69,0
2020-07-12,31,50,0,33,44,91,53,31,69,49,57,64,80,48,22,0,76,22,0,59,66,0,0,87,25
2020-07-19,51,74,83,34,40,75,18,35,41,48,61,53,70,71,65,0,59,22,0,58,84,0,0,76,0
2020-07-26,10,38,0,52,47,96,45,41,49,39,33,64,38,59,0,0,77,22,32,43,79,0,0,75,49
2020-08-02,51,61,0,64,46,85,44,48,20,58,89,31,67,78,0,0,50,43,63,48,62,0,0,90,24
2020-08-09,20,59,83,53,41,90,44,38,55,48,33,53,47,76,0,85,67,22,32,45,50,0,0,74,0
2020-08-16,62,59,0,37,42,91,44,26,55,58,52,32,41,81,22,0,68,44,0,52,63,0,0,79,24
2020-08-23,51,65,0,58,64,76,35,38,62,77,47,63,29,78,0,0,67,65,0,39,71,0,84,74,24
2020-08-30,40,73,82,39,41,94,17,34,27,57,70,31,37,80,0,0,50,21,0,45,80,81,0,67,24
2020-09-06,51,73,0,62,39,76,44,26,48,29,75,21,38,73,21,0,25,22,0,67,46,0,0,71,24
2020-09-13,51,53,0,57,56,57,35,43,62,39,47,85,47,71,22,0,93,43,0,65,84,0,0,83,0
2020-09-20,31,38,0,51,49,99,72,29,28,20,48,11,44,49,22,0,34,44,32,59,89,0,86,73,0
2020-09-27,33,89,0,54,44,100,28,26,59,0,71,68,22,68,69,0,63,70,0,69,70,0,0,76,26
2020-10-04,66,67,0,43,41,81,38,28,59,31,40,46,35,76,23,0,73,23,0,56,54,0,91,74,0
2020-10-11,59,85,0,43,39,88,41,35,55,100,16,97,17,81,0,0,58,50,73,59,50,0,97,80,28
2020-10-18,46,70,0,29,34,87,30,48,47,33,48,12,40,100,24,0,95,0,0,73,95,0,0,71,0
2020-10-25,46,52,0,53,38,83,40,30,78,44,53,48,43,63,0,48,67,25,36,62,71,0,96,75,0
2020-11-01,43,67,0,34,35,97,28,29,93,30,54,33,52,71,45,0,52,0,33,37,42,0,0,68,0
2020-11-08,0,35,0,35,32,91,30,30,46,43,37,24,49,59,0,0,94,24,36,62,56,0,0,78,0
2020-11-15,34,76,0,24,37,86,69,36,54,11,63,59,26,39,0,0,56,73,0,43,42,0,0,84,0
2020-11-22,69,62,0,43,34,77,20,29,38,0,63,35,29,68,0,47,56,24,0,51,83,0,0,84,54
2020-11-29,57,52,0,45,37,88,10,45,31,54,74,12,46,76,0,0,85,49,35,33,45,0,0,80,27
2020-12-06,58,39,0,37,41,58,20,28,47,11,59,12,46,60,0,0,77,25,36,62,71,0,0,73,0
2020-12-13,58,31,0,43,37,87,10,23,93,11,53,12,23,63,24,48,38,24,0,36,28,0,0,76,27
2020-12-20,85,26,0,34,36,55,10,31,49,23,83,50,31,39,26,0,30,77,38,57,41,0,0,72,0
2020-12-27,24,25,0,40,45,74,62,26,24,23,93,0,24,76,0,0,69,0,0,49,47,0,0,66,0
2021-01-03,35,60,95,41,46,76,41,40,55,22,65,12,87,67,0,49,77,25,0,45,75,0,0,89,0
2021-01-10,71,43,0,31,42,86,81,33,55,78,43,36,40,72,0,97,58,25,0,56,75,0,0,85,0
2021-01-17,35,39,0,41,38,82,20,39,39,22,70,24,50,81,25,0,29,0,0,63,74,0,0,77,28
2021-01-24,47,42,0,41,34,67,61,30,55,44,65,36,40,67,0,49,58,50,0,44,64,94,97,78,28
2021-01-31,36,50,0,56,38,71,20,35,95,34,44,37,41,61,50,0,49,25,0,41,54,0,98,76,0
2021-02-07,38,76,0,39,43,52,44,23,51,24,41,39,47,62,53,0,21,0,79,60,58,0,0,67,0
2021-02-14,24,77,98,44,37,69,84,24,57,0,56,100,31,66,0,0,50,0,38,73,37,0,100,77,0
2021-02-21,60,54,0,48,44,72,21,26,72,23,82,12,65,71,0,50,59,25,0,57,55,0,0,70,28
2021-02-28,12,65,0,45,34,88,41,43,80,57,33,37,68,71,51,0,79,0,37,49,58,0,0,80,28
2021-03-07,12,50,0,20,43,93,31,43,48,23,49,49,34,77,50,50,69,51,37,60,69,0,0,77,28
2021-03-14,22,40,0,32,36,89,38,39,74,31,36,23,32,90,0,0,100,47,0,35,61,0,91,76,0
2021-03-21,47,53,0,56,40,90,20,19,24,33,76,37,44,70,0,0,58,25,37,48,50,0,0,66,28
2021-03-28,60,47,0,47,38,65,41,47,48,34,55,12,54,41,0,0,20,25,37,68,54,0,0,80,0
2021-04-04,12,67,95,74,36,93,71,26,94,44,70,0,43,72,25,0,58,25,36,48,50,0,0,76,28
2021-04-11,12,70,0,52,38,83,100,41,23,22,37,72,53,60,0,48,38,0,36,66,71,93,0,73,0
2021-04-18,47,67,0,44,40,82,50,25,78,44,27,12,53,72,49,0,77,0,0,33,96,0,0,78,0
2021-04-25,47,74,0,20,46,86,81,37,23,33,43,36,50,66,25,0,96,50,0,44,57,0,0,72,0
2021-05-02,34,48,0,24,41,76,49,32,23,11,74,71,46,76,24,47,66,24,0,65,49,0,0,73,0
2021-05-09,83,96,0,61,48,78,41,30,32,33,87,12,57,46,0,0,68,100,0,63,47,0,97,69,0
2021-05-16,11,100,0,42,48,60,76,26,59,73,30,46,44,76,0,0,73,94,0,49,30,0,0,70,0
2021-05-23,33,40,0,28,41,67,19,31,37,73,71,34,44,49,23,46,82,94,0,52,61,0,91,73,26
2021-05-30,68,72,0,39,41,65,39,43,68,85,41,35,71,72,48,0,37,24,0,100,76,0,0,86,0
2021-06-06,69,87,0,43,41,62,59,18,100,65,74,47,62,68,0,0,66,24,0,54,73,0,95,80,55
2021-06-13,69,49,0,26,40,66,20,39,77,54,47,71,49,45,0,48,66,0,0,65,52,0,0,81,0
2021-06-20,23,52,0,48,43,86,30,39,38,43,32,24,16,54,24,0,66,49,0,87,70,0,0,75,0
2021-06-27,46,77,0,53,38,82,40,34,47,88,53,48,20,46,0,0,76,25,0,66,74,0,96,84,0
2021-07-04,84,76,0,82,37,74,73,100,0,0,39,0,48,52,0,0,69,89,0,40,64,0,0,77,100
