date,mental illness,mental health,self-harm,suicide,death,therapy,counsellor,counselling,trauma,phobia,addiction,stigma,abuse,disorder,dependence,socialize,psychologist ,well-being,self-esteem,toxic,drugs,depression hotline,mental health hotline,hotline,emotional support 
2019-01-06,37,26,0,30,23,62,22,20,25,47,57,64,43,46,0,0,51,0,39,39,49,0,0,52,0
2019-01-13,0,27,0,63,28,81,44,47,25,36,40,26,54,84,0,0,41,27,39,28,80,0,0,61,0
2019-01-20,25,26,0,48,40,65,53,22,58,70,45,13,53,48,26,0,81,0,0,35,71,98,0,60,0
2019-01-27,76,34,0,40,36,48,43,22,51,24,46,52,65,56,53,52,31,0,39,44,38,0,0,47,0
2019-02-03,14,30,0,54,35,74,25,14,29,27,66,59,58,60,61,0,36,0,0,32,18,0,0,53,34
2019-02-10,50,19,0,50,36,58,64,59,50,35,57,26,46,24,26,0,10,26,0,47,53,99,0,65,30
2019-02-17,60,33,0,40,39,56,62,28,16,23,55,50,17,59,25,0,79,0,0,61,47,0,0,62,0
2019-02-24,0,33,0,55,29,68,21,32,33,23,73,25,49,51,0,0,81,0,0,35,52,0,0,54,29
2019-03-03,61,63,0,58,29,65,21,15,8,58,34,76,35,51,26,0,50,0,0,27,41,0,0,60,0
2019-03-10,50,34,0,45,38,73,11,47,75,0,86,52,50,49,0,0,72,26,39,75,46,0,0,52,30
2019-03-17,51,42,0,39,44,97,44,28,34,36,93,26,62,72,81,53,21,0,39,64,62,0,0,60,0
2019-03-24,50,37,0,35,34,85,43,47,41,47,57,64,64,58,26,0,51,0,38,20,87,0,0,62,0
2019-03-31,37,22,0,57,34,73,43,39,91,23,57,38,39,70,52,0,81,0,38,35,64,0,0,47,29
2019-04-07,48,40,0,37,30,78,52,41,16,46,61,50,55,68,0,0,10,0,37,53,73,0,0,67,0
2019-04-14,37,37,100,28,32,47,21,32,50,23,62,77,49,61,26,0,41,0,0,47,71,99,0,55,0
2019-04-21,35,46,0,41,33,62,41,40,16,22,76,36,84,64,25,49,58,0,37,37,65,0,0,61,0
2019-04-28,47,43,0,38,34,59,0,42,40,56,87,12,37,41,25,0,49,0,0,19,47,0,0,60,28
2019-05-05,36,36,0,15,29,91,21,21,40,22,55,25,41,70,25,0,39,25,0,53,76,0,0,51,0
2019-05-12,60,36,0,45,29,66,62,33,57,0,50,37,41,51,25,0,50,26,37,27,88,0,0,66,0
2019-05-19,24,22,0,30,27,81,10,43,16,34,39,0,41,44,51,0,30,0,37,34,55,0,99,64,0
2019-05-26,36,54,0,48,34,56,51,28,32,22,54,49,34,41,0,49,68,25,0,37,65,0,0,68,28
2019-06-02,25,22,0,33,28,49,42,12,25,35,51,25,39,48,0,0,71,0,0,62,67,0,0,57,0
2019-06-09,37,37,0,32,29,71,42,26,16,46,61,25,45,57,0,0,40,0,0,35,52,0,0,61,29
2019-06-16,49,41,0,20,27,74,21,29,16,23,45,50,45,48,0,0,50,26,38,31,78,0,0,61,0
2019-06-23,72,29,0,39,26,64,42,52,48,80,44,25,38,53,51,0,59,0,0,49,91,0,0,61,0
2019-06-30,24,40,0,62,27,70,93,33,32,11,50,25,38,56,51,0,69,25,0,23,55,0,0,66,0
2019-07-07,12,29,0,30,33,65,41,26,56,45,16,37,41,44,25,49,79,51,0,23,98,0,0,66,0
2019-07-14,73,36,0,32,31,82,10,38,32,0,44,12,62,62,0,50,60,26,0,34,55,0,0,56,0
2019-07-21,49,29,0,12,29,66,21,29,33,0,73,50,62,75,0,0,20,52,38,23,67,0,0,65,0
2019-07-28,0,48,0,39,29,61,31,36,24,46,39,25,76,72,0,0,60,0,0,31,59,0,0,66,0
2019-08-04,0,8,0,56,24,79,43,35,17,35,75,65,39,59,26,0,31,0,0,24,61,100,0,63,0
2019-08-11,37,48,0,39,33,76,32,41,25,58,73,63,28,54,26,0,50,52,0,58,67,0,0,53,0
2019-08-18,60,22,0,39,33,73,42,31,32,34,39,25,21,63,25,100,40,26,0,61,62,0,0,58,0
2019-08-25,48,33,0,37,28,56,31,21,24,34,66,50,41,77,51,0,59,0,0,64,77,0,0,67,29
2019-09-01,24,22,0,30,29,74,42,26,49,46,55,87,38,54,76,0,69,0,0,27,51,0,0,61,0
2019-09-08,48,47,0,63,26,70,21,33,16,45,66,0,27,38,0,0,79,0,37,53,69,95,0,69,0
2019-09-15,35,46,0,46,29,74,51,33,8,55,38,12,40,40,25,0,48,0,36,22,57,0,0,60,0
2019-09-22,24,61,0,45,30,79,21,38,56,22,38,98,37,62,0,0,49,51,0,49,62,0,0,71,0
2019-09-29,36,57,0,38,29,87,31,19,8,45,49,61,47,67,25,0,49,25,73,22,50,95,0,71,0
2019-10-06,95,71,0,41,32,96,20,40,40,56,70,37,47,76,0,0,29,0,37,41,57,0,0,76,0
2019-10-13,46,56,0,100,48,63,20,25,46,54,32,36,36,97,24,0,47,73,0,33,39,0,0,71,0
2019-10-20,35,66,0,61,27,93,40,43,31,33,37,36,49,51,24,0,29,49,72,40,60,0,0,67,0
2019-10-27,36,72,0,45,43,63,41,38,40,56,44,37,61,67,100,49,49,25,37,34,90,0,0,67,0
2019-11-03,34,44,0,44,41,73,48,27,30,32,72,12,32,86,0,0,28,24,0,39,62,90,0,61,0
2019-11-10,100,47,0,46,46,73,38,35,52,21,20,11,35,68,0,0,27,0,0,53,61,0,0,73,0
2019-11-17,34,21,0,51,36,62,68,43,23,75,47,12,19,78,0,0,47,48,0,36,62,0,0,66,27
2019-11-24,45,51,0,86,40,74,19,24,15,0,52,12,38,72,0,0,74,48,0,35,48,0,0,69,0
2019-12-01,58,18,0,37,34,81,50,18,31,33,70,48,37,63,25,0,48,0,0,41,43,0,96,66,0
2019-12-08,12,28,0,39,38,73,51,33,24,0,38,49,50,70,25,0,87,0,0,37,50,0,0,70,28
2019-12-15,59,18,0,28,35,36,41,21,31,78,43,24,37,46,25,0,68,25,36,41,100,0,0,60,0
2019-12-22,25,37,0,34,35,56,53,34,41,58,68,26,21,40,0,0,61,0,0,74,60,0,0,78,0
2019-12-29,36,40,0,23,37,69,31,31,40,56,55,12,24,91,25,0,20,0,0,38,76,0,0,78,0
2020-01-05,44,20,0,34,32,79,19,33,59,31,40,45,38,49,23,46,100,47,0,56,87,0,0,72,26
2020-01-12,54,39,0,43,31,73,28,36,36,71,69,22,25,53,23,0,62,68,33,61,72,0,0,72,0
2020-01-19,48,25,97,42,46,85,31,24,48,0,33,25,51,50,0,0,39,25,37,53,55,0,0,64,0
