date,restriction,social distancing,circuit breaker,quarantine,lockdown,wfh,tighter measures,phase 2,screening,testing,isolation,safe distancing,physical distancing,stay home notice,heightened alert,safe entry
2019-01-06,13,0,0,0,0,0,0,0,58,47,10,0,0,0,0,0
2019-01-13,3,0,0,0,0,0,0,0,41,26,10,0,0,0,0,0
2019-01-20,16,0,0,0,0,0,0,0,61,55,3,0,0,0,0,0
2019-01-27,16,0,1,0,0,4,0,0,28,37,13,0,0,0,0,0
2019-02-03,11,0,0,1,0,0,0,0,35,32,11,0,0,0,0,1
2019-02-10,13,0,0,1,0,0,0,0,65,53,13,0,0,0,0,0
2019-02-17,19,0,0,0,0,0,0,0,74,54,16,0,0,0,0,0
2019-02-24,9,0,0,0,0,0,0,0,75,44,10,0,0,0,0,0
2019-03-03,19,0,1,0,1,0,0,0,87,42,3,0,0,0,0,0
2019-03-10,10,0,1,0,0,0,0,0,49,57,26,0,0,0,0,0
2019-03-17,7,0,1,1,0,0,0,0,61,30,10,0,0,0,0,0
2019-03-24,13,0,0,1,0,0,0,0,73,39,13,0,0,0,0,0
2019-03-31,16,0,0,1,0,4,0,0,67,46,0,0,0,0,0,0
2019-04-07,19,0,0,2,0,0,0,0,77,44,26,0,0,0,0,0
2019-04-14,25,0,0,1,0,0,0,0,54,32,3,0,0,0,0,0
2019-04-21,15,0,1,1,0,0,0,0,60,48,15,0,0,0,0,0
2019-04-28,6,0,0,1,0,0,0,0,50,36,12,0,0,0,0,0
2019-05-05,6,0,0,1,0,0,0,0,52,35,6,0,0,0,0,0
2019-05-12,9,0,0,2,0,0,0,0,75,30,13,0,0,0,0,0
2019-05-19,12,0,0,0,0,4,0,0,45,42,9,0,0,0,0,0
2019-05-26,18,0,0,1,0,0,0,0,57,40,12,0,0,0,0,0
2019-06-02,10,0,0,0,0,0,0,0,65,40,3,0,0,0,0,0
2019-06-09,12,0,0,1,0,0,0,0,69,47,25,0,0,0,0,0
2019-06-16,22,0,0,0,0,4,0,0,57,29,16,0,0,0,0,0
2019-06-23,16,0,0,2,0,0,0,0,59,54,13,0,0,0,0,0
2019-06-30,6,0,0,0,0,0,0,0,47,51,12,0,0,0,0,0
2019-07-07,12,0,0,1,0,0,0,0,70,36,0,0,0,0,0,0
2019-07-14,21,0,0,2,0,0,0,1,60,53,12,0,0,0,0,0
2019-07-21,16,0,0,1,1,0,0,0,73,44,6,0,0,0,0,0
2019-07-28,6,0,0,0,0,0,0,0,48,62,0,0,0,0,0,0
2019-08-04,10,0,0,0,0,0,0,1,72,26,13,0,0,0,0,0
2019-08-11,10,0,0,1,0,0,0,0,60,32,6,0,0,0,0,0
2019-08-18,9,0,0,1,0,4,0,0,67,33,13,0,0,0,0,0
2019-08-25,3,0,0,1,0,4,0,0,56,43,13,0,0,0,0,0
2019-09-01,3,0,0,1,0,0,0,0,79,52,13,0,0,0,0,0
2019-09-08,25,0,0,0,0,0,0,0,72,41,9,0,0,0,0,0
2019-09-15,21,0,0,0,0,4,0,0,54,49,15,0,0,0,0,0
2019-09-22,12,0,0,1,0,0,0,0,52,40,6,0,0,0,0,0
2019-09-29,9,0,0,1,0,0,0,0,60,44,19,0,0,0,0,0
2019-10-06,9,0,1,1,0,0,0,0,59,47,3,0,0,0,0,0
2019-10-13,9,0,0,0,0,0,0,0,82,59,9,0,0,0,0,0
2019-10-20,9,0,0,0,1,0,0,0,84,49,12,0,0,0,0,0
2019-10-27,3,0,0,1,0,0,0,0,65,44,22,0,0,0,0,0
2019-11-03,12,0,1,1,0,0,0,0,72,50,24,0,0,0,0,0
2019-11-10,26,0,0,0,0,0,0,0,61,61,23,0,0,0,0,0
2019-11-17,6,0,0,1,1,0,0,0,40,45,12,0,0,0,0,0
2019-11-24,14,0,0,0,1,0,0,0,73,34,12,0,0,0,0,0
2019-12-01,30,0,0,0,0,0,0,0,69,32,9,0,0,0,0,0
2019-12-08,12,0,0,0,0,0,0,0,60,39,19,0,0,0,0,0
2019-12-15,12,0,0,0,0,4,0,0,76,40,0,0,0,0,0,0
2019-12-22,25,0,0,1,0,0,0,0,38,28,13,0,0,0,0,0
2019-12-29,15,0,0,0,1,0,0,0,44,37,15,0,0,0,0,0
2020-01-05,29,0,0,2,0,4,0,0,56,42,0,0,0,0,0,0
2020-01-12,25,0,1,2,0,0,0,0,54,47,17,0,0,0,0,0
2020-01-19,25,0,0,8,4,0,0,0,60,30,25,0,0,0,0,0
2020-01-26,21,1,0,66,5,8,0,0,79,40,48,0,0,0,0,0
2020-02-02,52,2,0,48,5,4,0,0,66,56,31,0,0,0,0,0
2020-02-09,30,1,0,55,5,15,0,0,94,54,36,0,0,0,0,0
2020-02-16,19,0,0,28,2,11,0,0,68,47,8,0,0,6,0,0
