"selection1_name","selection1_District","selection1_District_url","selection1_Type","selection1_Category","selection1_Population2011","selection1_Male","selection1_Female","selection1_LiteracyRate"
"Lucknow","Lucknow","https://en.wikipedia.org/wiki/Lucknow_district","UA","Nagar Nigam","4,540,470","2,340,470","2,200,147","82.50"
"Kanpur","Kanpur","https://en.wikipedia.org/wiki/Kanpur_Nagar_district","UA","Nagar Nigam","2,767,348","1,618,951","1,582,523","84.42"
"Ghaziabad","Ghaziabad","https://en.wikipedia.org/wiki/Ghaziabad_district,_India","UA","Nagar Nigam","2,358,525","1,256,783","1,202,742","84.78"
"Agra","Agra","https://en.wikipedia.org/wiki/Agra_district","UA","Nagar Nigam","1,585,704","1,042,441","963,402","64.61"
"Meerut","Meerut","https://en.wikipedia.org/wiki/Meerut_district","UA","Nagar Nigam","1,226,709","6,54,857","5,70,051","78.29"
"Varanasi","Varanasi","https://en.wikipedia.org/wiki/Varanasi_district","UA","Nagar Nigam","1,201,815","755,734","660,985","80.31"
"Prayagraj","Prayagraj","https://en.wikipedia.org/wiki/Prayagraj_district","UA","Nagar Nigam","1,112,544","961,060","874,053","86.36"
"Bareilly","Bareilly","https://en.wikipedia.org/wiki/Bareilly_district","UA","Nagar Nigam","913,668","722,385","557,548","70.97"
"Aligarh","Aligarh","https://en.wikipedia.org/wiki/Aligarh_district","UA","Nagar Nigam","909,559","482,828","426,731","70.54"
"Moradabad","Moradabad","https://en.wikipedia.org/wiki/Moradabad_district","City","Nagar Nigam","889,810","466,432","432,378","70.65"
"Saharanpur","Saharanpur","https://en.wikipedia.org/wiki/Saharanpur_district","City","Nagar Nigam","703,345","371,858","331,487","77.94"
"Gorakhpur","Gorakhpur","https://en.wikipedia.org/wiki/Gorakhpur_district","UA","Nagar Nigam","692,519","365,148","327,371","85.64"
"Faizabad","Ayodhya","https://en.wikipedia.org/wiki/Ayodhya_district","UA","Nagar Nigam","642,381","320,482","321,899","88.58"
