"selection1_name","selection1_District","selection1_District_url","selection1_Type","selection1_Population2011","selection1_Male","selection1_Female","selection1_LiteracyRate"
"Faridabad","Faridabad","https://en.wikipedia.org/wiki/Faridabad_district","City","1,404,653","750,446","654,207","84.88"
"Gurugram","Gurugram","https://en.wikipedia.org/wiki/Gurugram_district","UA","901,968","488,808","413,160","86.21"
"Panipat","Panipat","https://en.wikipedia.org/wiki/Panipat_district","UA","442,277","237,006","205,271","81.75"
"Ambala","Ambala","https://en.wikipedia.org/wiki/Ambala_district","UA","407,934","212,840","195,094","89.31"
"Yamunanagar","Yamunanagar","https://en.wikipedia.org/wiki/Yamunanagar_district","UA","383,318","205,346","177,972","85.72"
"Rohtak","Rohtak","https://en.wikipedia.org/wiki/Rohtak_district","City","373,133","197,754","175,379","84.08"
"Hisar","Hisar","https://en.wikipedia.org/wiki/Hisar_(district)","City","306,893","166,623","140,270","81.17"
"Karnal","Karnal","https://en.wikipedia.org/wiki/Karnal_district","UA","303,425","160,659","142,766","86.02"
"Sonipat","Sonipat","https://en.wikipedia.org/wiki/Sonipat_district","UA","292,339","156,246","136,093","87.22"
"Panchkula","Panchkula","https://en.wikipedia.org/wiki/Panchkula_district","City","210,175","111,622","98,553","86.91"
"Bhiwani","Bhiwani","https://en.wikipedia.org/wiki/Bhiwani_district","City","197,662","105,372","92,290","84.39"
"Sirsa","Sirsa","https://en.wikipedia.org/wiki/Sirsa_district","City","183,282","96,806","86,476","83.03"
"Bahadurgarh","Jhajjar","https://en.wikipedia.org/wiki/Jhajjar_district","City","170,426","91,736","78,690","88.04"
"Jind","Jind","https://en.wikipedia.org/wiki/Jind_district","City","166,225","88,561","77,664","85.73"
"Thanesar","Kurukshetra","https://en.wikipedia.org/wiki/Kurukshetra_District","City","154,962","83,655","71,307","85.73"
"Kaithal","Kaithal","https://en.wikipedia.org/wiki/Kaithal_district","City","144,633","76,657","67,976","80.76"
"Rewari","Rewari","https://en.wikipedia.org/wiki/Rewari_district","City","140,864","74,689","66,175","88.25"
"Palwal","Palwal","https://en.wikipedia.org/wiki/Palwal_district","UA","131,121","69,560","61,561","80.89"
"Pundri","Kaithal","https://en.wikipedia.org/wiki/Kaithal_district","UA","33,484","17,018","15,534","77.1"
"Kosli","Rewari","https://en.wikipedia.org/wiki/Rewari_district","UA","35,000","19,000","12,000","87.3"
