date,labour_force,employment_thousands,unemployment_thousands,unemployment_rate
2006-01-31,150214.0,143150.0,7064.0,4.7
2006-02-28,150641.0,143457.0,7184.0,4.8
2006-03-31,150813.0,143741.0,7072.0,4.7
2006-04-30,150881.0,143761.0,7120.0,4.7
2006-05-31,151069.0,144089.0,6980.0,4.6
2006-06-30,151354.0,144353.0,7001.0,4.6
2006-07-31,151377.0,144202.0,7175.0,4.7
2006-08-31,151716.0,144625.0,7091.0,4.7
2006-09-30,151662.0,144815.0,6847.0,4.5
2006-10-31,152041.0,145314.0,6727.0,4.4
2006-11-30,152406.0,145534.0,6872.0,4.5
2006-12-31,152732.0,145970.0,6762.0,4.4
2007-01-31,153144.0,146028.0,7116.0,4.6
2007-02-28,152983.0,146057.0,6927.0,4.5
2007-03-31,153051.0,146320.0,6731.0,4.4
2007-04-30,152435.0,145586.0,6850.0,4.5
2007-05-31,152670.0,145903.0,6766.0,4.4
2007-06-30,153041.0,146063.0,6979.0,4.6
2007-07-31,153054.0,145905.0,7149.0,4.7
2007-08-31,152749.0,145682.0,7067.0,4.6
2007-09-30,153414.0,146244.0,7170.0,4.7
2007-10-31,153183.0,145946.0,7237.0,4.7
2007-11-30,153835.0,146595.0,7240.0,4.7
2007-12-31,153918.0,146273.0,7645.0,5.0
2008-01-31,154063.0,146378.0,7685.0,5.0
2008-02-29,153653.0,146156.0,7497.0,4.9
2008-03-31,153908.0,146086.0,7822.0,5.1
2008-04-30,153769.0,146132.0,7637.0,5.0
2008-05-31,154303.0,145908.0,8395.0,5.4
2008-06-30,154313.0,145737.0,8575.0,5.6
2008-07-31,154469.0,145532.0,8937.0,5.8
2008-08-31,154641.0,145203.0,9438.0,6.1
2008-09-30,154570.0,145076.0,9494.0,6.1
2008-10-31,154876.0,144802.0,10074.0,6.5
2008-11-30,154639.0,144100.0,10538.0,6.8
2008-12-31,154655.0,143369.0,11286.0,7.3
2009-01-31,154210.0,142152.0,12058.0,7.8
2009-02-28,154538.0,141640.0,12898.0,8.3
2009-03-31,154133.0,140707.0,13426.0,8.7
2009-04-30,154509.0,140656.0,13853.0,9.0
2009-05-31,154747.0,140248.0,14499.0,9.4
2009-06-30,154716.0,140009.0,14707.0,9.5
2009-07-31,154502.0,139901.0,14601.0,9.5
2009-08-31,154307.0,139492.0,14814.0,9.6
