State/Union Territory,consumptionbased HDI,Rank_2018
Delhi,0.746,5
Maharashtra,0.696,15
Tamil Nadu,0.708,11
Haryana,0.708,11
Karnataka,0.682,19
National average,0.647,0
Rajasthan,0.629,29
Uttar Pradesh,0.596,35
Madhya Pradesh,0.606,33
Bihar,0.576,36
West Bengal,0.641,28
Punjab ,0.723,9
Uttarakhand ,0.684,18
Jharkhand ,0.599,34
Gujarat ,0.672,21
