Rank,Union Territories,Total,Urban,Rural
#1,Dadra and Nagar Haveli,0.4,0.1,0.7
#2,Daman and Diu,3.1,2.6,6.2
#3,Chandigarh,9.0,9.2,3.5
#4,Delhi,9.7,9.8,3.5
#5,Puducherry,10.3,10.3,10.4
#6,Andaman and Nicobar Islands,15.8,17.4,14.7
#7,Lakshadweep,21.3,25.3,13.3
