State,Female,Male
India,4.4,6.9
Uttar Pradesh,3,6.1
Delhi,7.4,8.9
Maharashtra,6.1,8.1
Haryana,4.9,8
Bihar,0.9,4.6
Rajasthan,1.7,6.3
Madhya Pradesh,3.6,6
Karnataka,5.1,7.3
Tamil Nadu,6.7,7.9
West Bengal,4.5,5.8
