,Panic,Panic attack,Relaxation,Meditation,Emotional well-being,Spirituality,Stress management,Fatigue,Anorexia,Hopelessness
2019-01-06,26.0,17.0,45.0,31.0,0.0,32.0,21.0,66.0,0.0,0.0
2019-01-13,22.0,58.0,45.0,31.0,0.0,25.0,41.0,88.0,42.0,36.0
2019-01-20,4.0,24.0,15.0,43.0,35.0,74.0,40.0,92.0,0.0,0.0
2019-01-27,7.0,58.0,30.0,31.0,36.0,70.0,41.0,69.0,21.0,0.0
2019-02-03,4.0,38.0,17.0,50.0,0.0,36.0,23.0,36.0,24.0,0.0
2019-02-10,11.0,41.0,15.0,37.0,35.0,50.0,0.0,48.0,21.0,0.0
2019-02-17,25.0,40.0,14.0,54.0,0.0,79.0,0.0,85.0,41.0,35.0
2019-02-24,21.0,32.0,14.0,36.0,34.0,37.0,20.0,69.0,0.0,0.0
2019-03-03,11.0,32.0,44.0,58.0,0.0,68.0,0.0,75.0,0.0,35.0
2019-03-10,22.0,25.0,74.0,25.0,0.0,50.0,61.0,48.0,0.0,36.0
2019-03-17,15.0,8.0,30.0,60.0,0.0,25.0,0.0,80.0,21.0,36.0
2019-03-24,11.0,49.0,44.0,37.0,0.0,74.0,60.0,78.0,21.0,0.0
2019-03-31,21.0,24.0,44.0,46.0,34.0,25.0,0.0,77.0,82.0,35.0
2019-04-07,21.0,40.0,14.0,33.0,0.0,43.0,20.0,65.0,20.0,35.0
2019-04-14,14.0,0.0,44.0,43.0,0.0,31.0,0.0,64.0,41.0,0.0
2019-04-21,21.0,16.0,43.0,33.0,0.0,48.0,39.0,59.0,20.0,0.0
2019-04-28,31.0,63.0,42.0,44.0,0.0,90.0,77.0,67.0,60.0,0.0
2019-05-05,10.0,39.0,43.0,36.0,0.0,54.0,19.0,51.0,100.0,0.0
2019-05-12,24.0,64.0,29.0,33.0,34.0,36.0,0.0,52.0,40.0,0.0
2019-05-19,21.0,47.0,28.0,53.0,0.0,78.0,0.0,64.0,20.0,0.0
2019-05-26,21.0,31.0,14.0,50.0,0.0,54.0,0.0,75.0,0.0,0.0
2019-06-02,22.0,49.0,15.0,43.0,0.0,56.0,20.0,59.0,41.0,0.0
2019-06-09,10.0,32.0,43.0,36.0,0.0,18.0,20.0,38.0,81.0,0.0
2019-06-16,11.0,16.0,44.0,58.0,0.0,31.0,0.0,61.0,83.0,0.0
2019-06-23,11.0,56.0,58.0,27.0,0.0,55.0,20.0,60.0,41.0,35.0
2019-06-30,17.0,8.0,71.0,36.0,0.0,48.0,39.0,83.0,60.0,0.0
2019-07-07,34.0,70.0,28.0,41.0,100.0,42.0,0.0,51.0,20.0,0.0
2019-07-14,14.0,32.0,57.0,36.0,0.0,42.0,39.0,51.0,0.0,34.0
2019-07-21,14.0,40.0,29.0,40.0,0.0,25.0,40.0,61.0,41.0,0.0
2019-07-28,11.0,32.0,58.0,21.0,34.0,49.0,0.0,50.0,20.0,0.0
2019-08-04,11.0,8.0,15.0,31.0,0.0,56.0,20.0,79.0,0.0,36.0
2019-08-11,21.0,57.0,44.0,34.0,0.0,56.0,20.0,50.0,41.0,0.0
2019-08-18,4.0,56.0,58.0,46.0,0.0,86.0,20.0,77.0,41.0,0.0
2019-08-25,10.0,48.0,29.0,36.0,0.0,49.0,39.0,65.0,0.0,69.0
2019-09-01,21.0,24.0,14.0,63.0,0.0,79.0,0.0,77.0,0.0,0.0
2019-09-08,28.0,24.0,43.0,66.0,0.0,48.0,19.0,62.0,40.0,0.0
2019-09-15,24.0,16.0,71.0,53.0,0.0,78.0,0.0,97.0,20.0,0.0
2019-09-22,24.0,55.0,99.0,35.0,33.0,42.0,58.0,40.0,20.0,0.0
2019-09-29,17.0,47.0,56.0,35.0,0.0,60.0,19.0,70.0,20.0,0.0
2019-10-06,10.0,46.0,56.0,35.0,0.0,23.0,0.0,63.0,20.0,67.0
2019-10-13,23.0,45.0,68.0,40.0,0.0,46.0,37.0,70.0,19.0,33.0
2019-10-20,13.0,38.0,83.0,32.0,0.0,29.0,19.0,63.0,58.0,0.0
2019-10-27,34.0,55.0,56.0,32.0,0.0,48.0,38.0,72.0,20.0,0.0
2019-11-03,30.0,37.0,27.0,34.0,0.0,80.0,0.0,57.0,19.0,0.0
2019-11-10,6.0,15.0,66.0,47.0,0.0,44.0,36.0,47.0,0.0,0.0
2019-11-17,26.0,22.0,13.0,39.0,0.0,46.0,0.0,59.0,19.0,0.0
2019-11-24,16.0,59.0,67.0,47.0,0.0,22.0,36.0,48.0,56.0,64.0
2019-12-01,34.0,61.0,14.0,38.0,0.0,47.0,0.0,37.0,19.0,0.0
2019-12-08,10.0,23.0,84.0,29.0,0.0,12.0,0.0,32.0,0.0,0.0
2019-12-15,14.0,55.0,85.0,35.0,0.0,66.0,38.0,48.0,40.0,0.0
2019-12-22,25.0,65.0,44.0,53.0,0.0,100.0,20.0,70.0,0.0,0.0
2019-12-29,17.0,47.0,43.0,48.0,0.0,36.0,0.0,68.0,60.0,0.0
2020-01-05,0.0,44.0,66.0,50.0,0.0,50.0,36.0,86.0,37.0,0.0
2020-01-12,16.0,21.0,77.0,54.0,0.0,65.0,17.0,85.0,72.0,0.0
2020-01-19,14.0,78.0,28.0,62.0,0.0,54.0,19.0,81.0,60.0,34.0
2020-01-26,13.0,30.0,28.0,26.0,0.0,41.0,0.0,63.0,39.0,33.0
2020-02-02,96.0,21.0,76.0,53.0,30.0,48.0,17.0,96.0,36.0,31.0
2020-02-09,62.0,56.0,38.0,43.0,0.0,54.0,0.0,82.0,18.0,61.0
2020-02-16,50.0,70.0,25.0,53.0,0.0,59.0,35.0,77.0,18.0,0.0
2020-02-23,40.0,62.0,100.0,44.0,0.0,32.0,17.0,78.0,35.0,0.0
2020-03-01,63.0,39.0,47.0,42.0,0.0,40.0,32.0,71.0,16.0,28.0
2020-03-08,45.0,34.0,62.0,28.0,0.0,62.0,34.0,77.0,0.0,0.0
2020-03-15,100.0,55.0,25.0,47.0,0.0,42.0,34.0,59.0,35.0,0.0
2020-03-22,55.0,7.0,71.0,42.0,0.0,70.0,32.0,83.0,17.0,0.0
2020-03-29,45.0,13.0,23.0,48.0,0.0,73.0,78.0,78.0,32.0,28.0
2020-04-05,39.0,38.0,69.0,36.0,0.0,48.0,31.0,59.0,81.0,0.0
2020-04-12,21.0,36.0,32.0,52.0,0.0,54.0,0.0,43.0,45.0,26.0
2020-04-19,42.0,54.0,32.0,57.0,0.0,59.0,29.0,80.0,30.0,26.0
2020-04-26,27.0,56.0,33.0,61.0,26.0,57.0,30.0,61.0,0.0,0.0
2020-05-03,22.0,38.0,57.0,47.0,27.0,72.0,31.0,62.0,16.0,0.0
2020-05-10,23.0,13.0,69.0,68.0,0.0,54.0,16.0,50.0,33.0,0.0
2020-05-17,23.0,58.0,70.0,100.0,0.0,69.0,63.0,71.0,65.0,0.0
2020-05-24,22.0,51.0,57.0,55.0,0.0,58.0,31.0,57.0,16.0,0.0
2020-05-31,16.0,37.0,78.0,54.0,0.0,66.0,46.0,83.0,47.0,54.0
2020-06-07,22.0,37.0,67.0,49.0,0.0,57.0,15.0,72.0,0.0,27.0
2020-06-14,14.0,19.0,0.0,41.0,0.0,82.0,0.0,43.0,0.0,55.0
2020-06-21,29.0,58.0,23.0,57.0,0.0,94.0,0.0,69.0,0.0,28.0
2020-06-28,40.0,46.0,35.0,37.0,56.0,45.0,32.0,74.0,17.0,0.0
2020-07-05,18.0,40.0,24.0,43.0,0.0,81.0,33.0,59.0,17.0,0.0
2020-07-12,18.0,34.0,49.0,46.0,0.0,46.0,66.0,71.0,34.0,0.0
2020-07-19,3.0,20.0,36.0,35.0,0.0,51.0,49.0,75.0,34.0,29.0
2020-07-26,18.0,48.0,99.0,75.0,0.0,47.0,34.0,73.0,70.0,0.0
2020-08-02,12.0,33.0,72.0,25.0,28.0,30.0,33.0,91.0,17.0,29.0
2020-08-09,24.0,47.0,12.0,25.0,57.0,77.0,33.0,57.0,51.0,29.0
2020-08-16,36.0,67.0,61.0,59.0,29.0,41.0,17.0,86.0,34.0,0.0
2020-08-23,9.0,47.0,61.0,20.0,0.0,67.0,17.0,53.0,86.0,0.0
2020-08-30,30.0,54.0,98.0,49.0,0.0,52.0,33.0,63.0,35.0,0.0
2020-09-06,24.0,47.0,36.0,46.0,0.0,67.0,17.0,64.0,17.0,0.0
2020-09-13,27.0,34.0,49.0,46.0,0.0,62.0,17.0,63.0,86.0,29.0
2020-09-20,21.0,34.0,49.0,51.0,0.0,83.0,0.0,89.0,17.0,0.0
2020-09-27,22.0,65.0,26.0,60.0,0.0,88.0,18.0,99.0,18.0,31.0
2020-10-04,41.0,50.0,78.0,35.0,0.0,44.0,18.0,74.0,0.0,0.0
2020-10-11,34.0,38.0,42.0,35.0,0.0,76.0,38.0,74.0,39.0,0.0
2020-10-18,20.0,38.0,41.0,41.0,0.0,29.0,0.0,89.0,19.0,100.0
2020-10-25,23.0,91.0,41.0,29.0,0.0,75.0,19.0,65.0,19.0,33.0
2020-11-01,18.0,62.0,25.0,58.0,30.0,48.0,17.0,62.0,18.0,0.0
2020-11-08,23.0,37.0,54.0,42.0,0.0,68.0,37.0,54.0,57.0,0.0
2020-11-15,33.0,91.0,41.0,43.0,32.0,46.0,37.0,55.0,39.0,0.0
2020-11-22,16.0,37.0,54.0,28.0,0.0,51.0,18.0,54.0,19.0,0.0
2020-11-29,20.0,68.0,68.0,29.0,32.0,46.0,19.0,62.0,96.0,0.0
2020-12-06,27.0,31.0,14.0,35.0,0.0,71.0,0.0,63.0,78.0,67.0
2020-12-13,20.0,69.0,0.0,38.0,0.0,47.0,19.0,50.0,19.0,33.0
2020-12-20,14.0,24.0,15.0,46.0,34.0,55.0,20.0,69.0,0.0,0.0
2020-12-27,17.0,39.0,42.0,26.0,0.0,59.0,0.0,48.0,20.0,0.0
2021-01-03,24.0,39.0,42.0,41.0,0.0,71.0,19.0,62.0,0.0,0.0
2021-01-10,24.0,54.0,14.0,41.0,33.0,29.0,19.0,45.0,20.0,0.0
2021-01-17,7.0,31.0,14.0,35.0,33.0,70.0,38.0,68.0,0.0,0.0
2021-01-24,24.0,62.0,56.0,50.0,0.0,48.0,19.0,75.0,0.0,0.0
2021-01-31,42.0,71.0,14.0,45.0,0.0,78.0,19.0,65.0,0.0,69.0
2021-02-07,15.0,17.0,15.0,44.0,0.0,38.0,0.0,77.0,21.0,36.0
2021-02-14,17.0,31.0,28.0,32.0,0.0,47.0,0.0,64.0,39.0,34.0
2021-02-21,31.0,47.0,43.0,54.0,0.0,73.0,0.0,68.0,20.0,34.0
2021-02-28,38.0,55.0,43.0,33.0,0.0,54.0,19.0,60.0,40.0,0.0
2021-03-07,21.0,24.0,0.0,36.0,0.0,72.0,0.0,100.0,0.0,0.0
2021-03-14,19.0,66.0,26.0,33.0,0.0,45.0,18.0,83.0,0.0,0.0
2021-03-21,34.0,39.0,56.0,35.0,0.0,59.0,19.0,67.0,0.0,34.0
2021-03-28,14.0,24.0,57.0,54.0,0.0,66.0,19.0,92.0,80.0,34.0
2021-04-04,30.0,100.0,28.0,35.0,0.0,29.0,57.0,53.0,59.0,33.0
2021-04-11,30.0,38.0,14.0,49.0,0.0,87.0,19.0,62.0,38.0,0.0
2021-04-18,23.0,61.0,14.0,57.0,0.0,58.0,19.0,81.0,19.0,33.0
2021-04-25,24.0,53.0,28.0,40.0,33.0,53.0,19.0,71.0,0.0,0.0
2021-05-02,27.0,75.0,27.0,43.0,32.0,40.0,0.0,93.0,38.0,0.0
2021-05-09,31.0,39.0,0.0,41.0,0.0,47.0,0.0,72.0,39.0,67.0
2021-05-16,29.0,51.0,26.0,42.0,31.0,78.0,36.0,65.0,37.0,32.0
2021-05-23,16.0,73.0,92.0,39.0,31.0,45.0,0.0,98.0,56.0,0.0
2021-05-30,16.0,37.0,53.0,50.0,0.0,62.0,55.0,94.0,19.0,32.0
2021-06-06,30.0,38.0,27.0,51.0,0.0,29.0,19.0,67.0,0.0,0.0
2021-06-13,13.0,52.0,41.0,31.0,0.0,80.0,55.0,80.0,19.0,0.0
