Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 01-12-2019, W, 8.88, 123731753.00, 39.25
India, 08-12-2019, W, 10.07, 127236052.00, 40.88
India, 15-12-2019, W, 8.87, 128824881.00, 40.82
India, 22-12-2019, W, 10.12, 127350117.00, 40.89
India, 29-12-2019, W, 8.28, 128015053.00, 40.26
India, 05-01-2020, W, 9.97, 126403669.00, 40.48
India, 12-01-2020, W, 9.63, 126677007.00, 40.40
India, 19-01-2020, W, 8.55, 127903776.00, 40.29
India, 26-01-2020, W, 10.36, 126284553.00, 40.56
India, 02-02-2020, W, 9.39, 127520973.00, 40.50
India, 09-02-2020, W, 8.90, 127181278.00, 40.15
India, 16-02-2020, W, 9.68, 128723775.00, 40.97
India, 23-02-2020, W, 7.49, 132182843.00, 41.06
India, 01-03-2020, W, 9.04, 127109199.00, 40.13
India, 08-03-2020, W, 9.13, 128531583.00, 40.60
India, 15-03-2020, W, 8.21, 124722035.00, 38.99
India, 22-03-2020, W, 8.66, 127858637.00, 40.14
India, 29-03-2020, W, 30.01, 88831649.00, 36.38
India, 05-04-2020, W, 30.93, 76476809.00, 31.72
India, 12-04-2020, W, 23.17, 86620152.00, 32.28
India, 19-04-2020, W, 25.08, 85516383.00, 32.67
India, 26-04-2020, W, 21.45, 87225893.00, 31.77
India, 03-05-2020, W, 29.22, 81936825.00, 33.10
India, 10-05-2020, W, 27.83, 83345337.00, 33.00
India, 17-05-2020, W, 26.95, 86547450.00, 33.84
