Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 30-11-2019, M, 7.54, 4668772.00, 36.62
Andhra Pradesh, 31-12-2019, M, 7.88, 4913963.00, 38.61
Andhra Pradesh, 31-01-2020, M, 7.11, 4618859.00, 35.91
Andhra Pradesh, 29-02-2020, M, 5.66, 4822034.00, 36.84
Andhra Pradesh, 31-03-2020, M, 9.88, 4521537.00, 36.08
Andhra Pradesh, 30-04-2020, M, 32.30, 2544083.00, 26.97
Assam, 30-11-2019, M, 6.31, 1708045.00, 44.59
Assam, 31-12-2019, M, 5.02, 1722303.00, 44.26
Assam, 31-01-2020, M, 7.24, 1630907.00, 42.82
Assam, 29-02-2020, M, 9.98, 1625453.00, 43.90
Assam, 31-03-2020, M, 10.34, 1664145.00, 45.03
Assam, 30-04-2020, M, 8.37, 1454956.00, 38.45
Bihar, 30-11-2019, M, 17.62, 3081077.00, 38.86
Bihar, 31-12-2019, M, 14.91, 2977857.00, 36.29
Bihar, 31-01-2020, M, 20.69, 2988665.00, 38.99
Bihar, 29-02-2020, M, 15.11, 3113463.00, 37.87
Bihar, 31-03-2020, M, 15.73, 3049636.00, 37.29
Bihar, 30-04-2020, M, 58.77, 1400961.00, 34.94
Chandigarh, 30-11-2019, M, 22.05, 289593.00, 38.60
Chandigarh, 31-12-2019, M, 8.33, 311146.00, 35.19
Chandigarh, 31-01-2020, M, 20.00, 332061.00, 42.94
Chandigarh, 29-02-2020, M, 16.67, 316886.00, 39.25
Chandigarh, 31-03-2020, M, 21.43, 279838.00, 36.68
Chhattisgarh, 30-11-2019, M, 8.32, 2341284.00, 46.59
Chhattisgarh, 31-12-2019, M, 3.57, 2415436.00, 45.59
Chhattisgarh, 31-01-2020, M, 9.01, 2315971.00, 46.21
Chhattisgarh, 29-02-2020, M, 9.79, 2347940.00, 47.14
Chhattisgarh, 31-03-2020, M, 8.21, 2407508.00, 47.39
Chhattisgarh, 30-04-2020, M, 20.13, 1066126.00, 24.06
Delhi, 30-11-2019, M, 16.11, 5439600.00, 43.02
Delhi, 31-12-2019, M, 11.07, 5718337.00, 42.56
Delhi, 31-01-2020, M, 22.45, 5647493.00, 48.09
Delhi, 29-02-2020, M, 14.86, 5708806.00, 44.18
Delhi, 31-03-2020, M, 17.09, 5401392.00, 42.82
Delhi, 30-04-2020, M, 16.51, 3003786.00, 23.59
Goa, 30-11-2019, M, 25.20, 271612.00, 45.22
Goa, 31-12-2019, M, 16.22, 288154.00, 42.77
Goa, 31-01-2020, M, 10.92, 257813.00, 35.95
Goa, 29-02-2020, M, 4.31, 306395.00, 39.73
Goa, 31-03-2020, M, 4.76, 277093.00, 36.05
Goa, 30-04-2020, M, 11.76, 318956.00, 44.74
Gujarat, 30-11-2019, M, 7.53, 9896129.00, 43.50
Gujarat, 31-12-2019, M, 5.71, 10172812.00, 43.75
Gujarat, 31-01-2020, M, 5.82, 9824501.00, 42.19
Gujarat, 29-02-2020, M, 6.04, 10784753.00, 46.31
Gujarat, 31-03-2020, M, 5.39, 10083025.00, 42.90
Gujarat, 30-04-2020, M, 25.94, 6701284.00, 36.33
Haryana, 30-11-2019, M, 27.06, 2404239.00, 39.18
Haryana, 31-12-2019, M, 23.65, 2548835.00, 39.57
Haryana, 31-01-2020, M, 27.24, 2630938.00, 42.75
Haryana, 29-02-2020, M, 23.29, 2752833.00, 42.32
Haryana, 31-03-2020, M, 27.14, 2275407.00, 36.73
Haryana, 30-04-2020, M, 46.89, 1606579.00, 35.48
Himachal Pradesh, 30-11-2019, M, 27.27, 233029.00, 52.17
Himachal Pradesh, 31-12-2019, M, 25.32, 241366.00, 52.55
Himachal Pradesh, 31-01-2020, M, 18.15, 246596.00, 48.92
Himachal Pradesh, 29-02-2020, M, 27.31, 227804.00, 50.82
Himachal Pradesh, 31-03-2020, M, 26.44, 221432.00, 48.74
Himachal Pradesh, 30-04-2020, M, 2.70, 146956.00, 24.42
Jammu & Kashmir, 30-11-2019, M, 14.29, 1226793.00, 44.92
Jammu & Kashmir, 31-12-2019, M, 7.02, 1209085.00, 40.71
Jammu & Kashmir, 31-01-2020, M, 18.54, 1079536.00, 41.40
Jammu & Kashmir, 29-02-2020, M, 19.86, 1060115.00, 41.23
Jammu & Kashmir, 31-03-2020, M, 14.29, 998102.00, 36.21
Jharkhand, 30-11-2019, M, 17.34, 2424281.00, 43.17
Jharkhand, 31-12-2019, M, 22.01, 2290170.00, 43.14
Jharkhand, 31-01-2020, M, 22.96, 2329292.00, 44.33
Jharkhand, 29-02-2020, M, 19.67, 2493023.00, 45.42
Jharkhand, 31-03-2020, M, 16.40, 2480661.00, 43.34
Jharkhand, 30-04-2020, M, 61.48, 1054828.00, 39.92
Karnataka, 30-11-2019, M, 3.44, 8613835.00, 38.60
Karnataka, 31-12-2019, M, 1.56, 8592376.00, 37.66
Karnataka, 31-01-2020, M, 3.31, 8749153.00, 38.94
Karnataka, 29-02-2020, M, 2.88, 8924061.00, 39.45
Karnataka, 31-03-2020, M, 4.92, 9225834.00, 41.55
Karnataka, 30-04-2020, M, 25.12, 7387994.00, 42.14
Kerala, 30-11-2019, M, 6.71, 4062767.00, 32.36
Kerala, 31-12-2019, M, 7.31, 4440283.00, 35.56
Kerala, 31-01-2020, M, 6.65, 4597507.00, 36.53
Kerala, 29-02-2020, M, 6.08, 4624443.00, 36.48
Kerala, 31-03-2020, M, 9.14, 4079774.00, 33.24
Kerala, 30-04-2020, M, 21.43, 2179105.00, 20.51
Madhya Pradesh, 30-11-2019, M, 6.06, 6459457.00, 37.94
Madhya Pradesh, 31-12-2019, M, 6.20, 6787403.00, 39.83
Madhya Pradesh, 31-01-2020, M, 5.17, 6834930.00, 39.59
Madhya Pradesh, 29-02-2020, M, 4.96, 6533435.00, 37.68
