Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Kerala, 30-04-2020, M, 16.99, 3933276.00, 16.77
Madhya Pradesh, 30-11-2019, M, 3.69, 22765885.00, 38.99
Madhya Pradesh, 31-12-2019, M, 3.90, 23642051.00, 40.49
Madhya Pradesh, 31-01-2020, M, 4.11, 23018631.00, 39.42
Madhya Pradesh, 29-02-2020, M, 4.57, 22711478.00, 39.00
Madhya Pradesh, 31-03-2020, M, 2.22, 22867163.00, 38.24
Madhya Pradesh, 30-04-2020, M, 12.36, 19041831.00, 35.45
Maharashtra, 30-11-2019, M, 5.34, 42368067.00, 44.31
Maharashtra, 31-12-2019, M, 4.94, 42938769.00, 44.63
Maharashtra, 31-01-2020, M, 4.95, 42596867.00, 44.19
Maharashtra, 29-02-2020, M, 4.69, 42416317.00, 43.80
Maharashtra, 31-03-2020, M, 5.79, 40196806.00, 41.91
Maharashtra, 30-04-2020, M, 20.90, 27689253.00, 34.32
Meghalaya, 30-11-2019, M, 1.80, 1499134.00, 66.26
Meghalaya, 31-12-2019, M, 2.48, 1370415.00, 60.85
Meghalaya, 31-01-2020, M, 1.66, 1491093.00, 65.49
Meghalaya, 29-02-2020, M, 3.59, 1346829.00, 60.20
Meghalaya, 31-03-2020, M, 1.58, 1482350.00, 64.74
Meghalaya, 30-04-2020, M, 10.03, 965056.00, 45.99
Odisha, 30-11-2019, M, 4.29, 14787092.00, 43.64
Odisha, 31-12-2019, M, 4.44, 13714117.00, 40.47
Odisha, 31-01-2020, M, 1.90, 13743447.00, 39.44
Odisha, 29-02-2020, M, 3.12, 14280734.00, 41.44
Odisha, 31-03-2020, M, 13.08, 12272108.00, 39.62
Odisha, 30-04-2020, M, 23.76, 6865692.00, 25.23
Puducherry, 30-11-2019, M, 0.91, 417790.00, 34.46
Puducherry, 31-12-2019, M, 4.05, 493943.00, 41.97
Puducherry, 31-01-2020, M, 0.58, 457950.00, 37.46
Puducherry, 29-02-2020, M, 1.76, 493960.00, 40.80
Puducherry, 31-03-2020, M, 1.20, 421027.00, 34.49
Puducherry, 30-04-2020, M, 75.85, 117541.00, 39.30
Punjab, 30-11-2019, M, 8.29, 9997265.00, 44.10
Punjab, 31-12-2019, M, 8.36, 9739993.00, 42.92
Punjab, 31-01-2020, M, 11.11, 9442092.00, 42.82
Punjab, 29-02-2020, M, 10.97, 9229047.00, 41.72
Punjab, 31-03-2020, M, 10.32, 9975484.00, 44.69
Punjab, 30-04-2020, M, 2.86, 7020565.00, 28.99
Rajasthan, 30-11-2019, M, 11.49, 20585270.00, 40.83
Rajasthan, 31-12-2019, M, 15.01, 20594788.00, 42.44
Rajasthan, 31-01-2020, M, 10.97, 20641715.00, 40.51
Rajasthan, 29-02-2020, M, 15.16, 20328915.00, 41.77
Rajasthan, 31-03-2020, M, 11.90, 20024680.00, 39.54
Rajasthan, 30-04-2020, M, 17.70, 15984142.00, 33.71
Sikkim, 30-11-2019, M, 9.71, 270177.00, 53.33
Sikkim, 31-12-2019, M, 3.34, 249682.00, 45.90
Sikkim, 31-03-2020, M, 23.57, 262895.00, 60.59
Sikkim, 30-04-2020, M, 2.28, 215303.00, 38.70
Tamil Nadu, 30-11-2019, M, 2.54, 27953383.00, 44.21
Tamil Nadu, 31-12-2019, M, 5.70, 27617327.00, 45.07
Tamil Nadu, 31-01-2020, M, 1.57, 26881641.00, 41.96
Tamil Nadu, 29-02-2020, M, 2.09, 27570589.00, 43.20
Tamil Nadu, 31-03-2020, M, 6.40, 26830768.00, 43.91
Tamil Nadu, 30-04-2020, M, 49.83, 9719167.00, 29.63
Telangana, 30-11-2019, M, 6.07, 16603947.00, 56.44
Telangana, 31-12-2019, M, 2.30, 16385838.00, 53.44
Telangana, 31-01-2020, M, 5.49, 17609295.00, 59.25
Telangana, 29-02-2020, M, 8.29, 16825970.00, 58.24
Telangana, 31-03-2020, M, 5.77, 17341612.00, 58.31
Telangana, 30-04-2020, M, 6.25, 12172229.00, 41.06
Tripura, 30-11-2019, M, 25.80, 1512333.00, 63.65
Tripura, 31-12-2019, M, 28.59, 1446305.00, 63.14
Tripura, 31-01-2020, M, 32.67, 1508130.00, 69.69
Tripura, 29-02-2020, M, 28.40, 1584685.00, 68.74
Tripura, 31-03-2020, M, 29.95, 1511216.00, 66.89
Tripura, 30-04-2020, M, 41.23, 971514.00, 51.16
Uttar Pradesh, 30-11-2019, M, 8.05, 57390418.00, 38.64
Uttar Pradesh, 31-12-2019, M, 9.39, 58497287.00, 39.87
Uttar Pradesh, 31-01-2020, M, 7.58, 59433759.00, 39.63
Uttar Pradesh, 29-02-2020, M, 8.98, 58060531.00, 39.23
Uttar Pradesh, 31-03-2020, M, 10.11, 56976337.00, 38.89
Uttar Pradesh, 30-04-2020, M, 21.54, 50915056.00, 39.73
Uttarakhand, 30-11-2019, M, 5.80, 2912016.00, 35.70
Uttarakhand, 31-12-2019, M, 5.41, 2792345.00, 34.01
Uttarakhand, 31-01-2020, M, 5.49, 2711639.00, 32.99
Uttarakhand, 29-02-2020, M, 4.99, 3020930.00, 36.48
Uttarakhand, 31-03-2020, M, 19.85, 2539302.00, 36.27
Uttarakhand, 30-04-2020, M, 6.48, 2720115.00, 33.23
West Bengal, 30-11-2019, M, 6.06, 36398822.00, 47.85
West Bengal, 31-12-2019, M, 6.25, 36241935.00, 47.65
West Bengal, 31-01-2020, M, 6.94, 35820788.00, 47.35
West Bengal, 29-02-2020, M, 4.92, 36964177.00, 47.74
West Bengal, 31-03-2020, M, 6.92, 35903917.00, 47.27
West Bengal, 30-04-2020, M, 17.41, 26938836.00, 39.90
India, 30-11-2019, M, 7.23, 403049917.00, 42.30
India, 31-12-2019, M, 7.60, 405647544.00, 42.66
India, 31-01-2020, M, 7.22, 410473913.00, 42.90
India, 29-02-2020, M, 7.76, 405954168.00, 42.60
India, 31-03-2020, M, 8.75, 395840756.00, 41.90
India, 30-04-2020, M, 23.52, 282203816.00, 35.57
