Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 30-11-2019, M, 5.14, 16066453.00, 39.59
Andhra Pradesh, 31-12-2019, M, 5.39, 17442358.00, 43.03
Andhra Pradesh, 31-01-2020, M, 5.48, 16635535.00, 41.02
Andhra Pradesh, 29-02-2020, M, 5.83, 16545651.00, 40.90
Andhra Pradesh, 31-03-2020, M, 5.79, 15881197.00, 39.18
Andhra Pradesh, 30-04-2020, M, 20.51, 11336910.00, 33.10
Assam, 30-11-2019, M, 4.91, 11333407.00, 46.31
Assam, 31-12-2019, M, 0.88, 10209748.00, 39.95
Assam, 31-01-2020, M, 4.66, 13051904.00, 52.98
Assam, 29-02-2020, M, 4.41, 10088267.00, 40.77
Assam, 31-03-2020, M, 4.77, 11542887.00, 46.73
Assam, 30-04-2020, M, 11.06, 6830816.00, 29.55
Bihar, 30-11-2019, M, 13.07, 25527066.00, 37.68
Bihar, 31-12-2019, M, 10.73, 25892387.00, 37.13
Bihar, 31-01-2020, M, 10.61, 26397671.00, 37.72
Bihar, 29-02-2020, M, 10.29, 26281655.00, 37.35
Bihar, 31-03-2020, M, 15.43, 25717518.00, 38.69
Bihar, 30-04-2020, M, 46.64, 16046236.00, 38.17
Chhattisgarh, 30-11-2019, M, 4.23, 9284215.00, 44.32
Chhattisgarh, 31-12-2019, M, 5.44, 8984821.00, 43.34
Chhattisgarh, 31-01-2020, M, 9.65, 8552172.00, 43.08
Chhattisgarh, 29-02-2020, M, 8.38, 9195114.00, 45.58
Chhattisgarh, 31-03-2020, M, 7.54, 9302316.00, 45.59
Chhattisgarh, 30-04-2020, M, 3.41, 7600447.00, 35.58
Delhi, 30-11-2019, M, 15.96, 5618368.00, 43.01
Delhi, 31-12-2019, M, 11.23, 5864008.00, 42.40
Delhi, 31-01-2020, M, 22.23, 5805283.00, 47.79
Delhi, 29-02-2020, M, 14.84, 5856306.00, 43.92
Delhi, 31-03-2020, M, 17.04, 5553805.00, 42.65
Delhi, 30-04-2020, M, 16.68, 3119273.00, 23.80
Goa, 30-11-2019, M, 24.66, 431101.00, 44.80
Goa, 31-12-2019, M, 11.80, 465309.00, 41.26
Goa, 31-01-2020, M, 8.89, 416750.00, 35.73
Goa, 29-02-2020, M, 2.81, 478067.00, 38.38
Goa, 31-03-2020, M, 5.25, 411760.00, 33.88
Goa, 30-04-2020, M, 13.31, 500613.00, 44.97
Gujarat, 30-11-2019, M, 5.86, 24383944.00, 49.37
Gujarat, 31-12-2019, M, 4.42, 24050637.00, 47.87
Gujarat, 31-01-2020, M, 5.54, 24126345.00, 48.49
Gujarat, 29-02-2020, M, 6.38, 24757795.00, 50.11
Gujarat, 31-03-2020, M, 6.66, 23566641.00, 47.75
Gujarat, 30-04-2020, M, 18.71, 15288878.00, 35.50
Haryana, 30-11-2019, M, 20.36, 7280001.00, 41.23
Haryana, 31-12-2019, M, 27.56, 7152319.00, 44.43
Haryana, 31-01-2020, M, 20.34, 7693231.00, 43.36
Haryana, 29-02-2020, M, 25.77, 7322942.00, 44.21
Haryana, 31-03-2020, M, 25.05, 6641554.00, 39.63
Haryana, 30-04-2020, M, 43.22, 5647630.00, 44.38
Himachal Pradesh, 30-11-2019, M, 23.34, 2257438.00, 48.87
Himachal Pradesh, 31-12-2019, M, 20.16, 2164186.00, 44.91
Himachal Pradesh, 31-01-2020, M, 16.83, 2287631.00, 45.50
Himachal Pradesh, 29-02-2020, M, 16.84, 2180268.00, 43.30
Himachal Pradesh, 31-03-2020, M, 18.76, 2021857.00, 41.04
Himachal Pradesh, 30-04-2020, M, 2.20, 1131128.00, 19.04
Jammu & Kashmir, 30-11-2019, M, 14.58, 3642516.00, 41.31
Jammu & Kashmir, 31-12-2019, M, 12.48, 4574768.00, 50.52
Jammu & Kashmir, 31-01-2020, M, 21.08, 3453024.00, 42.20
Jammu & Kashmir, 29-02-2020, M, 20.78, 3223513.00, 39.17
Jammu & Kashmir, 31-03-2020, M, 15.50, 3359106.00, 38.18
Jharkhand, 30-11-2019, M, 10.57, 9703910.00, 41.00
Jharkhand, 31-12-2019, M, 16.98, 9163607.00, 41.62
Jharkhand, 31-01-2020, M, 10.61, 10198029.00, 42.92
Jharkhand, 29-02-2020, M, 11.85, 10425425.00, 44.40
Jharkhand, 31-03-2020, M, 8.23, 9638115.00, 39.34
Jharkhand, 30-04-2020, M, 47.09, 5335262.00, 37.69
Karnataka, 30-11-2019, M, 2.16, 20151052.00, 37.35
Karnataka, 31-12-2019, M, 0.88, 21348508.00, 38.98
Karnataka, 31-01-2020, M, 2.86, 22688028.00, 42.18
Karnataka, 29-02-2020, M, 3.61, 21677718.00, 40.54
Karnataka, 31-03-2020, M, 3.46, 22079653.00, 41.14
Karnataka, 30-04-2020, M, 29.84, 16718395.00, 42.78
Kerala, 30-11-2019, M, 5.81, 8620673.00, 32.54
Kerala, 31-12-2019, M, 9.19, 9506088.00, 37.18
Kerala, 31-01-2020, M, 5.31, 9904533.00, 37.12
Kerala, 29-02-2020, M, 7.60, 9828022.00, 37.71
Kerala, 31-03-2020, M, 8.99, 8221728.00, 32.00
