Unemployment_Rate_-_Trailing_30_days : Rural
Region, Date, Frequency, Value
India, 30-11-2019, D, 6.61
India, 01-12-2019, D, 6.64
India, 02-12-2019, D, 6.72
India, 03-12-2019, D, 6.79
India, 04-12-2019, D, 6.72
India, 05-12-2019, D, 6.67
India, 06-12-2019, D, 6.63
India, 07-12-2019, D, 6.69
India, 08-12-2019, D, 6.70
India, 09-12-2019, D, 6.78
India, 10-12-2019, D, 6.73
India, 11-12-2019, D, 6.69
India, 12-12-2019, D, 6.75
India, 13-12-2019, D, 6.77
India, 14-12-2019, D, 6.63
India, 15-12-2019, D, 6.56
India, 16-12-2019, D, 6.53
India, 17-12-2019, D, 6.45
India, 18-12-2019, D, 6.59
India, 19-12-2019, D, 6.53
India, 20-12-2019, D, 6.73
India, 21-12-2019, D, 6.78
India, 22-12-2019, D, 6.65
India, 23-12-2019, D, 6.80
India, 24-12-2019, D, 6.75
India, 25-12-2019, D, 6.84
India, 26-12-2019, D, 6.89
India, 27-12-2019, D, 6.85
India, 28-12-2019, D, 6.97
India, 29-12-2019, D, 7.01
India, 30-12-2019, D, 7.06
India, 31-12-2019, D, 7.04
India, 01-01-2020, D, 7.06
India, 02-01-2020, D, 7.03
India, 03-01-2020, D, 7.03
India, 04-01-2020, D, 7.02
India, 05-01-2020, D, 7.01
India, 06-01-2020, D, 6.98
India, 07-01-2020, D, 7.09
India, 08-01-2020, D, 6.98
India, 09-01-2020, D, 6.94
India, 10-01-2020, D, 6.99
India, 11-01-2020, D, 6.83
India, 12-01-2020, D, 6.77
India, 13-01-2020, D, 6.71
India, 14-01-2020, D, 6.70
India, 15-01-2020, D, 6.71
India, 16-01-2020, D, 6.71
India, 17-01-2020, D, 6.64
India, 18-01-2020, D, 6.58
India, 19-01-2020, D, 6.56
India, 20-01-2020, D, 6.39
India, 21-01-2020, D, 6.24
India, 22-01-2020, D, 6.18
India, 23-01-2020, D, 6.08
India, 24-01-2020, D, 6.08
India, 25-01-2020, D, 6.15
India, 26-01-2020, D, 6.07
India, 27-01-2020, D, 5.98
India, 28-01-2020, D, 5.99
India, 29-01-2020, D, 6.06
India, 30-01-2020, D, 6.01
India, 31-01-2020, D, 5.96
India, 01-02-2020, D, 5.97
India, 02-02-2020, D, 6.01
India, 03-02-2020, D, 6.10
India, 04-02-2020, D, 6.24
India, 05-02-2020, D, 6.36
India, 06-02-2020, D, 6.18
India, 07-02-2020, D, 6.22
India, 08-02-2020, D, 6.45
India, 09-02-2020, D, 6.17
India, 10-02-2020, D, 6.38
India, 11-02-2020, D, 6.42
India, 12-02-2020, D, 6.50
India, 13-02-2020, D, 6.52
India, 14-02-2020, D, 6.63
India, 15-02-2020, D, 6.64
India, 16-02-2020, D, 6.63
India, 17-02-2020, D, 6.67
India, 18-02-2020, D, 6.90
India, 19-02-2020, D, 7.00
India, 20-02-2020, D, 7.06
India, 21-02-2020, D, 7.22
India, 22-02-2020, D, 7.31
India, 23-02-2020, D, 7.33
India, 24-02-2020, D, 7.28
India, 25-02-2020, D, 7.45
India, 26-02-2020, D, 7.45
India, 27-02-2020, D, 7.53
India, 28-02-2020, D, 7.52
India, 29-02-2020, D, 7.59
India, 01-03-2020, D, 7.58
India, 02-03-2020, D, 7.61
India, 03-03-2020, D, 7.63
India, 04-03-2020, D, 7.62
India, 05-03-2020, D, 7.51
India, 06-03-2020, D, 7.34
India, 07-03-2020, D, 7.35
India, 08-03-2020, D, 7.25
India, 09-03-2020, D, 7.13
India, 10-03-2020, D, 7.34
India, 11-03-2020, D, 6.89
India, 12-03-2020, D, 6.86
India, 13-03-2020, D, 6.71
India, 14-03-2020, D, 6.68
India, 15-03-2020, D, 6.57
India, 16-03-2020, D, 6.66
India, 17-03-2020, D, 6.75
India, 18-03-2020, D, 6.99
India, 19-03-2020, D, 6.74
India, 20-03-2020, D, 6.81
India, 21-03-2020, D, 6.96
India, 22-03-2020, D, 6.92
India, 23-03-2020, D, 7.04
India, 24-03-2020, D, 7.13
India, 25-03-2020, D, 7.12
India, 26-03-2020, D, 7.10
India, 27-03-2020, D, 7.13
India, 28-03-2020, D, 7.18
India, 29-03-2020, D, 7.83
India, 30-03-2020, D, 8.26
India, 31-03-2020, D, 8.49
India, 01-04-2020, D, 8.72
India, 02-04-2020, D, 8.86
India, 03-04-2020, D, 8.93
India, 04-04-2020, D, 9.32
India, 05-04-2020, D, 9.57
India, 06-04-2020, D, 9.93
India, 07-04-2020, D, 10.41
India, 08-04-2020, D, 11.15
India, 09-04-2020, D, 11.41
India, 10-04-2020, D, 11.63
India, 11-04-2020, D, 12.39
India, 12-04-2020, D, 13.08
India, 13-04-2020, D, 14.28
India, 14-04-2020, D, 15.38
India, 15-04-2020, D, 16.42
India, 16-04-2020, D, 17.67
India, 17-04-2020, D, 18.06
India, 18-04-2020, D, 19.71
India, 19-04-2020, D, 20.54
India, 20-04-2020, D, 22.65
India, 21-04-2020, D, 22.56
India, 22-04-2020, D, 22.86
India, 23-04-2020, D, 22.70
India, 24-04-2020, D, 22.75
India, 25-04-2020, D, 22.71
India, 26-04-2020, D, 22.73
India, 27-04-2020, D, 22.98
India, 28-04-2020, D, 22.81
India, 29-04-2020, D, 22.67
India, 30-04-2020, D, 22.98
India, 01-05-2020, D, 23.08
India, 02-05-2020, D, 23.50
India, 03-05-2020, D, 23.66
India, 04-05-2020, D, 23.82
India, 05-05-2020, D, 24.26
India, 06-05-2020, D, 24.27
India, 07-05-2020, D, 24.33
India, 08-05-2020, D, 24.35
India, 09-05-2020, D, 24.52
India, 10-05-2020, D, 24.67
India, 11-05-2020, D, 24.11
India, 12-05-2020, D, 23.85
India, 13-05-2020, D, 23.49
India, 14-05-2020, D, 23.45
India, 15-05-2020, D, 23.36
India, 16-05-2020, D, 22.93
India, 17-05-2020, D, 22.83
India, 18-05-2020, D, 22.73
India, 19-05-2020, D, 22.77
India, 20-05-2020, D, 23.23
India, 21-05-2020, D, 23.29
India, 22-05-2020, D, 23.49
India, 23-05-2020, D, 23.94
