Unemployment_Rate : Rural
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 30-11-2019, M, 4.12, 11397681.00, 41.00
Andhra Pradesh, 31-12-2019, M, 4.38, 12528395.00, 45.14
Andhra Pradesh, 31-01-2020, M, 4.84, 12016675.00, 43.46
Andhra Pradesh, 29-02-2020, M, 5.91, 11723616.00, 42.83
Andhra Pradesh, 31-03-2020, M, 4.06, 11359660.00, 40.66
Andhra Pradesh, 30-04-2020, M, 16.29, 8792826.00, 36.03
Assam, 30-11-2019, M, 4.66, 9625362.00, 46.64
Assam, 31-01-2020, M, 4.29, 11420996.00, 54.90
Assam, 29-02-2020, M, 3.26, 8462814.00, 40.17
Assam, 31-03-2020, M, 3.77, 9878742.00, 47.05
Bihar, 30-11-2019, M, 12.40, 22445989.00, 37.51
Bihar, 31-12-2019, M, 10.16, 22914530.00, 37.25
Bihar, 31-01-2020, M, 9.13, 23409006.00, 37.54
Bihar, 29-02-2020, M, 9.61, 23168191.00, 37.28
Bihar, 31-03-2020, M, 15.39, 22667882.00, 38.88
Bihar, 30-04-2020, M, 45.09, 14645274.00, 38.63
Chhattisgarh, 30-11-2019, M, 2.77, 6942931.00, 43.56
Chhattisgarh, 31-12-2019, M, 6.11, 6569385.00, 42.59
Chhattisgarh, 31-01-2020, M, 9.89, 6236200.00, 42.03
Chhattisgarh, 29-02-2020, M, 7.89, 6847173.00, 45.05
Chhattisgarh, 31-03-2020, M, 7.31, 6894808.00, 44.98
Chhattisgarh, 30-04-2020, M, 0.00, 6534321.00, 39.43
Delhi, 30-11-2019, M, 11.11, 178768.00, 42.71
Delhi, 31-12-2019, M, 16.97, 145671.00, 37.08
Delhi, 31-01-2020, M, 13.48, 157790.00, 38.36
Delhi, 29-02-2020, M, 13.81, 147499.00, 35.84
Delhi, 31-03-2020, M, 15.18, 152412.00, 37.45
Delhi, 30-04-2020, M, 20.69, 115487.00, 30.21
Goa, 30-11-2019, M, 23.71, 159489.00, 44.09
Goa, 31-12-2019, M, 3.54, 177155.00, 38.70
Goa, 31-01-2020, M, 5.38, 158936.00, 35.36
Goa, 29-02-2020, M, 0.00, 171672.00, 36.11
Goa, 30-04-2020, M, 15.91, 181656.00, 45.36
Gujarat, 30-11-2019, M, 4.68, 14487815.00, 54.55
Gujarat, 31-12-2019, M, 3.46, 13877825.00, 51.51
Gujarat, 31-01-2020, M, 5.35, 14301844.00, 54.07
Gujarat, 29-02-2020, M, 6.64, 13973042.00, 53.48
Gujarat, 31-03-2020, M, 7.59, 13483615.00, 52.06
Gujarat, 30-04-2020, M, 12.00, 8587594.00, 34.77
Haryana, 30-11-2019, M, 16.59, 4875763.00, 42.48
Haryana, 31-12-2019, M, 29.56, 4603484.00, 47.40
Haryana, 31-01-2020, M, 16.21, 5062292.00, 43.74
Haryana, 29-02-2020, M, 27.19, 4570108.00, 45.37
Haryana, 31-03-2020, M, 23.92, 4366147.00, 41.40
Haryana, 30-04-2020, M, 41.61, 4041050.00, 49.85
Himachal Pradesh, 30-11-2019, M, 22.86, 2024409.00, 48.50
Himachal Pradesh, 31-12-2019, M, 19.46, 1922821.00, 44.05
Himachal Pradesh, 31-01-2020, M, 16.67, 2041035.00, 45.11
Himachal Pradesh, 29-02-2020, M, 15.42, 1952463.00, 42.45
Himachal Pradesh, 31-03-2020, M, 17.71, 1800425.00, 40.17
Himachal Pradesh, 30-04-2020, M, 2.13, 984171.00, 18.43
Jammu & Kashmir, 30-11-2019, M, 14.73, 2415724.00, 39.69
Jammu & Kashmir, 31-01-2020, M, 22.19, 2373488.00, 42.56
Jammu & Kashmir, 29-02-2020, M, 21.23, 2163397.00, 38.25
Jammu & Kashmir, 31-03-2020, M, 16.00, 2361004.00, 39.06
Jharkhand, 30-11-2019, M, 8.07, 7279628.00, 40.26
Jharkhand, 31-12-2019, M, 15.15, 6873437.00, 41.09
Jharkhand, 31-01-2020, M, 6.16, 7868736.00, 42.43
Jharkhand, 29-02-2020, M, 9.06, 7932402.00, 44.05
Jharkhand, 31-03-2020, M, 5.01, 7157454.00, 37.96
Jharkhand, 30-04-2020, M, 41.72, 4280433.00, 36.92
Karnataka, 30-11-2019, M, 1.19, 11537217.00, 36.45
Karnataka, 31-12-2019, M, 0.41, 12756132.00, 39.92
Karnataka, 31-01-2020, M, 2.57, 13938874.00, 44.52
Karnataka, 29-02-2020, M, 4.11, 12753657.00, 41.33
Karnataka, 31-03-2020, M, 2.39, 12853818.00, 40.85
Karnataka, 30-04-2020, M, 33.17, 9330400.00, 43.25
Kerala, 30-11-2019, M, 5.00, 4557906.00, 32.71
Kerala, 31-12-2019, M, 10.77, 5065804.00, 38.67
Kerala, 31-01-2020, M, 4.11, 5307026.00, 37.66
Kerala, 29-02-2020, M, 8.91, 5203579.00, 38.84
Kerala, 31-03-2020, M, 8.85, 4141953.00, 30.87
Kerala, 30-04-2020, M, 10.71, 1754170.00, 13.33
