Unemployment_Rate : Rural
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 01-12-2019, W, 5.33, 281894912.00, 43.71
India, 08-12-2019, W, 7.38, 275556300.00, 43.66
India, 15-12-2019, W, 7.03, 280326177.00, 44.22
India, 22-12-2019, W, 8.17, 278340558.00, 44.44
India, 29-12-2019, W, 6.44, 275592353.00, 43.17
India, 05-01-2020, W, 6.34, 279044716.00, 43.64
India, 12-01-2020, W, 6.77, 286429478.00, 44.99
India, 19-01-2020, W, 5.66, 289801280.00, 44.96
India, 26-01-2020, W, 4.83, 286100355.00, 43.98
India, 02-02-2020, W, 6.50, 284631772.00, 44.52
India, 09-02-2020, W, 8.34, 278592732.00, 44.43
India, 16-02-2020, W, 7.34, 278487720.00, 43.91
India, 23-02-2020, W, 7.39, 280827863.00, 44.28
India, 01-03-2020, W, 7.67, 271300579.00, 42.89
India, 08-03-2020, W, 7.02, 273546196.00, 42.93
India, 15-03-2020, W, 6.07, 282982779.00, 43.94
India, 22-03-2020, W, 8.29, 276216102.00, 43.91
India, 29-03-2020, W, 20.99, 220390394.00, 40.65
India, 05-04-2020, W, 20.21, 209987102.00, 38.33
India, 12-04-2020, W, 24.37, 193128505.00, 37.18
India, 19-04-2020, W, 26.69, 185213224.00, 36.77
India, 26-04-2020, W, 20.88, 202326010.00, 37.20
India, 03-05-2020, W, 26.16, 191669759.00, 37.74
India, 10-05-2020, W, 22.35, 213032671.00, 39.87
India, 17-05-2020, W, 22.79, 219951174.00, 41.39
