Unemployment_Rate_-_Trailing_30_days : Urban
Region, Date, Frequency, Value
India, 30-11-2019, D, 8.82
India, 01-12-2019, D, 8.79
India, 02-12-2019, D, 8.85
India, 03-12-2019, D, 8.92
India, 04-12-2019, D, 8.98
India, 05-12-2019, D, 9.03
India, 06-12-2019, D, 8.96
India, 07-12-2019, D, 8.93
India, 08-12-2019, D, 8.94
India, 09-12-2019, D, 9.20
India, 10-12-2019, D, 9.14
India, 11-12-2019, D, 9.18
India, 12-12-2019, D, 9.14
India, 13-12-2019, D, 9.13
India, 14-12-2019, D, 9.14
India, 15-12-2019, D, 9.15
India, 16-12-2019, D, 9.24
India, 17-12-2019, D, 9.33
India, 18-12-2019, D, 9.28
India, 19-12-2019, D, 9.26
India, 20-12-2019, D, 9.21
India, 21-12-2019, D, 9.30
India, 22-12-2019, D, 9.29
India, 23-12-2019, D, 9.32
India, 24-12-2019, D, 9.20
India, 25-12-2019, D, 9.13
India, 26-12-2019, D, 9.06
India, 27-12-2019, D, 9.01
India, 28-12-2019, D, 8.91
India, 29-12-2019, D, 8.93
India, 30-12-2019, D, 8.92
India, 31-12-2019, D, 8.96
India, 01-01-2020, D, 8.96
India, 02-01-2020, D, 9.07
India, 03-01-2020, D, 8.95
India, 04-01-2020, D, 8.97
India, 05-01-2020, D, 9.17
India, 06-01-2020, D, 9.13
India, 07-01-2020, D, 9.15
India, 08-01-2020, D, 9.16
India, 09-01-2020, D, 9.30
India, 10-01-2020, D, 9.33
India, 11-01-2020, D, 9.33
India, 12-01-2020, D, 9.42
India, 13-01-2020, D, 9.40
India, 14-01-2020, D, 9.37
India, 15-01-2020, D, 9.28
India, 16-01-2020, D, 9.16
India, 17-01-2020, D, 9.14
India, 18-01-2020, D, 9.18
India, 19-01-2020, D, 9.18
India, 20-01-2020, D, 9.19
India, 21-01-2020, D, 9.25
India, 22-01-2020, D, 9.23
India, 23-01-2020, D, 9.40
India, 24-01-2020, D, 9.47
India, 25-01-2020, D, 9.51
India, 26-01-2020, D, 9.63
India, 27-01-2020, D, 9.76
India, 28-01-2020, D, 9.71
India, 29-01-2020, D, 9.71
India, 30-01-2020, D, 9.77
India, 31-01-2020, D, 9.69
India, 01-02-2020, D, 9.56
India, 02-02-2020, D, 9.61
India, 03-02-2020, D, 9.55
India, 04-02-2020, D, 9.43
India, 05-02-2020, D, 9.40
India, 06-02-2020, D, 9.35
India, 07-02-2020, D, 9.38
India, 08-02-2020, D, 9.36
India, 09-02-2020, D, 9.32
India, 10-02-2020, D, 9.35
India, 11-02-2020, D, 9.32
India, 12-02-2020, D, 9.31
India, 13-02-2020, D, 9.27
India, 14-02-2020, D, 9.31
India, 15-02-2020, D, 9.39
India, 16-02-2020, D, 9.52
India, 17-02-2020, D, 9.45
India, 18-02-2020, D, 9.37
India, 19-02-2020, D, 9.25
India, 20-02-2020, D, 9.15
India, 21-02-2020, D, 9.16
India, 22-02-2020, D, 8.91
India, 23-02-2020, D, 8.81
India, 24-02-2020, D, 8.77
India, 25-02-2020, D, 8.76
India, 26-02-2020, D, 8.65
India, 27-02-2020, D, 8.59
India, 28-02-2020, D, 8.58
India, 29-02-2020, D, 8.59
India, 01-03-2020, D, 8.63
India, 02-03-2020, D, 8.83
India, 03-03-2020, D, 8.83
India, 04-03-2020, D, 8.88
India, 05-03-2020, D, 8.85
India, 06-03-2020, D, 8.94
India, 07-03-2020, D, 8.95
India, 08-03-2020, D, 8.86
India, 09-03-2020, D, 8.80
India, 10-03-2020, D, 8.75
India, 11-03-2020, D, 8.69
India, 12-03-2020, D, 8.47
India, 13-03-2020, D, 8.45
India, 14-03-2020, D, 8.50
India, 15-03-2020, D, 8.36
India, 16-03-2020, D, 8.39
India, 17-03-2020, D, 8.26
India, 18-03-2020, D, 8.22
India, 19-03-2020, D, 8.37
India, 20-03-2020, D, 8.39
India, 21-03-2020, D, 8.35
India, 22-03-2020, D, 8.35
India, 23-03-2020, D, 8.49
India, 24-03-2020, D, 8.54
India, 25-03-2020, D, 8.57
India, 26-03-2020, D, 8.51
India, 27-03-2020, D, 8.51
India, 28-03-2020, D, 8.69
India, 29-03-2020, D, 8.82
India, 30-03-2020, D, 9.00
India, 31-03-2020, D, 9.35
India, 01-04-2020, D, 9.59
India, 02-04-2020, D, 10.05
India, 03-04-2020, D, 10.45
India, 04-04-2020, D, 10.98
India, 05-04-2020, D, 11.23
India, 06-04-2020, D, 11.58
India, 07-04-2020, D, 12.05
India, 08-04-2020, D, 12.58
India, 09-04-2020, D, 12.98
India, 10-04-2020, D, 13.52
India, 11-04-2020, D, 14.07
India, 12-04-2020, D, 14.53
India, 13-04-2020, D, 15.10
India, 14-04-2020, D, 15.99
India, 15-04-2020, D, 17.11
India, 16-04-2020, D, 18.18
India, 17-04-2020, D, 20.09
India, 18-04-2020, D, 21.75
India, 19-04-2020, D, 23.93
India, 20-04-2020, D, 25.78
India, 21-04-2020, D, 25.71
India, 22-04-2020, D, 25.88
India, 23-04-2020, D, 25.82
India, 24-04-2020, D, 25.56
India, 25-04-2020, D, 25.46
India, 26-04-2020, D, 25.38
India, 27-04-2020, D, 25.31
India, 28-04-2020, D, 25.31
India, 29-04-2020, D, 25.25
India, 30-04-2020, D, 25.23
India, 01-05-2020, D, 25.14
India, 02-05-2020, D, 25.05
India, 03-05-2020, D, 25.13
India, 04-05-2020, D, 24.97
India, 05-05-2020, D, 24.96
India, 06-05-2020, D, 25.23
India, 07-05-2020, D, 25.05
India, 08-05-2020, D, 25.07
India, 09-05-2020, D, 25.30
India, 10-05-2020, D, 25.67
India, 11-05-2020, D, 25.98
India, 12-05-2020, D, 26.31
India, 13-05-2020, D, 26.30
India, 14-05-2020, D, 26.37
India, 15-05-2020, D, 26.00
India, 16-05-2020, D, 26.21
India, 17-05-2020, D, 26.30
India, 18-05-2020, D, 26.09
India, 19-05-2020, D, 26.03
India, 20-05-2020, D, 25.97
India, 21-05-2020, D, 25.89
India, 22-05-2020, D, 26.00
India, 23-05-2020, D, 26.09
