sex	age	region	2018M01	2018M02	2018M03	2018M04	2018M05	2018M06	2018M07	2018M08	2018M09	2018M10	2018M11	2018M12	2019M01	2019M02	2019M03	2019M04	2019M05	2019M06	2019M07	2019M08	2019M09	2019M10	2019M11	2019M12	2020M01	2020M02	
Total	16-24 years	Region Hovedstaden	1.7	1.8	1.7	1.5	1.4	1.4	1.6	1.5	1.4	1.4	1.3	1.3	1.3	1.5	1.4	1.3	1.2	1.3	1.5	1.5	1.3	1.3	1.2	1.2	1.3	1.4
Total	16-24 years	Province Byen København	1.3	1.5	1.4	1.3	1.2	1.3	1.6	1.5	1.3	1.3	1.2	1.1	1.2	1.3	1.3	1.2	1.1	1.3	1.6	1.6	1.3	1.2	1.2	1.1	1.2	1.4
Total	16-24 years	Copenhagen	1.3	1.4	1.3	1.2	1.1	1.3	1.6	1.6	1.3	1.3	1.1	1.1	1.2	1.3	1.3	1.2	1.0	1.3	1.6	1.6	1.3	1.2	1.2	1.1	1.3	1.4
Total	16-24 years	Frederiksberg	1.3	1.3	1.5	1.3	1.2	1.4	1.5	1.4	1.2	1.2	1.1	1.1	1.2	1.2	1.1	1.0	1.0	1.2	1.6	1.5	1.2	1.1	0.9	1.1	1.1	1.2
Total	16-24 years	Dragør	1.7	1.6	1.4	0.9	0.8	0.9	0.7	0.8	1.1	1.1	1.0	1.2	0.7	1.1	1.3	0.9	0.8	0.9	0.8	0.7	0.6	0.8	0.7	0.8	0.8	1.0
Total	16-24 years	Tårnby	2.5	2.4	2.2	2.0	2.0	2.0	2.0	1.9	2.1	1.8	1.9	1.8	1.8	1.8	1.9	1.7	1.6	1.5	1.7	1.1	1.1	1.4	1.3	1.3	1.3	1.4
Total	16-24 years	Province Københavns omegn	2.1	2.1	2.0	1.9	1.6	1.6	1.6	1.6	1.5	1.6	1.5	1.4	1.5	1.6	1.5	1.4	1.3	1.4	1.5	1.5	1.4	1.4	1.4	1.3	1.5	1.5
Total	16-24 years	Albertslund	2.3	2.0	1.8	1.8	1.8	1.7	1.5	1.6	1.2	1.6	1.4	1.3	1.6	1.4	1.3	1.5	1.5	1.7	2.1	2.0	1.6	1.4	1.6	1.9	2.0	2.1
Total	16-24 years	Ballerup	2.6	2.4	2.3	2.4	2.1	2.0	1.7	1.5	1.5	1.6	1.6	1.5	1.4	2.0	2.0	1.7	1.7	1.8	1.5	1.8	1.8	1.6	1.8	1.6	1.8	2.0
Total	16-24 years	Brøndby	2.6	2.6	2.2	2.2	1.9	1.7	1.9	2.0	1.9	2.1	1.9	1.6	1.7	2.1	2.4	2.0	1.8	1.8	2.1	2.1	2.0	1.9	1.6	1.8	2.0	2.1
