sex	age	region	2018M01	2018M02	2018M03	2018M04	2018M05	2018M06	2018M07	2018M08	2018M09	2018M10	2018M11	2018M12	2019M01	2019M02	2019M03	2019M04	2019M05	2019M06	2019M07	2019M08	2019M09	2019M10	2019M11	2019M12	2020M01	2020M02	
Total	40-49 years	Region Hovedstaden	3.8	3.8	3.7	3.5	3.5	3.4	2.9	3.2	3.3	3.3	3.4	3.4	3.6	3.5	3.5	3.2	3.2	3.3	2.8	3.2	3.2	3.2	3.3	3.4	3.5	3.5
Total	40-49 years	Province Byen København	4.5	4.4	4.3	4.0	4.2	4.1	3.5	3.9	3.9	4.0	4.0	4.0	4.2	4.1	4.1	3.7	3.9	3.9	3.5	3.9	3.9	3.9	3.9	4.0	4.3	4.2
Total	40-49 years	Copenhagen	4.7	4.7	4.5	4.2	4.4	4.3	3.7	4.1	4.1	4.2	4.2	4.2	4.5	4.4	4.4	3.9	4.2	4.2	3.7	4.2	4.2	4.2	4.2	4.3	4.6	4.5
Total	40-49 years	Frederiksberg	4.1	4.1	4.0	3.8	3.8	3.7	3.3	3.5	3.6	3.5	3.4	3.4	3.7	3.6	3.6	3.3	3.4	3.4	3.1	3.5	3.4	3.5	3.5	3.5	3.6	3.7
Total	40-49 years	Dragør	2.6	2.6	2.7	2.3	2.5	2.1	1.9	2.1	2.1	2.2	2.5	2.4	2.4	2.4	2.4	2.3	2.2	2.3	1.6	2.3	1.9	1.9	2.0	2.3	2.4	2.3
Total	40-49 years	Tårnby	3.0	3.0	2.8	2.5	2.8	2.7	2.4	2.5	2.7	2.8	2.6	2.7	2.8	2.7	2.8	2.5	2.6	2.4	2.1	2.4	2.2	2.2	2.2	2.3	2.4	2.3
Total	40-49 years	Province Københavns omegn	3.8	3.8	3.7	3.5	3.6	3.5	2.9	3.3	3.3	3.4	3.4	3.4	3.6	3.6	3.6	3.3	3.3	3.4	2.7	3.1	3.2	3.2	3.3	3.3	3.5	3.5
Total	40-49 years	Albertslund	5.8	6.1	6.0	5.5	5.5	5.3	4.1	4.5	5.0	5.2	5.1	5.0	5.3	5.5	5.1	4.8	4.8	4.9	3.7	4.3	4.9	4.9	4.7	4.6	4.5	4.8
Total	40-49 years	Ballerup	3.4	3.3	3.3	3.0	3.1	3.0	2.3	2.7	2.8	2.8	2.7	2.8	2.9	3.1	3.0	2.8	2.7	2.6	2.0	2.5	2.6	2.8	2.9	2.8	3.0	2.8
Total	40-49 years	Brøndby	5.8	5.4	5.6	5.6	6.2	6.2	5.0	5.8	5.9	5.7	5.7	5.8	6.3	6.2	6.5	5.7	5.8	5.7	4.5	5.5	5.8	5.6	5.7	5.9	6.3	6.1
Total	40-49 years	Gentofte	2.5	2.6	2.5	2.2	2.4	2.4	2.0	2.5	2.6	2.6	2.8	2.6	2.7	2.6	2.6	2.5	2.5	2.5	2.1	2.4	2.4	2.5	2.5	2.4	2.5	2.4
Total	40-49 years	Gladsaxe	3.4	3.4	3.4	3.3	3.4	3.2	2.6	2.9	3.1	3.0	3.2	3.2	3.2	3.2	3.1	2.9	3.0	3.0	2.5	2.8	2.8	2.8	2.9	3.0	3.3	3.3
Total	40-49 years	Glostrup	4.6	4.5	4.4	3.9	4.4	4.1	4.0	3.9	4.0	3.9	3.9	3.8	4.0	4.0	4.0	3.4	3.9	3.8	3.4	3.4	3.5	4.1	3.7	3.7	3.7	3.6
Total	40-49 years	Herlev	3.4	3.5	3.2	3.1	3.0	2.9	2.4	2.7	2.7	2.9	2.7	2.8	2.9	2.9	3.0	2.8	2.8	2.8	2.2	2.5	2.5	2.0	2.3	2.4	2.4	2.7
Total	40-49 years	Hvidovre	3.4	3.3	3.2	3.0	3.0	3.0	2.5	2.7	2.7	2.9	3.0	2.9	3.0	3.1	3.2	2.8	2.8	2.9	2.4	2.7	2.7	2.7	2.6	2.9	3.1	3.2
Total	40-49 years	Høje-Taastrup	4.6	4.5	4.5	4.2	4.4	4.2	3.2	4.0	3.8	4.0	4.0	4.0	4.3	4.3	4.3	4.1	4.0	4.1	3.1	3.7	3.9	3.8	4.0	4.0	4.5	4.4
Total	40-49 years	Ishøj	6.9	6.7	6.7	6.6	6.6	6.5	5.1	5.5	6.2	6.4	6.2	5.9	6.0	5.8	6.0	5.5	5.6	5.7	4.5	5.5	5.7	5.9	5.9	6.2	6.3	6.6
Total	40-49 years	Lyngby-Taarbæk	2.6	2.5	2.4	2.2	2.4	2.3	2.0	2.4	2.2	2.3	2.3	2.3	2.5	2.4	2.5	2.3	2.3	2.4	2.2	2.3	2.2	2.1	2.2	2.2	2.2	2.1
Total	40-49 years	Rødovre	4.7	4.6	4.6	4.2	4.3	4.2	3.3	3.7	3.8	3.8	4.1	4.1	4.3	4.2	4.1	4.0	4.2	4.3	3.6	3.9	4.1	4.0	4.1	4.1	4.4	4.6
Total	40-49 years	Vallensbæk	2.8	2.7	2.6	2.8	2.9	2.6	1.7	2.4	2.2	1.9	2.4	2.5	2.5	2.7	2.6	2.0	2.2	2.3	1.7	2.1	2.4	2.5	2.5	2.6	2.7	3.2
Total	40-49 years	Province Nordsjælland	2.8	2.8	2.8	2.6	2.6	2.4	2.1	2.3	2.4	2.3	2.3	2.4	2.5	2.5	2.4	2.2	2.2	2.3	1.9	2.2	2.2	2.2	2.2	2.4	2.5	2.4
Total	40-49 years	Allerød	1.8	1.6	1.5	1.3	1.5	1.4	1.3	1.5	1.4	1.6	1.7	1.6	1.6	1.7	1.8	1.4	1.4	1.7	1.2	1.4	1.6	1.6	1.7	1.7	2.0	2.0
Total	40-49 years	Egedal	2.2	2.2	2.1	1.8	1.9	1.8	1.6	1.8	1.9	1.9	2.0	2.1	2.2	2.3	2.3	1.9	1.9	1.8	1.6	1.8	1.7	1.8	1.8	1.9	2.1	2.0
Total	40-49 years	Fredensborg	2.9	2.7	2.5	2.4	2.4	2.5	2.2	2.4	2.4	2.5	2.8	2.6	2.7	2.7	2.6	2.5	2.4	2.5	2.0	2.4	2.3	2.6	2.3	2.6	2.8	2.5
Total	40-49 years	Frederikssund	3.3	3.5	3.3	2.8	2.9	2.7	2.2	2.4	2.4	2.5	2.6	2.6	2.5	2.3	2.3	2.2	2.0	2.2	1.9	2.1	2.0	2.0	2.2	2.5	2.6	2.4
Total	40-49 years	Furesø	2.5	2.4	2.6	2.5	2.6	2.5	2.0	2.3	2.4	2.1	2.1	2.2	2.4	2.4	2.3	2.2	2.4	2.3	1.9	2.0	2.1	2.2	2.1	2.2	2.6	2.4
Total	40-49 years	Gribskov	3.1	3.2	3.0	2.7	2.5	2.1	1.8	1.9	2.1	2.1	2.1	2.1	2.5	2.6	2.5	2.2	2.1	2.2	1.8	1.9	2.0	2.0	2.3	2.4	2.4	2.3
Total	40-49 years	Halsnæs	3.7	3.6	3.9	3.5	3.0	3.0	2.6	2.7	2.8	2.9	2.7	2.9	3.5	3.2	3.2	3.0	2.8	2.8	2.5	2.8	2.8	2.9	3.0	3.4	3.3	3.4
Total	40-49 years	Helsingør	3.5	3.7	3.7	3.6	3.5	3.4	2.9	3.1	3.4	3.0	2.8	2.9	3.1	3.2	3.0	2.8	3.0	3.0	2.5	3.1	3.1	2.8	2.7	2.9	3.0	3.1
Total	40-49 years	Hillerød	2.8	3.0	2.8	2.7	2.6	2.4	2.1	2.2	2.2	2.2	2.0	2.3	2.5	2.3	2.1	2.1	2.1	2.2	1.8	2.0	1.9	1.8	1.8	2.0	2.0	1.8
Total	40-49 years	Hørsholm	2.3	2.3	2.3	2.3	2.6	2.5	2.4	2.9	2.5	2.2	2.5	2.4	2.3	2.2	2.3	2.1	2.0	2.1	1.8	2.0	2.0	1.8	2.0	2.1	2.1	2.0
Total	40-49 years	Rudersdal	2.6	2.5	2.2	2.2	2.2	2.3	1.9	2.2	2.2	2.3	2.2	2.2	2.3	2.1	2.1	2.0	1.9	2.1	1.8	2.0	2.3	2.3	2.2	2.2	2.2	2.2
Total	40-49 years	Province Bornholm	5.0	4.8	4.4	3.4	2.9	2.5	2.2	2.3	2.9	3.7	4.5	4.8	5.1	4.8	4.4	2.7	2.2	2.0	1.9	2.0	2.2	3.0	3.9	4.1	4.2	4.0
Total	40-49 years	Bornholm	5.0	4.8	4.4	3.4	2.9	2.5	2.2	2.3	2.9	3.7	4.5	4.8	5.1	4.8	4.4	2.7	2.2	2.0	1.9	2.0	2.2	3.0	3.9	4.1	4.2	4.0
Total	40-49 years	Region Sjælland	3.7	3.7	3.6	3.2	3.1	3.0	2.5	2.8	2.8	2.9	3.0	3.1	3.3	3.2	3.1	2.8	2.7	2.7	2.4	2.6	2.6	2.7	2.7	2.9	3.0	3.0
Total	40-49 years	Province Østsjælland	2.7	2.6	2.6	2.3	2.5	2.4	2.0	2.3	2.3	2.3	2.3	2.3	2.4	2.3	2.3	2.2	2.1	2.1	1.9	2.2	2.2	2.2	2.2	2.3	2.4	2.4
Total	40-49 years	Greve	2.9	2.7	2.7	2.4	2.7	2.4	2.0	2.3	2.4	2.5	2.6	2.4	2.4	2.5	2.5	2.5	2.5	2.4	2.0	2.2	2.2	2.2	2.5	2.5	2.4	2.5
Total	40-49 years	Køge	3.0	3.0	2.7	2.6	2.6	2.5	2.0	2.4	2.5	2.7	2.6	2.7	2.7	2.5	2.5	2.3	2.3	2.3	2.0	2.2	2.4	2.4	2.4	2.6	2.9	2.6
Total	40-49 years	Lejre	2.4	2.2	2.1	1.7	1.8	1.9	1.8	2.0	2.2	2.0	2.0	1.9	2.0	1.8	1.8	1.5	1.6	1.8	1.6	2.0	1.9	1.8	1.7	1.8	1.9	2.0
