age	sex	region	2018M01	2018M02	2018M03	2018M04	2018M05	2018M06	2018M07	2018M08	2018M09	2018M10	2018M11	2018M12	2019M01	2019M02	2019M03	2019M04	2019M05	2019M06	2019M07	2019M08	2019M09	2019M10	2019M11	2019M12	2020M01	2020M02	
Age, total	Men	Region Hovedstaden	4.0	4.0	3.9	3.6	3.6	3.4	3.3	3.4	3.4	3.5	3.5	3.6	3.7	3.8	3.7	3.4	3.3	3.4	3.3	3.4	3.4	3.4	3.4	3.5	3.8	3.8
Age, total	Men	Province Byen København	4.3	4.3	4.2	3.9	3.8	3.8	3.8	3.9	3.8	3.9	3.8	3.9	4.1	4.1	4.1	3.8	3.8	3.9	3.9	4.1	3.9	4.0	4.0	4.0	4.2	4.3
Age, total	Men	Copenhagen	4.4	4.4	4.3	4.0	3.9	3.9	4.0	4.1	3.9	4.0	4.0	4.0	4.2	4.3	4.2	3.9	3.9	4.0	4.1	4.3	4.1	4.1	4.1	4.2	4.5	4.5
Age, total	Men	Frederiksberg	3.8	3.8	3.8	3.6	3.6	3.5	3.5	3.6	3.5	3.6	3.5	3.6	3.8	3.8	3.7	3.4	3.3	3.5	3.7	3.7	3.6	3.6	3.4	3.5	3.6	3.6
Age, total	Men	Dragør	2.8	2.7	2.7	2.4	2.3	2.1	1.9	2.1	2.1	2.2	2.3	2.6	2.8	2.6	2.6	2.4	2.3	2.3	2.1	2.3	2.2	2.4	2.5	2.5	2.4	2.6
Age, total	Men	Tårnby	3.7	3.7	3.5	3.1	3.2	3.2	2.9	2.8	3.0	3.0	2.9	3.1	3.2	3.2	3.1	2.8	2.7	2.7	2.5	2.6	2.6	2.7	2.8	3.0	3.2	3.1
Age, total	Men	Province Københavns omegn	4.1	4.1	4.0	3.8	3.7	3.5	3.2	3.4	3.5	3.6	3.6	3.6	3.8	3.8	3.8	3.4	3.4	3.5	3.1	3.3	3.3	3.3	3.4	3.5	3.7	3.8
Age, total	Men	Albertslund	5.3	5.6	5.4	5.0	5.1	4.7	4.1	4.2	4.8	5.0	4.9	4.9	5.2	5.1	4.9	4.5	4.6	4.6	3.7	4.2	4.4	4.3	4.2	4.3	4.6	4.8
Age, total	Men	Ballerup	3.7	3.8	3.5	3.2	3.2	2.9	2.6	2.8	2.8	2.9	3.0	3.0	3.1	3.1	3.2	2.8	2.9	3.0	2.5	2.8	2.9	3.0	3.1	3.1	3.4	3.3
Age, total	Men	Brøndby	5.8	6.0	5.9	5.6	5.7	5.4	4.9	5.2	5.3	5.5	5.5	5.6	5.7	5.9	6.0	5.3	5.3	5.3	4.8	5.1	5.2	5.2	5.4	5.6	6.0	6.1
Age, total	Men	Gentofte	3.0	3.0	2.9	2.8	2.7	2.7	2.6	2.7	2.7	2.7	2.8	2.7	2.9	2.9	2.8	2.6	2.6	2.6	2.5	2.6	2.4	2.5	2.5	2.6	2.7	2.6
Age, total	Men	Gladsaxe	3.8	3.7	3.7	3.5	3.4	3.3	3.2	3.2	3.4	3.5	3.4	3.4	3.5	3.5	3.5	3.1	3.2	3.2	2.8	2.9	3.0	2.9	2.9	3.1	3.3	3.3
Age, total	Men	Glostrup	4.6	4.6	4.8	4.3	4.5	4.2	4.1	3.9	3.8	3.7	3.7	3.9	4.2	4.1	4.2	3.8	4.0	3.8	3.5	3.6	3.6	3.8	3.8	3.8	3.8	4.1
Age, total	Men	Herlev	4.0	3.8	3.8	3.5	3.4	3.3	2.6	3.2	3.2	3.0	3.0	3.1	3.3	3.3	3.4	3.1	3.1	2.9	2.5	2.6	2.6	2.5	2.5	2.7	3.1	3.1
Age, total	Men	Hvidovre	3.6	3.6	3.4	3.2	3.2	3.1	2.8	3.0	3.1	3.1	3.1	3.3	3.6	3.6	3.4	3.1	3.1	3.2	3.0	3.1	3.2	3.2	3.2	3.4	3.7	3.7
Age, total	Men	Høje-Taastrup	4.7	4.8	4.7	4.5	4.3	4.0	3.4	3.8	3.7	3.8	3.7	3.9	4.1	4.3	4.2	3.9	3.8	3.9	3.2	3.5	3.6	3.7	4.0	4.0	4.3	4.5
Age, total	Men	Ishøj	6.7	6.2	6.1	6.0	5.8	5.5	4.7	5.5	5.5	5.5	5.5	5.6	5.7	5.7	5.8	5.2	5.0	5.3	4.5	5.2	5.0	5.0	5.0	5.3	5.6	5.6
Age, total	Men	Lyngby-Taarbæk	2.9	3.0	3.1	2.8	2.7	2.4	2.5	2.5	2.6	2.7	2.7	2.5	2.9	2.9	2.9	2.6	2.5	2.5	2.6	2.7	2.6	2.6	2.6	2.7	2.7	2.7
