links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Ajmer,0,6,2,1,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Alwar,5,5,3,7,8,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Banswara,1,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Baran,0,2,0,2,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Barmer,1,0,1,2,3,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Bharatpur,3,6,5,1,8,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Bhilwara,0,0,1,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Bikaner,0,1,1,0,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Bundi,1,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Chittorgarh,0,2,2,0,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Churu,0,0,2,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Dausa,0,0,0,1,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Dholpur,1,1,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Dungarpur,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Hanumangarh,0,2,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Jaipur,5,10,7,4,17,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Jaisalmer,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Jalore,1,1,3,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Jhalawar,0,1,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Jhunjhunu,1,0,2,3,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Jodhpur,5,4,2,2,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Karauli,2,2,1,3,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Kota,4,1,2,1,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Nagaur,2,1,3,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Pali,3,1,1,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Pratapgarh,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Sawai Madhopur,0,0,1,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Sikar,5,5,3,0,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Sirohi,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Sri Ganaganagar,4,1,2,2,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Tonk,3,0,0,0,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Udaipur,3,4,3,2,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=29,Rajasthan,Total,51,57,48,39,83,1
