links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Ahmednagar,0,0,2,1,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Akola,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Amravati,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Aurangabad,0,3,1,3,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Beed,0,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Bhandara,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Buldhana,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Chandrapur,0,0,0,1,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Dhule,0,2,2,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Gadchiroli,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Gondia,1,2,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Jalgaon,0,1,0,0,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Jalna,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Kolhapur,0,2,1,2,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Latur,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Mumbai City,20,11,13,7,19,5
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Mumbai Suburban,7,6,9,12,11,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Nagpur,4,2,2,9,3,3
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Nanded,0,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Nashik,2,2,1,1,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Osmanabad,1,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Palghar,1,2,1,4,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Parbhani,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Pune,9,7,9,29,27,2
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Raigad,0,1,2,0,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Ratnagiri,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Sangli,2,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Satara,0,1,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Solapur,1,1,1,0,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Thane,5,11,6,17,17,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Wardha,1,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Washim,0,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Yavatmal,0,2,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=21,Maharashtra,Total,55,57,52,95,118,11
