links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Bokaro,0,2,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Chatra,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Deoghar,0,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Dhanbad,3,1,0,4,3,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,East Singhbhum,1,0,2,2,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Garhwa,0,2,0,0,0,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Giridih,1,1,1,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Godda,1,2,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Hazaribagh,1,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Jamshedpur - East Singhbhum,1,1,0,1,1,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Koderma,0,0,2,2,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Latehar,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Lohardaga,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Pakur,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Palamau,1,0,2,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Ramgarh,1,1,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Ranchi,2,1,2,0,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Sahibganj,1,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Simdega,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,West Singhbhum,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=16,Jharkhand,Total,15,13,11,13,19,3
