links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Amritsar,0,1,2,2,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Barnala,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Bathinda,0,1,1,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Faridkot,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Fatehgarh Sahib,1,0,0,2,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Fazillka,0,0,2,0,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Ferozepur,0,0,0,4,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Gurdaspur,1,0,1,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Hoshiarpur,2,1,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Jalandhar,1,2,3,1,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Kapurthala,0,0,1,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Ludhiana,4,3,6,2,8,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Mansa,0,0,0,0,0,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Moga,0,1,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Muktsar,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Pathankot,1,0,1,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Patiala,2,0,2,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Rupnagar,0,0,1,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Sahibzada Ajit Singh Nagar-Mohali,6,5,0,8,6,2
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Sangrur,0,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Shaheed Bhagat Singh Nagar (Nawanshahr),0,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Tarn Taran Sahib,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=28,Punjab,Total,18,15,21,26,42,3
