links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Ambala,1,3,3,3,1,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Bhiwani,2,0,1,0,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Charkhi Dadri,0,0,2,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Faridabad,10,14,18,7,14,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Fatehabad,1,1,0,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Gurgaon,19,12,18,8,13,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Hisar,4,7,1,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Jhajjar,3,2,1,1,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Jind,1,2,2,2,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Kaithal,0,1,3,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Karnal,5,2,3,3,0,2
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Kurukshetra,0,1,3,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Mahendragarh,4,2,1,1,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Mewat,2,1,0,0,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Palwal,4,13,7,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Panchkula,0,1,0,1,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Panipat,3,6,1,1,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Rewari,2,1,0,3,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Rohtak,5,3,2,3,5,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Sirsa,1,1,1,0,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Sonipat,5,1,6,2,4,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Yamuna Nagar,1,3,3,0,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=13,Haryana,Total,73,77,76,40,73,5
