links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Bilaspur,0,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Chamba,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Hamirpur,0,0,0,2,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Kangra,0,2,1,2,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Kullu,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Mandi,1,1,2,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Shimla,1,0,0,0,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Solan,0,0,2,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=14,Himachal Pradesh,Total,3,3,5,6,9,0
