links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Balrampur-Ramanujganj,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Bemetara,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Bilaspur,0,2,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Durg,0,2,1,3,2,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Janjgir-Champa,0,2,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Jashpur,3,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Korba,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Mahasamund,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Narayanpur,0,0,0,0,0,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Raigarh,1,1,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Raipur,1,1,3,9,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Rajnandgaon,0,2,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Surguja,4,0,0,2,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=7,Chhattisgarh,Total,9,10,5,17,7,2
