links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Baksa,0,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Barpeta,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Darrang,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Dhubri,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Dibrugarh,0,1,2,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Golaghat,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Guwahati - Distt. Kamrup,4,0,2,3,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Kamrup,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Kamrup Matropolitan,1,0,0,0,1,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Karimganj,0,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Kokrajhar,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Nagaon,0,0,0,2,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,South Salmara-Mankachar,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Udalguri,0,0,1,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=4,Assam,Total,5,2,7,10,6,1
