links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Agar Malwa,0,1,1,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Ali Rajpur,0,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Anuppur,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Balaghat,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Barwani,0,1,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Betul,0,2,1,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Bhind,1,3,4,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Bhopal,10,3,6,1,9,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Burhanpur,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Chhatarpur,0,1,3,1,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Chhindwara,3,3,3,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Damoh,0,0,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Datia,3,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Dewas,1,1,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Dhar,0,0,4,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Dindori,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Guna,0,1,1,2,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Gwalior,2,8,4,3,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Hoshangabad,1,0,0,0,0,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Indore,6,3,1,7,9,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Jabalpur,2,2,2,6,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Jhabua,2,0,2,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Mandsaur,1,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Morena,3,0,2,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Narsinghpur,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Niwari,1,2,3,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=20,Madhya Pradesh,Panna,0,0,1,0,1,0
