links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Almora,1,1,1,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Chamoli,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Champawat,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Dehradun,4,3,2,2,6,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Haldwani,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Haridwar,6,6,8,0,6,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Nainital,1,0,2,0,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Pauri Garhwal,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Pithoragarh,0,0,1,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Tehri Garhwal,0,1,0,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Udham Singh Nagar,3,6,3,5,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Uttarkashi,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=34,Uttarakhand,Total,17,17,17,9,21,1
