links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,Central Delhi,3,2,2,5,10,2
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,Delhi,34,29,20,8,8,2
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,Dwarka,4,3,1,7,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,East Delhi,10,8,6,14,25,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,New Delhi,39,26,57,14,35,2
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,North Delhi,4,3,10,6,15,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,North East Delhi,1,2,5,7,13,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,North West Delhi,7,7,9,6,24,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,Outer District,0,1,1,3,6,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,Outer-North District,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,Rohini,4,3,0,2,5,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,Shahdara,1,1,1,0,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,South Delhi,6,7,15,11,31,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,South East Delhi,0,2,2,2,6,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,South West Delhi,5,6,8,17,18,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,West Delhi,14,4,16,26,17,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=10,Delhi,Total,132,104,154,128,217,9
