NDV
Attempt To Murder 
Attempt To Rape
"Caste, Community Based Violence"
Complaints Related to Riot / Communal Violence 
Complaints by In Laws
Deprivation of Property Rights 
Deprivation of Women Rights 
Dowry Death 
Dowry Harassment / Cruelty to married women 
Dowry harassment / dowry death
Harassment 
Harassment At Workplace
Kidnapping / Abduction 
Maintenance Claim 
Murder 
Pre-Marital Breach of Trust 
Property 
Rape
Sex Scandals
Sexual harassment including sexual harassment at workplace
Shelter & Rehabilitation of Victims 
Suicide
