Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Attempt To RapetdCleck Here to see sub-categories ,0,0,0,0,0,1,0,0,0,0,0,0,1
Bigamy / Polygamy ,6,14,13,13,10,11,13,9,11,16,11,13,140
Complaint Against NRIs/ NRI Marriages ,0,0,0,0,0,0,0,7,3,8,5,0,23
Complaints Related to Riot / Communal Violence ,0,1,0,0,0,0,0,0,0,0,0,0,1
Cyber Crime against women ,0,0,0,0,0,0,0,0,0,0,1,0,1
Deprivation of Property Rights ,2,0,0,2,45,34,22,17,11,22,13,10,178
Deprivation of Women Rights ,0,0,0,0,0,1,0,0,0,0,0,0,1
Divorce ,1,0,0,0,0,0,2,2,3,3,2,1,14
Dowry Death ,24,20,30,28,36,33,51,50,75,39,53,46,485
Dowry Harassment / Cruelty to married women ,143,143,164,163,259,385,389,333,310,241,287,287,3104
Gender Discrimination including equal right to education & work ,0,0,0,0,5,2,4,0,1,1,1,0,14
Harassment ,1,3,3,12,11,4,8,5,19,6,6,6,84
Harassment At WorkplacetdCleck Here to see sub-categories ,428,505,515,406,62,12,4,4,3,1,1,2,1943
Kidnapping / Abduction ,13,25,21,27,34,31,33,28,33,26,28,16,315
Maintenance Claim ,1,1,6,5,10,0,1,1,0,0,0,1,26
Miscellaneous ,129,85,73,143,475,612,659,415,559,557,576,625,4908
Murder ,11,8,18,11,25,23,24,44,37,20,18,17,256
Outraging Modesty of Women ,3,1,0,6,7,17,6,38,8,11,11,7,115
Police Apathy against women ,114,53,62,80,24,32,31,33,30,20,14,19,512
Pre-Marital Breach of Trust ,0,0,0,0,0,1,0,0,0,0,0,0,1
RapetdCleck Here to see sub-categories ,22,33,32,49,51,76,71,57,75,53,55,58,632
Right to live with dignitytdCleck Here to see sub-categories ,51,53,45,45,31,20,24,30,12,14,14,3,342
Sex selective abortion / female foeticide / amniocentesis ,0,0,0,1,0,2,0,1,0,1,1,0,6
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,9,6,11,12,29,24,28,15,17,14,12,23,200
Shelter & Rehabilitation of Victims ,0,0,0,0,0,0,0,1,0,0,0,2,3
SuicidetdCleck Here to see sub-categories ,0,0,0,0,0,0,0,0,0,1,0,0,1
Women's right of custody of children in the event of divorce ,0,0,0,0,0,1,0,3,0,0,0,0,4
Total ,958,951,993,1003,1114,1322,1370,1093,1207,1054,1109,1136,13310
