Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,15,6,4,7,2,7,3,6,5,4,4,4,67
Divorce ,1,1,0,0,0,0,0,0,0,0,0,0,2
Dowry Death ,34,30,29,35,40,27,37,38,26,14,7,17,334
Dowry Harassment / Cruelty to married women ,73,49,64,76,75,56,70,63,53,49,36,47,711
Harassment At WorkplacetdCleck Here to see sub-categories ,106,81,135,89,80,85,95,84,37,55,39,81,967
Kidnapping / Abduction ,4,5,12,8,8,10,5,12,7,6,3,6,86
Maintenance Claim ,0,0,0,0,0,0,0,0,1,0,0,0,1
Miscellaneous ,75,55,88,62,37,47,55,80,62,61,22,55,699
Murder ,22,11,9,16,12,15,14,15,9,5,6,10,144
Outraging Modesty of Women ,2,1,0,0,2,0,1,10,8,4,4,9,41
Police Apathy against women ,33,26,30,31,22,13,22,41,44,14,14,41,331
RapetdCleck Here to see sub-categories ,22,13,11,17,11,16,10,22,4,12,8,7,153
Right to live with dignitytdCleck Here to see sub-categories ,36,33,32,40,27,29,27,33,30,23,15,22,347
Sex selective abortion / female foeticide / amniocentesis ,1,0,0,0,0,0,0,1,0,0,0,0,2
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,15,8,11,9,12,6,7,6,5,5,6,2,92
Shelter & Rehabilitation of Victims ,0,0,0,0,0,0,0,0,0,0,0,1,1
Women's right of custody of children in the event of divorce ,0,1,1,1,13,4,0,9,1,0,0,4,34
Total ,439,320,426,391,341,315,346,420,292,252,164,306,4012
