Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,6,8,1,5,4,11,2,8,2,2,3,9,61
Dowry Death ,23,28,10,39,18,22,22,26,19,26,17,21,271
Dowry Harassment / Cruelty to married women ,90,78,34,99,78,76,88,85,87,82,73,85,955
Harassment At WorkplacetdCleck Here to see sub-categories ,185,88,44,101,82,130,153,138,174,149,118,323,1685
Kidnapping / Abduction ,1,1,4,3,2,3,7,3,7,6,7,12,56
Maintenance Claim ,1,0,0,0,0,3,3,0,0,0,0,0,7
Miscellaneous ,64,75,63,70,61,69,66,58,97,72,81,115,891
Murder ,10,8,3,9,3,6,9,6,17,4,10,13,98
Outraging Modesty of Women ,8,8,5,12,4,17,4,11,7,8,4,5,93
Police Apathy against women ,99,80,27,74,68,93,115,134,131,149,132,206,1308
RapetdCleck Here to see sub-categories ,18,12,12,31,12,16,17,13,17,13,12,14,187
Right to live with dignitytdCleck Here to see sub-categories ,4,10,8,8,5,5,7,2,2,3,4,21,79
Sex selective abortion / female foeticide / amniocentesis ,0,1,0,0,0,0,0,0,0,0,0,0,1
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,2,2,3,8,7,5,5,4,13,5,3,7,64
Women's right of custody of children in the event of divorce ,0,0,0,0,0,1,0,0,2,0,0,1,4
Total ,511,399,214,459,344,457,498,488,575,519,464,832,5760
