Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,5,5,2,2,1,7,1,0,8,2,0,0,33
Attempt To Murder ,18,22,26,19,27,28,31,21,92,68,5,0,357
Attempt To RapetdCleck Here to see sub-categories ,31,25,42,41,57,66,101,115,153,164,12,0,807
Bigamy / Polygamy ,15,13,28,16,20,21,25,18,33,30,34,17,270
"Caste, Community Based ViolencetdCleck Here to see sub-categories ",18,32,29,37,50,38,25,34,26,25,1,0,315
Complaints by In LawstdCleck Here to see sub-categories ,70,63,99,75,107,117,156,88,162,147,11,0,1095
Complaints Related to Riot / Communal Violence ,3,2,2,1,3,1,0,2,0,4,0,0,18
Cyber Crime against women ,23,26,17,16,38,7,15,5,9,10,20,23,209
Deprivation of Property Rights ,25,14,11,11,27,26,49,37,17,23,0,0,240
Deprivation of Women Rights ,30,27,30,25,33,56,37,40,49,51,3,0,381
Divorce ,12,6,10,6,9,3,2,4,6,8,0,0,66
Dowry Death ,36,43,36,39,47,44,58,60,82,72,1,0,518
Dowry Harassment / Cruelty to married women ,138,42,97,54,158,174,186,98,250,368,50,0,1615
Dowry harassment / dowry deathtdCleck Here to see sub-categories ,0,0,0,0,0,0,0,0,0,0,394,271,665
Free legal aid for women ,0,0,0,0,0,0,0,0,0,0,11,5,16
Gender Discrimination including equal right to education & work ,9,2,2,6,5,5,2,3,3,6,11,8,62
Harassment ,0,0,0,0,1,0,0,0,0,0,0,0,1
Harassment At WorkplacetdCleck Here to see sub-categories ,67,60,41,65,65,72,89,67,72,98,7,0,703
Indecent Representation of Women ,4,6,12,4,11,10,4,4,7,7,28,8,105
Kidnapping / Abduction ,38,9,27,24,40,72,118,87,131,144,11,0,701
Maintenance Claim ,11,1,4,8,11,17,16,11,9,14,3,0,105
Miscellaneous ,370,287,393,334,382,413,494,323,853,1084,156,388,5477
Murder ,6,4,11,12,19,13,22,10,32,42,8,0,179
Outraging Modesty of Women ,138,113,154,166,155,218,254,152,321,383,389,225,2668
Police Apathy against women ,436,414,458,583,597,741,789,568,649,632,855,702,7424
Pre-Marital Breach of Trust ,13,14,14,16,18,13,15,13,20,24,4,0,164
Privacy of women and rights thereof ,0,0,0,0,0,0,0,0,0,0,29,16,45
Property ,0,0,0,0,0,0,0,0,0,0,24,7,31
RapetdCleck Here to see sub-categories ,76,80,104,100,119,117,160,112,195,222,16,0,1301
Reproductive health rights of women ,0,0,0,0,0,0,0,0,0,0,14,13,27
Right to Exercise Choice in marriage ,20,4,3,10,18,16,21,5,31,23,67,50,268
Right to live with dignitytdCleck Here to see sub-categories ,418,427,511,535,543,548,683,543,730,824,742,446,6950
Sex ScandalstdCleck Here to see sub-categories ,0,2,2,0,1,3,1,1,0,2,1,0,13
Sex selective abortion / female foeticide / amniocentesis ,4,1,2,10,4,1,1,2,0,1,8,3,37
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,31,19,24,20,24,20,19,13,23,37,85,56,371
Shelter & Rehabilitation of Victims ,1,0,3,0,2,1,2,0,0,0,0,0,9
Stalking / Voyeurism ,0,0,0,1,2,4,3,2,6,2,7,3,30
SuicidetdCleck Here to see sub-categories ,3,0,3,0,0,3,3,2,8,6,0,0,28
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",4,2,4,3,4,0,3,3,0,6,4,3,36
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,3,2,3,4,2,6,8,4,9,6,18,9,74
Violence against womentdCleck Here to see sub-categories ,1,0,0,0,1,0,0,0,1,0,290,174,467
Women's right of custody of children in the event of divorce ,2,3,1,1,2,2,3,1,3,4,3,0,25
Total ,2079,1770,2205,2244,2603,2883,3396,2448,3990,4539,3322,2427,33906
