Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,0,1,1,3,0,2,2,0,0,1,0,2,12
Attempt To Murder ,7,6,5,7,4,10,9,6,5,5,7,4,75
Attempt To RapetdCleck Here to see sub-categories ,19,11,14,12,18,11,44,33,15,32,20,10,239
Bigamy / Polygamy ,9,7,9,9,13,5,17,15,13,10,8,16,131
"Caste, Community Based ViolencetdCleck Here to see sub-categories ",11,14,23,18,33,23,61,36,29,32,23,29,332
Complaint Against NRIs/ NRI Marriages ,0,0,0,2,1,2,0,0,0,0,1,0,6
Complaints by In LawstdCleck Here to see sub-categories ,32,35,32,32,62,35,90,102,10,46,76,63,615
Cyber Crime against women ,3,11,9,1,2,4,1,10,2,3,3,3,52
Deprivation of Property Rights ,20,7,11,15,13,11,7,14,10,7,10,12,137
Divorce ,13,5,6,9,9,6,9,3,4,7,5,4,80
Dowry Death ,32,38,27,48,44,29,77,58,50,57,42,40,542
Dowry Harassment / Cruelty to married women ,64,34,46,42,45,41,50,44,52,54,36,36,544
Free legal aid for women ,0,0,0,0,1,0,0,0,0,0,0,0,1
Gender Discrimination including equal right to education & work ,2,4,7,3,2,4,1,3,3,2,0,2,33
Harassment At WorkplacetdCleck Here to see sub-categories ,57,51,69,54,56,58,59,51,43,68,33,61,660
Indecent Representation of Women ,0,0,1,0,0,0,0,0,0,0,0,0,1
Kidnapping / Abduction ,17,8,16,17,15,9,27,23,19,18,14,11,194
Maintenance Claim ,1,0,6,3,5,6,7,3,4,4,4,9,52
Miscellaneous ,342,251,303,273,321,291,564,581,199,445,329,292,4191
Murder ,16,5,6,8,6,8,7,6,8,5,4,6,85
Outraging Modesty of Women ,45,42,42,28,35,29,56,52,57,60,54,48,548
Police Apathy against women ,271,200,244,276,378,268,591,559,343,389,339,329,4187
Pre-Marital Breach of Trust ,5,3,4,4,5,0,15,10,8,9,7,6,76
RapetdCleck Here to see sub-categories ,55,27,56,46,58,43,91,61,62,70,54,46,669
Right to live with dignitytdCleck Here to see sub-categories ,306,250,267,289,432,294,604,507,392,371,360,323,4395
Sex selective abortion / female foeticide / amniocentesis ,2,1,1,2,1,1,3,2,2,1,1,0,17
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,12,19,20,19,15,17,11,15,12,9,8,13,170
Shelter & Rehabilitation of Victims ,2,0,2,3,1,0,0,1,0,0,0,0,9
SuicidetdCleck Here to see sub-categories ,0,0,0,1,0,0,0,0,0,0,1,0,2
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",0,1,1,1,1,0,0,1,2,2,2,1,12
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,0,1,0,0,0,0,0,0,0,0,0,0,1
Violence against womentdCleck Here to see sub-categories ,0,0,0,0,1,0,0,0,0,1,1,0,3
Women's right of custody of children in the event of divorce ,2,0,2,2,0,2,3,2,2,1,3,0,19
Total ,1345,1032,1230,1227,1577,1209,2406,2198,1346,1709,1445,1366,18090
