Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,4,4,0,1,2,1,1,4,0,1,0,2,20
Bigamy / Polygamy ,18,11,11,14,12,10,11,14,11,9,9,21,151
Cyber Crime against women ,39,30,22,35,49,33,43,61,40,35,35,37,459
Denial of Maternity Benefits to women ,3,16,7,8,10,5,11,10,12,19,12,23,136
Dowry death ,14,22,16,13,46,14,31,49,56,38,32,42,373
Free legal aid for women ,36,27,11,16,15,11,26,7,10,13,12,5,189
Gender Discrimination including equal right to education & work ,5,2,4,7,6,3,3,6,5,3,2,1,47
Harassment of married women/Dowry harassment ,207,200,204,228,397,316,361,468,468,391,368,275,3883
Indecent Representation of Women ,2,7,6,7,10,11,14,11,13,7,7,9,104
Outraging modesty of women/Molestation ,62,68,59,70,150,108,132,198,165,102,105,101,1320
Police Apathy against women ,321,228,132,149,218,161,238,408,177,154,112,98,2396
Privacy of women and rights thereof ,4,0,0,0,0,0,0,0,0,0,0,0,4
Protection of Women against Domestic Violence ,133,181,148,193,266,260,391,419,255,252,243,219,2960
Rape/Attempt to Rape ,78,68,63,49,150,88,115,178,168,129,137,116,1339
Right to Exercise Choice in marriage ,10,0,0,0,0,0,0,0,0,0,0,0,10
Right to exercise choice in marriage/Honour Crimes ,16,56,33,25,48,35,33,56,41,32,36,23,434
Right to live with dignity ,266,296,269,204,234,201,288,747,819,584,434,352,4694
Sex selective abortion / female foeticide / amniocentesis ,3,2,2,2,2,2,3,2,4,2,1,0,25
Sexual Assault ,24,7,4,11,13,16,19,29,24,17,17,14,195
Sexual Harassment ,19,26,17,25,35,26,45,45,40,40,27,24,369
Sexual Harassment of Women at workplace ,29,36,23,26,26,16,22,35,45,29,25,18,330
Stalking / Voyeurism ,4,14,7,16,15,10,20,25,20,18,16,14,179
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",3,1,0,2,3,3,2,0,1,1,0,2,18
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,4,2,3,3,5,10,6,6,4,5,11,5,64
Women's right of custody of children in the event of divorce ,1,1,3,2,5,1,3,8,1,4,1,1,31
Total ,1305,1305,1044,1106,1717,1341,1818,2786,2379,1885,1642,1402,19730
