Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,0,0,0,0,0,0,0,0,1,0,0,0,1
Attempt To Murder ,0,0,0,1,0,0,0,0,3,2,0,0,6
Bigamy / Polygamy ,5,12,8,4,16,12,21,13,17,7,14,12,141
Cyber Crime against women ,0,0,0,1,0,0,0,0,0,0,0,0,1
Divorce ,0,0,0,0,0,0,0,0,1,2,0,0,3
Dowry Death ,20,23,22,31,22,45,39,65,68,37,40,41,453
Dowry Harassment / Cruelty to married women ,67,123,83,79,127,208,179,173,137,132,146,179,1633
Gender Discrimination including equal right to education & work ,0,0,0,0,0,0,0,0,1,0,0,0,1
Harassment ,0,0,0,0,0,0,0,0,4,1,2,5,12
Harassment At WorkplacetdCleck Here to see sub-categories ,133,216,204,214,351,461,412,308,278,297,427,502,3803
Kidnapping / Abduction ,7,10,14,4,12,20,22,26,18,16,12,13,174
Maintenance Claim ,0,1,0,3,1,2,0,0,2,2,0,0,11
Miscellaneous ,66,155,135,102,177,315,176,225,205,183,159,176,2074
Murder ,6,13,9,7,16,14,19,20,12,11,10,16,153
Outraging Modesty of Women ,5,10,13,8,11,15,8,16,12,10,14,10,132
Police Apathy against women ,148,189,165,114,245,303,247,138,128,158,163,177,2175
Pre-Marital Breach of Trust ,0,0,0,0,1,0,0,0,0,0,0,0,1
RapetdCleck Here to see sub-categories ,7,13,17,22,16,28,49,56,42,56,38,31,375
Right to live with dignitytdCleck Here to see sub-categories ,4,16,9,16,32,19,104,10,21,24,10,12,277
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,13,18,12,9,9,15,8,26,12,9,3,7,141
Shelter & Rehabilitation of Victims ,0,0,0,1,0,1,0,0,1,0,0,1,4
Women's right of custody of children in the event of divorce ,0,19,0,0,0,0,0,0,1,0,0,0,20
Total ,481,818,691,616,1036,1458,1284,1076,964,947,1038,1182,11591
