Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,0,3,1,0,3,4,3,0,4,1,5,1,25
Attempt To Murder ,25,19,10,22,23,40,28,21,27,16,22,17,270
Attempt To RapetdCleck Here to see sub-categories ,22,34,29,41,55,66,25,23,35,38,62,30,460
Bigamy / Polygamy ,15,12,19,20,20,17,18,10,7,13,12,6,169
"Caste, Community Based ViolencetdCleck Here to see sub-categories ",46,44,48,22,14,32,18,26,18,14,13,21,316
Complaints by In LawstdCleck Here to see sub-categories ,49,74,59,46,49,103,82,81,62,61,87,59,812
Complaints Related to Riot / Communal Violence ,3,1,0,1,9,4,4,2,1,4,1,1,31
Cyber Crime against women ,8,5,20,15,12,11,18,12,10,19,23,16,169
Deprivation of Property Rights ,24,10,12,9,9,44,13,11,14,13,10,32,201
Deprivation of Women Rights ,35,14,21,20,19,37,15,24,19,24,39,40,307
Divorce ,6,5,7,4,5,7,6,4,5,3,5,2,59
Dowry Death ,35,74,47,52,42,63,46,29,40,50,55,31,564
Dowry Harassment / Cruelty to married women ,140,42,42,119,165,290,123,107,113,114,171,113,1539
Gender Discrimination including equal right to education & work ,6,1,4,4,2,4,10,3,4,1,6,2,47
Harassment At WorkplacetdCleck Here to see sub-categories ,49,73,48,51,44,90,55,56,51,44,71,58,690
Harassment of married women/Dowry harassment ,0,1,1,0,1,0,0,0,0,0,0,0,3
Indecent Representation of Women ,8,2,5,3,4,5,4,5,5,3,5,9,58
Kidnapping / Abduction ,62,44,27,36,63,103,54,46,48,36,39,41,599
Maintenance Claim ,6,8,5,6,14,14,12,10,10,6,8,15,114
Miscellaneous ,291,332,282,362,272,494,295,298,287,280,441,307,3941
Murder ,16,7,9,22,22,34,11,3,9,19,28,10,190
Outraging Modesty of Women ,119,107,110,102,118,237,114,113,134,96,152,109,1511
Outraging modesty of women/Molestation ,0,0,0,0,1,0,0,0,0,0,0,0,1
Police Apathy against women ,228,291,224,221,178,300,241,267,231,230,329,241,2981
Pre-Marital Breach of Trust ,6,11,5,6,14,10,13,7,5,11,14,14,116
RapetdCleck Here to see sub-categories ,82,92,61,77,66,131,84,73,88,72,136,73,1035
Right to Exercise Choice in marriage ,15,3,6,17,24,29,15,4,9,10,28,12,172
Right to live with dignitytdCleck Here to see sub-categories ,270,399,385,331,305,439,434,385,461,316,378,292,4395
Right to live with dignity ,0,1,1,0,0,0,0,1,0,0,0,0,3
Sex ScandalstdCleck Here to see sub-categories ,0,1,1,1,1,1,1,1,0,1,0,2,10
Sex selective abortion / female foeticide / amniocentesis ,6,0,5,4,4,6,2,3,2,0,3,2,37
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,11,18,24,23,27,30,17,8,17,12,33,29,249
Shelter & Rehabilitation of Victims ,1,0,2,1,2,2,1,2,0,7,0,3,21
Stalking / Voyeurism ,0,0,0,0,0,0,1,0,0,1,1,0,3
SuicidetdCleck Here to see sub-categories ,2,1,1,0,2,2,0,1,2,0,0,2,13
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",0,0,0,3,3,3,1,1,3,1,3,4,22
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,11,5,1,6,7,13,4,3,1,6,14,9,80
Violence against womentdCleck Here to see sub-categories ,0,0,0,0,2,0,1,2,1,0,0,1,7
Women's right of custody of children in the event of divorce ,1,0,4,3,2,4,2,4,2,0,0,0,22
Total ,1598,1734,1526,1650,1603,2669,1771,1646,1725,1522,2194,1604,21242
