Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,0,0,0,0,1,0,1,0,0,0,0,2,4
Attempt To Murder ,0,0,5,6,5,7,4,6,10,6,9,7,65
Attempt To RapetdCleck Here to see sub-categories ,16,13,5,24,40,16,14,16,10,10,13,31,208
Bigamy / Polygamy ,10,5,14,13,13,14,13,11,9,11,13,13,139
Complaint Against NRIs/ NRI Marriages ,0,0,0,0,0,0,0,1,1,0,0,1,3
Cyber Crime against women ,1,2,2,1,6,4,5,3,5,3,0,6,38
Deprivation of Property Rights ,79,29,72,153,137,107,99,91,51,81,78,157,1134
Divorce ,2,5,8,8,9,9,2,4,3,4,6,7,67
Dowry Death ,42,24,47,55,72,59,49,46,32,42,42,56,566
Dowry Harassment / Cruelty to married women ,118,52,102,141,117,102,72,79,54,55,34,52,978
Gender Discrimination including equal right to education & work ,3,2,2,4,4,4,3,3,7,5,4,2,43
Harassment At WorkplacetdCleck Here to see sub-categories ,39,33,56,77,61,67,68,61,54,64,48,73,701
Kidnapping / Abduction ,19,13,16,13,26,14,10,13,5,11,7,9,156
Maintenance Claim ,6,1,2,8,12,4,7,2,2,4,3,3,54
Miscellaneous ,539,402,598,388,350,287,301,303,298,320,363,699,4848
Murder ,2,0,1,1,5,4,5,3,3,2,4,4,34
Outraging Modesty of Women ,40,30,26,58,36,31,37,33,27,46,42,77,483
Police Apathy against women ,213,165,325,446,414,361,400,284,244,286,322,609,4069
RapetdCleck Here to see sub-categories ,36,28,64,62,88,58,62,47,56,44,38,68,651
Right to live with dignitytdCleck Here to see sub-categories ,201,131,221,323,310,315,381,281,240,234,302,432,3371
Sex selective abortion / female foeticide / amniocentesis ,0,1,2,3,1,0,1,2,4,3,1,4,22
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,7,11,15,20,12,18,14,8,12,17,13,19,166
Shelter & Rehabilitation of Victims ,2,0,2,2,3,1,3,0,1,0,1,2,17
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,0,0,0,0,0,0,0,0,1,0,0,0,1
Violence against womentdCleck Here to see sub-categories ,0,0,0,0,0,1,0,0,0,0,0,0,1
Women's right of custody of children in the event of divorce ,1,0,1,3,1,2,3,4,0,1,0,2,18
Total ,1376,947,1586,1809,1723,1485,1554,1301,1129,1249,1343,2335,17837
