Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,19,17,26,12,17,14,9,16,5,8,11,23,177
Cyber Crime against women ,32,16,21,13,38,36,23,33,23,21,21,34,311
Dowry harassment / dowry deathtdCleck Here to see sub-categories ,190,155,221,195,290,161,147,244,138,151,154,212,2258
Free legal aid for women ,15,10,8,7,21,31,13,16,15,19,7,15,177
Gender Discrimination including equal right to education & work ,4,3,6,3,7,4,4,6,15,5,0,2,59
Indecent Representation of Women ,8,10,10,10,16,8,10,6,12,11,8,14,123
Kidnapping / Abduction ,0,0,0,0,0,1,0,0,0,0,0,0,1
Outraging Modesty of Women ,249,208,247,221,247,92,82,102,42,47,70,105,1712
Police Apathy against women ,522,461,498,377,602,459,405,611,278,342,438,550,5543
Privacy of women and rights thereof ,11,12,3,11,19,12,7,13,12,20,9,12,141
Property ,6,0,2,3,3,3,4,3,1,4,2,1,32
Reproductive health rights of women ,4,5,2,11,6,5,7,7,9,9,5,7,77
Right to Exercise Choice in marriage ,53,35,53,49,65,31,32,51,18,24,34,33,478
Right to live with dignitytdCleck Here to see sub-categories ,506,467,517,461,711,557,427,512,305,349,377,566,5755
Sex selective abortion / female foeticide / amniocentesis ,2,4,2,4,5,8,2,3,2,4,2,1,39
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,49,36,52,32,81,53,42,44,46,31,38,35,539
Stalking / Voyeurism ,5,13,6,13,11,10,14,13,6,5,15,15,126
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",2,4,0,0,4,0,3,1,0,1,3,1,19
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,8,6,9,6,17,13,13,9,5,10,7,16,119
Violence against womentdCleck Here to see sub-categories ,164,128,166,115,150,85,82,93,93,65,88,130,1359
Women's right of custody of children in the event of divorce ,0,1,2,5,9,3,4,10,2,2,1,4,43
Total ,1849,1591,1851,1548,2319,1586,1330,1793,1027,1128,1290,1776,19088
