Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,8,8,26,21,13,17,11,10,11,8,20,9,162
Cyber Crime against women ,26,24,14,41,35,33,31,47,33,26,36,29,375
Denial of Maternity Benefits to women ,0,0,0,0,0,0,0,0,0,0,1,0,1
Dowry harassment / dowry deathtdCleck Here to see sub-categories ,146,200,316,402,296,305,236,235,233,208,502,167,3246
Free legal aid for women ,27,22,23,49,29,35,22,26,10,17,52,34,346
Gender Discrimination including equal right to education & work ,2,2,4,6,0,9,4,5,6,5,5,6,54
Harassment of married women/Dowry harassment ,0,0,0,0,0,1,0,0,0,1,1,0,3
Indecent Representation of Women ,5,11,5,11,2,14,6,16,4,10,12,7,103
Outraging Modesty of Women ,49,109,68,104,133,107,76,61,73,92,236,57,1165
Police Apathy against women ,103,110,223,244,201,181,96,166,161,193,588,223,2489
Privacy of women and rights thereof ,6,17,4,27,7,11,12,15,10,17,15,9,150
Protection of Women against Domestic Violence ,0,0,0,0,0,0,1,0,0,0,0,0,1
Reproductive health rights of women ,4,6,7,14,10,5,11,7,5,3,15,3,90
Right to Exercise Choice in marriage ,20,45,46,58,42,43,20,26,38,33,67,32,470
Right to live with dignitytdCleck Here to see sub-categories ,450,722,658,876,859,633,457,529,462,471,1265,403,7785
Right to live with dignity ,0,1,0,1,0,2,0,0,1,0,0,0,5
Sex selective abortion / female foeticide / amniocentesis ,2,6,4,3,2,3,2,8,5,9,8,3,55
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,44,70,102,112,71,96,53,77,56,87,123,74,965
Sexual Harassment of Women at workplace ,0,0,0,0,0,1,0,0,0,0,0,0,1
Stalking / Voyeurism ,9,21,11,19,7,14,6,10,11,23,17,10,158
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",6,1,2,0,1,1,0,4,1,3,3,0,22
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,3,8,18,21,8,4,6,14,7,5,23,4,121
Violence against womentdCleck Here to see sub-categories ,92,143,211,270,210,185,137,160,126,120,344,84,2082
Women's right of custody of children in the event of divorce ,2,9,2,3,9,3,5,6,6,4,6,4,59
Total ,1004,1535,1744,2282,1935,1703,1192,1422,1259,1335,3339,1158,19908
