Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,14,12,10,35,18,40,25,19,21,18,14,14,240
Cyber Crime against women ,17,10,11,24,17,32,21,20,28,22,9,12,223
Dowry harassment / dowry deathtdCleck Here to see sub-categories ,223,120,117,220,149,315,186,153,179,134,103,168,2067
Free legal aid for women ,6,8,4,9,6,5,9,9,13,18,9,7,103
Gender Discrimination including equal right to education & work ,3,4,1,3,6,2,7,0,7,4,2,4,43
Indecent Representation of Women ,6,3,10,14,3,13,11,2,9,9,13,7,100
Kidnapping / Abduction ,0,1,0,1,1,0,0,0,0,0,0,0,3
Miscellaneous ,38,42,30,73,42,30,0,0,0,0,0,0,255
Outraging Modesty of Women ,190,128,124,278,174,495,365,186,220,160,126,222,2668
Police Apathy against women ,638,353,337,624,381,1038,932,448,645,619,423,578,7016
Privacy of women and rights thereof ,22,15,11,21,23,27,9,7,16,5,6,6,168
Property ,2,2,2,3,3,3,2,0,2,0,3,4,26
Reproductive health rights of women ,7,8,6,7,8,13,5,4,4,2,6,9,79
Right to Exercise Choice in marriage ,54,33,25,51,72,111,62,33,47,37,30,50,605
Right to live with dignitytdCleck Here to see sub-categories ,513,322,277,548,480,1126,815,543,629,600,443,473,6769
Sex selective abortion / female foeticide / amniocentesis ,3,2,4,8,4,4,2,0,4,1,2,1,35
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,50,36,31,71,41,68,50,38,58,34,22,23,522
Stalking / Voyeurism ,1,2,1,2,3,6,4,7,4,4,2,2,38
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",1,0,1,3,0,2,1,2,0,1,2,0,13
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,7,4,2,9,7,13,7,0,3,5,6,3,66
Violence against womentdCleck Here to see sub-categories ,178,92,108,237,167,412,246,167,245,190,116,170,2328
Women's right of custody of children in the event of divorce ,0,0,0,2,1,0,0,0,0,0,0,0,3
Total ,1973,1197,1112,2243,1606,3755,2759,1638,2134,1863,1337,1753,23370
