Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,10,5,9,4,6,3,4,13,11,11,7,13,96
Complaint Against NRIs/ NRI Marriages ,3,3,2,0,4,3,2,2,1,0,0,0,20
Complaints by In LawstdCleck Here to see sub-categories ,0,1,1,0,0,1,0,1,0,0,0,0,4
Cyber Crime against women ,0,0,0,0,1,0,0,0,0,0,0,0,1
Deprivation of Property Rights ,6,15,17,3,20,8,1,1,5,6,28,35,145
Divorce ,0,0,2,3,2,1,4,3,2,1,4,2,24
Dowry Death ,51,47,53,31,33,50,56,52,42,63,52,44,574
Dowry Harassment / Cruelty to married women ,235,199,209,179,196,236,226,262,271,277,257,273,2820
Gender Discrimination including equal right to education & work ,0,0,1,0,0,1,0,0,1,0,1,1,5
Harassment ,13,9,14,11,11,8,5,10,9,8,9,9,116
Harassment At WorkplacetdCleck Here to see sub-categories ,2,4,6,4,4,3,6,1,1,3,1,5,40
Kidnapping / Abduction ,36,21,22,12,24,20,18,19,23,26,16,29,266
Maintenance Claim ,1,2,0,1,0,0,1,0,0,0,1,2,8
Miscellaneous ,909,609,892,802,1183,947,998,1043,870,1021,928,704,10906
Murder ,15,22,21,6,12,19,15,25,16,20,24,18,213
Outraging Modesty of Women ,2,1,5,2,14,8,5,2,7,2,16,31,95
Police Apathy against women ,20,17,24,4,10,9,18,18,23,32,37,51,263
RapetdCleck Here to see sub-categories ,63,44,39,44,48,40,55,61,85,62,59,53,653
Right to live with dignitytdCleck Here to see sub-categories ,6,5,8,4,4,6,2,6,9,9,9,54,122
Sex selective abortion / female foeticide / amniocentesis ,1,0,0,0,0,1,0,0,0,1,0,2,5
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,13,12,7,8,12,11,5,6,14,14,10,15,127
Shelter & Rehabilitation of Victims ,0,0,0,2,1,0,0,0,0,0,0,1,4
Women's right of custody of children in the event of divorce ,1,0,1,0,1,0,0,0,0,1,0,1,5
Total ,1387,1016,1333,1120,1586,1375,1421,1525,1390,1557,1459,1343,16512
