Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,12,10,26,9,17,20,16,14,6,9,18,16,173
Cyber Crime against women ,28,23,44,22,45,24,44,23,29,13,45,30,370
Dowry harassment / dowry deathtdCleck Here to see sub-categories ,168,146,177,156,278,194,221,158,169,103,259,171,2200
Free legal aid for women ,5,15,20,15,26,15,13,46,28,25,41,16,265
Gender Discrimination including equal right to education & work ,3,3,8,3,5,2,3,3,14,2,8,1,55
Indecent Representation of Women ,6,11,8,5,12,4,16,5,12,7,19,7,112
Kidnapping / Abduction ,0,1,0,1,0,0,0,0,0,0,0,0,2
Outraging Modesty of Women ,62,66,63,63,70,79,117,84,71,57,104,101,937
Police Apathy against women ,318,212,308,253,227,204,192,110,106,83,150,144,2307
Privacy of women and rights thereof ,7,8,18,5,17,10,14,13,14,14,26,5,151
Property ,3,2,0,1,0,0,0,0,0,0,0,0,6
Reproductive health rights of women ,5,7,13,8,5,4,9,3,4,4,13,2,77
Right to Exercise Choice in marriage ,31,24,42,28,49,42,38,17,25,13,44,36,389
Right to live with dignitytdCleck Here to see sub-categories ,368,343,376,327,616,504,515,328,326,303,571,446,5023
Right to live with dignity ,0,0,1,0,0,0,0,0,0,0,0,0,1
Sex selective abortion / female foeticide / amniocentesis ,1,1,5,2,4,0,7,4,3,1,10,2,40
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,38,30,52,24,63,37,50,58,60,34,80,44,570
Stalking / Voyeurism ,4,8,16,4,16,15,12,11,13,8,19,10,136
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",0,0,0,2,1,4,2,3,3,1,2,2,20
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,8,9,11,9,8,5,11,5,2,5,6,3,82
Violence against womentdCleck Here to see sub-categories ,115,97,97,123,244,184,193,106,114,98,158,108,1637
Women's right of custody of children in the event of divorce ,3,5,2,5,3,0,3,2,1,2,8,4,38
Total ,1185,1021,1287,1065,1706,1347,1476,993,1000,782,1581,1148,14591
