Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,0,1,0,0,0,1,1,0,0,2,0,1,6
Attempt To Murder ,3,1,0,3,1,2,2,0,0,0,3,2,17
Attempt To RapetdCleck Here to see sub-categories ,15,17,14,21,21,34,28,26,21,25,19,21,262
Bigamy / Polygamy ,11,14,8,8,19,15,17,9,6,4,8,9,128
Complaint Against NRIs/ NRI Marriages ,1,1,0,2,5,3,0,5,1,0,0,0,18
Complaints by In LawstdCleck Here to see sub-categories ,0,0,0,0,0,0,1,0,0,0,0,0,1
Cyber Crime against women ,0,0,0,0,0,0,0,0,0,0,0,2,2
Deprivation of Property Rights ,38,30,30,51,60,75,97,68,61,45,66,82,703
Divorce ,0,1,0,3,3,3,1,0,0,0,0,0,11
Dowry Death ,42,35,39,36,50,66,66,44,37,39,42,51,547
Dowry Harassment / Cruelty to married women ,144,134,167,145,123,168,206,133,73,103,103,108,1607
Gender Discrimination including equal right to education & work ,0,0,0,0,0,0,0,0,0,0,1,0,1
Harassment ,8,19,20,18,9,9,20,15,6,0,0,0,124
Harassment At WorkplacetdCleck Here to see sub-categories ,15,36,28,28,43,33,40,44,36,30,28,51,412
Kidnapping / Abduction ,30,27,5,14,24,30,18,10,18,7,6,13,202
Maintenance Claim ,5,5,4,4,3,5,5,3,2,1,5,7,49
Miscellaneous ,470,545,522,462,507,640,819,555,515,485,496,540,6556
Murder ,1,2,2,2,1,1,1,1,2,2,0,2,17
Outraging Modesty of Women ,18,22,17,42,69,65,57,36,58,24,29,24,461
Police Apathy against women ,97,108,150,191,181,296,292,191,216,237,249,233,2441
RapetdCleck Here to see sub-categories ,57,43,51,44,35,65,69,44,44,43,43,50,588
Right to live with dignitytdCleck Here to see sub-categories ,84,114,101,113,167,195,268,191,242,150,176,210,2011
Sex selective abortion / female foeticide / amniocentesis ,0,1,0,0,2,0,1,0,0,0,2,1,7
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,8,11,17,6,2,4,7,9,6,9,5,7,91
Shelter & Rehabilitation of Victims ,0,0,1,2,2,0,1,0,2,0,1,0,9
Women's right of custody of children in the event of divorce ,0,0,1,1,1,1,0,2,0,0,0,0,6
Total ,1047,1167,1177,1196,1328,1711,2017,1386,1346,1206,1282,1414,16277
