Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,0,1,1,0,0,1,5,5,2,0,1,2,18
Attempt To Murder ,5,4,8,5,6,10,7,16,20,9,9,20,119
Attempt To RapetdCleck Here to see sub-categories ,24,18,29,17,21,14,20,17,16,17,12,16,221
Bigamy / Polygamy ,5,8,17,18,11,12,16,9,8,16,6,18,144
"Caste, Community Based ViolencetdCleck Here to see sub-categories ",35,31,37,41,37,40,39,35,31,63,34,48,471
Complaint Against NRIs/ NRI Marriages ,0,0,1,0,1,1,2,1,0,0,0,0,6
Complaints by In LawstdCleck Here to see sub-categories ,48,47,77,62,68,67,74,64,56,84,48,41,736
Complaints Related to Riot / Communal Violence ,0,0,0,0,0,0,0,0,1,1,2,1,5
Cyber Crime against women ,3,1,10,2,2,6,5,8,10,9,2,15,73
Deprivation of Property Rights ,4,2,14,6,3,8,15,7,13,12,10,8,102
Deprivation of Women Rights ,2,9,15,9,15,23,23,11,22,19,24,41,213
Divorce ,2,3,1,1,2,6,2,4,7,4,5,2,39
Dowry Death ,32,33,49,38,69,53,63,69,43,64,28,51,592
Dowry Harassment / Cruelty to married women ,30,39,75,47,78,135,115,48,57,38,38,114,814
Dowry harassment / dowry deathtdCleck Here to see sub-categories ,0,1,0,0,0,0,0,0,0,0,0,0,1
Gender Discrimination including equal right to education & work ,2,2,0,3,2,3,5,8,5,3,7,0,40
Harassment At WorkplacetdCleck Here to see sub-categories ,42,46,49,35,54,41,58,49,69,51,53,57,604
Indecent Representation of Women ,0,0,0,0,0,2,0,5,3,3,4,3,20
Kidnapping / Abduction ,16,13,23,18,25,23,13,10,7,9,4,52,213
Maintenance Claim ,10,9,15,8,16,19,22,12,7,6,13,8,145
Miscellaneous ,306,301,421,325,347,285,331,283,302,397,243,283,3824
Murder ,14,7,5,10,12,8,13,13,14,10,1,10,117
Outraging Modesty of Women ,52,64,89,89,111,69,79,110,74,106,62,88,993
Police Apathy against women ,294,264,345,323,353,352,403,376,324,460,377,218,4089
Pre-Marital Breach of Trust ,8,8,13,8,9,5,15,11,11,15,6,11,120
RapetdCleck Here to see sub-categories ,43,34,78,48,70,56,98,46,46,58,42,87,706
Right to Exercise Choice in marriage ,0,0,0,0,0,0,0,0,1,2,0,3,6
Right to live with dignitytdCleck Here to see sub-categories ,320,305,438,395,483,369,450,443,437,578,325,348,4891
Sex ScandalstdCleck Here to see sub-categories ,0,0,0,0,0,0,0,0,2,0,0,0,2
Sex selective abortion / female foeticide / amniocentesis ,2,1,0,1,2,2,4,0,0,2,6,2,22
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,6,12,11,9,18,22,20,17,14,17,9,12,167
Shelter & Rehabilitation of Victims ,1,1,0,2,1,3,0,6,2,0,0,0,16
SuicidetdCleck Here to see sub-categories ,0,0,0,0,0,0,0,1,3,3,1,2,10
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting ",0,0,0,1,1,0,1,1,1,0,3,0,8
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,0,0,0,0,2,1,0,1,1,3,2,4,14
Violence against womentdCleck Here to see sub-categories ,1,0,1,0,0,0,0,0,0,0,1,0,3
Women's right of custody of children in the event of divorce ,0,0,2,0,4,1,1,2,2,0,2,1,15
Total ,1307,1264,1824,1521,1823,1637,1899,1688,1611,2059,1380,1566,19579
