Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,0,0,0,0,0,0,0,0,5,0,1,1,7
Attempt To Murder ,5,3,3,2,0,8,5,9,8,4,4,2,53
Attempt To RapetdCleck Here to see sub-categories ,16,11,23,19,17,35,23,20,21,5,12,19,221
Bigamy / Polygamy ,10,15,21,28,24,20,10,18,7,4,14,8,179
Complaint Against NRIs/ NRI Marriages ,0,2,3,4,9,5,3,3,4,2,6,3,44
Cyber Crime against women ,1,0,0,0,1,0,0,3,1,0,0,0,6
Deprivation of Property Rights ,56,60,68,92,75,91,64,40,36,21,54,67,724
Divorce ,2,2,0,3,5,1,1,3,2,1,1,1,22
Dowry Death ,63,43,43,76,50,93,45,44,53,36,63,43,652
Dowry Harassment / Cruelty to married women ,197,160,152,242,172,265,183,140,191,140,173,154,2169
Gender Discrimination including equal right to education & work ,1,0,0,0,0,0,0,0,0,0,0,0,1
Harassment ,9,10,7,9,10,9,18,16,9,10,14,6,127
Harassment At WorkplacetdCleck Here to see sub-categories ,19,17,57,65,55,50,30,33,26,14,27,26,419
Kidnapping / Abduction ,18,23,35,44,34,51,31,13,26,17,18,19,329
Maintenance Claim ,4,8,6,18,5,16,9,6,9,4,7,9,101
Miscellaneous ,643,385,189,230,217,296,285,343,393,410,463,525,4379
Murder ,7,1,3,1,3,2,1,1,1,1,2,3,26
Non-Mandate ,0,0,196,141,137,2,228,0,0,0,0,0,704
Outraging Modesty of Women ,28,52,35,50,36,47,20,19,16,18,22,23,366
Police Apathy against women ,130,138,140,141,114,160,111,71,43,44,70,87,1249
RapetdCleck Here to see sub-categories ,69,38,47,47,48,77,39,47,54,38,44,44,592
Right to Exercise Choice in marriage ,0,0,0,0,0,0,0,0,0,0,0,1,1
Right to live with dignitytdCleck Here to see sub-categories ,95,102,94,89,97,161,108,97,112,92,76,101,1224
Sex selective abortion / female foeticide / amniocentesis ,0,0,1,1,2,2,1,0,1,2,2,1,13
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,25,16,18,28,20,25,14,18,17,18,14,10,223
Shelter & Rehabilitation of Victims ,0,1,2,0,0,2,2,2,1,1,2,0,13
Women's right of custody of children in the event of divorce ,1,0,7,3,4,2,2,1,0,0,2,2,24
Total ,1399,1087,1150,1333,1135,1420,1233,947,1036,882,1091,1155,13868
